number;no_foil;foil
1;false;false
2;false;false
3;true;false
4;false;false
5;false;false
6;false;false
7;false;false
8;false;false
9;false;false
10;false;false
11;false;false
12;false;false
13;false;false
14;false;false
15;false;false
16;false;false
17;false;false
18;false;false
19;false;false
20;false;false
21;false;false
22;false;false
23;false;false
24;false;false
25;false;false
26;false;false
27;false;false
28;false;false
29;false;false
30;false;false
31;false;false
32;false;false
33;false;false
34;false;false
35;false;false
36;false;false
37;false;false
38;false;false
39;false;false
40;false;false
41;false;false
42;false;false
43;false;false
44;false;false
45;false;false
46;false;false
47;false;false
48;false;false
49;false;false
50;false;false
51;false;false
52;false;false
53;false;false
54;false;false
55;false;false
56;false;false
57;false;false
58;false;false
59;false;false
60;false;false
61;false;false
62;false;false
63;false;false
64;false;false
65;false;false
66;false;false
67;false;false
68;false;false
69;false;false
70;false;false
71;false;false
72;false;false
73;false;false
74;false;false
75;false;false
76;false;false
77;false;false
78;false;false
79;false;false
80;false;false
81;false;false
82;false;false
83;false;false
84;false;false
85;false;false
86;false;false
87;false;false
88;false;false
89;false;false
90;false;false
91;false;false
92;false;false
93;false;false
94;false;false
95;false;false
96;false;false
97;false;false
98;false;false
99;false;false
100;false;false
101;false;false
102;false;false
103;false;false
104;false;false
105;false;false
106;false;false
107;false;false
108;false;false
109;false;false
110;false;false
111;false;false
112;false;false
113;false;false
114;false;false
115;false;false
116;false;false
117;false;false
118;false;false
119;false;false
120;false;false
121;false;false
122;false;false
123;false;false
124;false;false
125;false;false
126;false;false
127;false;false
128;false;false
129;false;false
130;false;false
131;false;false
132;false;false
133;false;false
134;false;false
135;false;false
136;false;false
137;false;false
138;false;false
139;false;false
140;false;false
141;false;false
142;false;false
143;false;false
144;false;false
145;false;false
146;false;false
147;false;false
148;false;false
149;false;false
150;false;false
151;false;false
152;false;false
153;false;false
154;false;false
155;false;false
156;false;false
157;false;false
158;false;false
159;false;false
160;false;false
161;false;false
162;false;false
163;false;false
164;false;false
165;false;false
166;false;false
167;false;false
168;false;false
169;false;false
170;false;false
171;false;false
172;false;false
173;false;false
174;false;false
175;false;false
176;false;false
177;false;false
178;false;false
179;false;false
180;false;false
