number;no_foil;foil
0;false;false
1;false;false
2;false;false
3;false;false
4;false;false
5;false;false
6;false;false
7;false;false
8;false;false
9;false;false
10;false;false
11;false;false
12;false;false
13;false;false
14;false;false
15;false;false
16;false;false
17;false;false
18;false;false
19;false;false
20;false;false
21;false;false
22;false;false
23;false;false
24;false;false
25;false;false
26;false;false
27;false;false
28;false;false
29;false;false
30;false;false
31;false;false
32;false;false
33;false;false
34;false;false
35;false;false
36;false;false
37;false;false
38;false;false
39;false;false
40;false;false
41;false;false
42;false;false
43;false;false
44;false;false
45;false;false
46;false;false
47;false;false
48;false;false
49;false;false
50;false;false
51;false;false
52;false;false
53;false;false
54;false;false
55;false;false
56;false;false
57;false;false
58;false;false
59;false;false
60;false;false
61;false;false
62;false;false
63;false;false
64;false;false
65;false;false
66;false;false
67;false;false
68;false;false
69;false;false
70;false;false
71;false;false
72;false;false
73;false;false
74;false;false
75;false;false
76;false;false
77;false;false
78;false;false
79;false;false
80;false;false
81;false;false
82;false;false
83;false;false
84;false;false
85;false;false
86;false;false
87;false;false
88;false;false
89;false;false
90;false;false
91;false;false
92;false;false
93;false;false
94;false;false
95;false;false
96;false;false
97;false;false
98;false;false
99;false;false
100;false;false
101;false;false
102;false;false
103;false;false
A-103;false;false
104;false;false
105;false;false
106;false;false
107;false;false
108;false;false
109;false;false
110;false;false
111;false;false
112;false;false
113;false;false
114;false;false
115;false;false
116;false;false
117;false;false
118;false;false
119;false;false
120;false;false
121;false;false
122;false;false
123;false;false
124;false;false
125;false;false
126;false;false
127;false;false
128;false;false
129;false;false
130;false;false
131;false;false
132;false;false
133;false;false
134;false;false
135;false;false
136;false;false
137;false;false
138;false;false
139;false;false
140;false;false
141;false;false
142;false;false
143;false;false
144;false;false
145;false;false
146;false;false
147;false;false
148;false;false
149;false;false
150;false;false
151;false;false
152;false;false
153;false;false
154;false;false
155;false;false
156;false;false
157;false;false
158;false;false
159;false;false
160;false;false
161;false;false
162;false;false
163;false;false
164;false;false
165;false;false
166;false;false
167;false;false
168;false;false
169;false;false
170;false;false
171;false;false
172;false;false
173;false;false
174;false;false
175;false;false
176;false;false
177;false;false
178;false;false
179;false;false
180;false;false
181;false;false
182;false;false
183;false;false
184;false;false
185;false;false
186;false;false
187;false;false
188;false;false
189;false;false
190;false;false
191;false;false
192;false;false
193;false;false
194;false;false
195;false;false
196;false;false
197;false;false
198;false;false
199;false;false
200;false;false
201;false;false
202;false;false
203;false;false
204;false;false
205;false;false
206;false;false
207;false;false
208;false;false
209;false;false
210;false;false
211;false;false
212;false;false
213;false;false
214;false;false
215;false;false
216;false;false
217;false;false
218;false;false
219;false;false
220;false;false
221;false;false
222;false;false
223;false;false
224;false;false
225;false;false
226;false;false
227;false;false
228;false;false
229;false;false
230;false;false
231;false;false
232;false;false
233;false;false
234;false;false
235;false;false
236;false;false
237;false;false
238;false;false
239;false;false
240;false;false
241;false;false
242;false;false
243;false;false
244;false;false
245;false;false
246;false;false
A-246;false;false
247;false;false
248;false;false
249;false;false
250;false;false
251;false;false
252;false;false
253;false;false
254;false;false
255;false;false
256;false;false
257;false;false
258;false;false
259;false;false
260;false;false
261;false;false
262;false;false
263;false;false
264;false;false
265;false;false
266;false;false
267;false;false
268;false;false
269;false;false
270;false;false
271;false;false
272;false;false
273;false;false
274;false;false
275;false;false
276;false;false
277;false;false
278;false;false
279;false;false
280;false;false
281;false;false
282;false;false
283;false;false
284;false;false
285;false;false
286;false;false
287;false;false
288;false;false
289;false;false
290;false;false
291;false;false
292;false;false
293;false;false
294;false;false
295;false;false
296;false;false
297;false;false
298;false;false
299;false;false
300;false;false
301;false;false
302;false;false
303;false;false
304;false;false
305;false;false
306;false;false
307;false;false
308;false;false
309;false;false
310;false;false
311;false;false
312;false;false
313;false;false
314;false;false
315;false;false
316;false;false
317;false;false
318;false;false
319;false;false
320;false;false
321;false;false
322;false;false
323;false;false
324;false;false
325;false;false
326;false;false
327;false;false
328;false;false
329;false;false
330;false;false
331;false;false
332;false;false
333;false;false
334;false;false
335;false;false
336;false;false
337;false;false
338;false;false
339;false;false
340;false;false
341;false;false
342;false;false
343;false;false
344;false;false
345;false;false
346;false;false
347;false;false
348;false;false
349;false;false
350;false;false
351;false;false
352;false;false
353;false;false
354;false;false
355;false;false
356;false;false
357;false;false
358;false;false
359;false;false
360;false;false
361;false;false
362;false;false
363;false;false
364;false;false
365;false;false
366;false;false
367;false;false
368;false;false
369;false;false
370;false;false
371;false;false
372;false;false
373;false;false
374;false;false
375;false;false
376;false;false
377;false;false
378;false;false
379;false;false
380;false;false
381;false;false
382;false;false
383;false;false
384;false;false
385;false;false
386;false;false
387;false;false
388;false;false
389;false;false
390;false;false
391;false;false
392;false;false
393;false;false
394;false;false
395;false;false
396;false;false
397;false;false
398;false;false
399;false;false
400;false;false
401;false;false
402;false;false
403;false;false
404;false;false
405;false;false
406;false;false
407;false;false
408;false;false
409;false;false
410;false;false
411;false;false
412;false;false
413;false;false
414;false;false
415;false;false
416;false;false
417;false;false
418;false;false
419;false;false
420;false;false
421;false;false
422;false;false
423;false;false
424;false;false
425;false;false
426;false;false
427;false;false
428;false;false
429;false;false
430;false;false
431;false;false
432;false;false
433;false;false
