set;number;no_foil;foil
2x2;1;false;false
2x2;2;false;false
2x2;3;false;false
2x2;4;false;false
2x2;5;false;false
2x2;6;false;false
2x2;7;false;false
2x2;8;false;false
2x2;9;false;false
2x2;10;false;false
2x2;11;false;false
2x2;12;false;false
2x2;13;false;false
2x2;14;false;false
2x2;15;false;false
2x2;16;false;false
2x2;17;false;false
2x2;18;false;false
2x2;19;false;false
2x2;20;false;false
2x2;21;false;false
2x2;22;false;false
2x2;23;false;false
2x2;24;false;false
2x2;25;false;false
2x2;26;false;false
2x2;27;false;false
2x2;28;false;false
2x2;29;false;false
2x2;30;false;false
2x2;31;false;false
2x2;32;false;false
2x2;33;false;false
2x2;34;false;false
2x2;35;false;false
2x2;36;false;false
2x2;37;false;false
2x2;38;false;false
2x2;39;false;false
2x2;40;false;false
2x2;41;false;false
2x2;42;false;false
2x2;43;false;false
2x2;44;false;false
2x2;45;false;false
2x2;46;false;false
2x2;47;false;false
2x2;48;false;false
2x2;49;false;false
2x2;50;false;false
2x2;51;false;false
2x2;52;false;false
2x2;53;false;false
2x2;54;false;false
2x2;55;false;false
2x2;56;false;false
2x2;57;false;false
2x2;58;false;false
2x2;59;false;false
2x2;60;false;false
2x2;61;false;false
2x2;62;false;false
2x2;63;false;false
2x2;64;false;false
2x2;65;false;false
2x2;66;false;false
2x2;67;false;false
2x2;68;false;false
2x2;69;false;false
2x2;70;false;false
2x2;71;false;false
2x2;72;false;false
2x2;73;false;false
2x2;74;false;false
2x2;75;false;false
2x2;76;false;false
2x2;77;false;false
2x2;78;false;false
2x2;79;false;false
2x2;80;false;false
2x2;81;false;false
2x2;82;false;false
2x2;83;false;false
2x2;84;false;false
2x2;85;false;false
2x2;86;false;false
2x2;87;false;false
2x2;88;false;false
2x2;89;false;false
2x2;90;false;false
2x2;91;false;false
2x2;92;false;false
2x2;93;false;false
2x2;94;false;false
2x2;95;false;false
2x2;96;false;false
2x2;97;false;false
2x2;98;false;false
2x2;99;false;false
2x2;100;false;false
2x2;101;false;false
2x2;102;false;false
2x2;103;false;false
2x2;104;false;false
2x2;105;false;false
2x2;106;false;false
2x2;107;false;false
2x2;108;false;false
2x2;109;false;false
2x2;110;false;false
2x2;111;false;false
2x2;112;false;false
2x2;113;false;false
2x2;114;false;false
2x2;115;false;false
2x2;116;false;false
2x2;117;false;false
2x2;118;false;false
2x2;119;false;false
2x2;120;false;false
2x2;121;false;false
2x2;122;false;false
2x2;123;false;false
2x2;124;false;false
2x2;125;false;false
2x2;126;false;false
2x2;127;false;false
2x2;128;false;false
2x2;129;false;false
2x2;130;false;false
2x2;131;false;false
2x2;132;false;false
2x2;133;false;false
2x2;134;false;false
2x2;135;false;false
2x2;136;false;false
2x2;137;false;false
2x2;138;false;false
2x2;139;false;false
2x2;140;false;false
2x2;141;false;false
2x2;142;false;false
2x2;143;false;false
2x2;144;false;false
2x2;145;false;false
2x2;146;false;false
2x2;147;false;false
2x2;148;false;false
2x2;149;false;false
2x2;150;false;false
2x2;151;false;false
2x2;152;false;false
2x2;153;false;false
2x2;154;false;false
2x2;155;false;false
2x2;156;false;false
2x2;157;false;false
2x2;158;false;false
2x2;159;false;false
2x2;160;false;false
2x2;161;false;false
2x2;162;false;false
2x2;163;false;false
2x2;164;false;false
2x2;165;false;false
2x2;166;false;false
2x2;167;false;false
2x2;168;false;false
2x2;169;false;false
2x2;170;false;false
2x2;171;false;false
2x2;172;false;false
2x2;173;false;false
2x2;174;false;false
2x2;175;false;false
2x2;176;false;false
2x2;177;false;false
2x2;178;false;false
2x2;179;false;false
2x2;180;false;false
2x2;181;false;false
2x2;182;false;false
2x2;183;false;false
2x2;184;false;false
2x2;185;false;false
2x2;186;false;false
2x2;187;false;false
2x2;188;false;false
2x2;189;false;false
2x2;190;false;false
2x2;191;false;false
2x2;192;false;false
2x2;193;false;false
2x2;194;false;false
2x2;195;false;false
2x2;196;false;false
2x2;197;false;false
2x2;198;false;false
2x2;199;false;false
2x2;200;false;false
2x2;201;false;false
2x2;202;false;false
2x2;203;false;false
2x2;204;false;false
2x2;205;false;false
2x2;206;false;false
2x2;207;false;false
2x2;208;false;false
2x2;209;false;false
2x2;210;false;false
2x2;211;false;false
2x2;212;false;false
2x2;213;false;false
2x2;214;false;false
2x2;215;false;false
2x2;216;false;false
2x2;217;false;false
2x2;218;false;false
2x2;219;false;false
2x2;220;false;false
2x2;221;false;false
2x2;222;false;false
2x2;223;false;false
2x2;224;false;false
2x2;225;false;false
2x2;226;false;false
2x2;227;false;false
2x2;228;false;false
2x2;229;false;false
2x2;230;false;false
2x2;231;false;false
2x2;232;false;false
2x2;233;false;false
2x2;234;false;false
2x2;235;false;false
2x2;236;false;false
2x2;237;false;false
2x2;238;false;false
2x2;239;false;false
2x2;240;false;false
2x2;241;false;false
2x2;242;false;false
2x2;243;false;false
2x2;244;false;false
2x2;245;false;false
2x2;246;false;false
2x2;247;false;false
2x2;248;false;false
2x2;249;false;false
2x2;250;false;false
2x2;251;false;false
2x2;252;false;false
2x2;253;false;false
2x2;254;false;false
2x2;255;false;false
2x2;256;false;false
2x2;257;false;false
2x2;258;false;false
2x2;259;false;false
2x2;260;false;false
2x2;261;false;false
2x2;262;false;false
2x2;263;false;false
2x2;264;false;false
2x2;265;false;false
2x2;266;false;false
2x2;267;false;false
2x2;268;false;false
2x2;269;false;false
2x2;270;false;false
2x2;271;false;false
2x2;272;false;false
2x2;273;false;false
2x2;274;false;false
2x2;275;false;false
2x2;276;false;false
