set;number;no_foil;foil
40k;1;false;false
40k;2;false;false
40k;3;false;false
40k;4;false;false
40k;5;false;false
40k;6;false;false
40k;7;false;false
40k;8;false;false
40k;9;false;false
40k;9★;false;false
40k;10;false;false
40k;10★;false;false
40k;11;false;false
40k;11★;false;false
40k;12;false;false
40k;12★;false;false
40k;13;false;false
40k;13★;false;false
40k;14;false;false
40k;14★;false;false
40k;15;false;false
40k;15★;false;false
40k;16;false;false
40k;16★;false;false
40k;17;false;false
40k;17★;false;false
40k;18;false;false
40k;18★;false;false
40k;19;false;false
40k;19★;false;false
40k;20;false;false
40k;20★;false;false
40k;21;false;false
40k;21★;false;false
40k;22;false;false
40k;22★;false;false
40k;23;false;false
40k;23★;false;false
40k;24;false;false
40k;24★;false;false
40k;25;false;false
40k;25★;false;false
40k;26;false;false
40k;26★;false;false
40k;27;false;false
40k;27★;false;false
40k;28;false;false
40k;28★;false;false
40k;29;false;false
40k;29★;false;false
40k;30;false;false
40k;30★;false;false
40k;31;false;false
40k;31★;false;false
40k;32;false;false
40k;32★;false;false
40k;33;false;false
40k;33★;false;false
40k;34;false;false
40k;34★;false;false
40k;35;false;false
40k;35★;false;false
40k;36;false;false
40k;36★;false;false
40k;37;false;false
40k;37★;false;false
40k;38;false;false
40k;38★;false;false
40k;39;false;false
40k;39★;false;false
40k;40;false;false
40k;40★;false;false
40k;41;false;false
40k;41★;false;false
40k;42;false;false
40k;42★;false;false
40k;43;false;false
40k;43★;false;false
40k;44;false;false
40k;44★;false;false
40k;45;false;false
40k;45★;false;false
40k;46;false;false
40k;46★;false;false
40k;47;false;false
40k;47★;false;false
40k;48;false;false
40k;48★;false;false
40k;49;false;false
40k;49★;false;false
40k;50;false;false
40k;50★;false;false
40k;51;false;false
40k;51★;false;false
40k;52;false;false
40k;52★;false;false
40k;53;false;false
40k;53★;false;false
40k;54;false;false
40k;54★;false;false
40k;55;false;false
40k;55★;false;false
40k;56;false;false
40k;56★;false;false
40k;57;false;false
40k;57★;false;false
40k;58;false;false
40k;58★;false;false
40k;59;false;false
40k;59★;false;false
40k;60;false;false
40k;60★;false;false
40k;61;false;false
40k;61★;false;false
40k;62;false;false
40k;62★;false;false
40k;63;false;false
40k;63★;false;false
40k;64;false;false
40k;64★;false;false
40k;65;false;false
40k;65★;false;false
40k;66;false;false
40k;66★;false;false
40k;67;false;false
40k;67★;false;false
40k;68;false;false
40k;68★;false;false
40k;69;false;false
40k;69★;false;false
40k;70;false;false
40k;70★;false;false
40k;71;false;false
40k;71★;false;false
40k;72;false;false
40k;72★;false;false
40k;73;false;false
40k;73★;false;false
40k;74;false;false
40k;74★;false;false
40k;75;false;false
40k;75★;false;false
40k;76;false;false
40k;76★;false;false
40k;77;false;false
40k;77★;false;false
40k;78;false;false
40k;78★;false;false
40k;79;false;false
40k;79★;false;false
40k;80;false;false
40k;80★;false;false
40k;81;false;false
40k;81★;false;false
40k;82;false;false
40k;82★;false;false
40k;83;false;false
40k;83★;false;false
40k;84;false;false
40k;84★;false;false
40k;85;false;false
40k;85★;false;false
40k;86;false;false
40k;86★;false;false
40k;87;false;false
40k;87★;false;false
40k;88;false;false
40k;88★;false;false
40k;89;false;false
40k;89★;false;false
40k;90;false;false
40k;90★;false;false
40k;91;false;false
40k;91★;false;false
40k;92;false;false
40k;92★;false;false
40k;93;false;false
40k;93★;false;false
40k;94;false;false
40k;94★;false;false
40k;95;false;false
40k;95★;false;false
40k;96;false;false
40k;96★;false;false
40k;97;false;false
40k;97★;false;false
40k;98;false;false
40k;98★;false;false
40k;99;false;false
40k;99★;false;false
40k;100;false;false
40k;100★;false;false
40k;101;false;false
40k;101★;false;false
40k;102;false;false
40k;102★;false;false
40k;103;false;false
40k;103★;false;false
40k;104;false;false
40k;104★;false;false
40k;105;false;false
40k;105★;false;false
40k;106;false;false
40k;106★;false;false
40k;107;false;false
40k;107★;false;false
40k;108;false;false
40k;108★;false;false
40k;109;false;false
40k;109★;false;false
40k;110;false;false
40k;110★;false;false
40k;111;false;false
40k;111★;false;false
40k;112;false;false
40k;112★;false;false
40k;113;false;false
40k;113★;false;false
40k;114;false;false
40k;114★;false;false
40k;115;false;false
40k;115★;false;false
40k;116;false;false
40k;116★;false;false
40k;117;false;false
40k;117★;false;false
40k;118;false;false
40k;118★;false;false
40k;119;false;false
40k;119★;false;false
40k;120;false;false
40k;120★;false;false
40k;121;false;false
40k;121★;false;false
40k;122;false;false
40k;122★;false;false
40k;123;false;false
40k;123★;false;false
40k;124;false;false
40k;124★;false;false
40k;125;false;false
40k;125★;false;false
40k;126;false;false
40k;126★;false;false
40k;127;false;false
40k;127★;false;false
40k;128;false;false
40k;128★;false;false
40k;129;false;false
40k;129★;false;false
40k;130;false;false
40k;130★;false;false
40k;131;false;false
40k;131★;false;false
40k;132;false;false
40k;132★;false;false
40k;133;false;false
40k;133★;false;false
40k;134;false;false
40k;134★;false;false
40k;135;false;false
40k;135★;false;false
40k;136;false;false
40k;136★;false;false
40k;137;false;false
