set;number;no_foil;foil
4bb;1;false;false
4bb;2;false;false
4bb;3;false;false
4bb;4;false;false
4bb;5;false;false
4bb;6;false;false
4bb;7;false;false
4bb;8;false;false
4bb;9;false;false
4bb;10;false;false
4bb;11;false;false
4bb;12;false;false
4bb;13;false;false
4bb;14;false;false
4bb;15;false;false
4bb;16;false;false
4bb;17;false;false
4bb;18;false;false
4bb;19;false;false
4bb;20;false;false
4bb;21;false;false
4bb;22;false;false
4bb;23;false;false
4bb;24;false;false
4bb;25;false;false
4bb;26;false;false
4bb;27;false;false
4bb;28;false;false
4bb;29;false;false
4bb;30;false;false
4bb;31;false;false
4bb;32;false;false
4bb;33;false;false
4bb;34;false;false
4bb;35;false;false
4bb;36;false;false
4bb;37;false;false
4bb;38;false;false
4bb;39;false;false
4bb;40;false;false
4bb;41;false;false
4bb;42;false;false
4bb;43;false;false
4bb;44;false;false
4bb;45;false;false
4bb;46;false;false
4bb;47;false;false
4bb;48;false;false
4bb;49;false;false
4bb;50;false;false
4bb;51;false;false
4bb;52;false;false
4bb;53;false;false
4bb;54;false;false
4bb;55;false;false
4bb;56;false;false
4bb;57;false;false
4bb;58;false;false
4bb;59;false;false
4bb;60;false;false
4bb;61;false;false
4bb;62;false;false
4bb;63;false;false
4bb;64;false;false
4bb;65;false;false
4bb;66;false;false
4bb;67;false;false
4bb;68;false;false
4bb;69;false;false
4bb;70;false;false
4bb;71;false;false
4bb;72;false;false
4bb;73;false;false
4bb;74;false;false
4bb;75;false;false
4bb;76;false;false
4bb;77;false;false
4bb;78;false;false
4bb;79;false;false
4bb;80;false;false
4bb;81;false;false
4bb;82;false;false
4bb;83;false;false
4bb;84;false;false
4bb;85;false;false
4bb;86;false;false
4bb;87;false;false
4bb;88;false;false
4bb;89;false;false
4bb;90;false;false
4bb;91;false;false
4bb;92;false;false
4bb;93;false;false
4bb;94;false;false
4bb;95;false;false
4bb;96;false;false
4bb;97;false;false
4bb;98;false;false
4bb;99;false;false
4bb;100;false;false
4bb;101;false;false
4bb;102;false;false
4bb;103;false;false
4bb;104;false;false
4bb;105;false;false
4bb;106;false;false
4bb;107;false;false
4bb;108;false;false
4bb;109;false;false
4bb;110;false;false
4bb;111;false;false
4bb;112;false;false
4bb;113;false;false
4bb;114;false;false
4bb;115;false;false
4bb;116;false;false
4bb;117;false;false
4bb;118;false;false
4bb;119;false;false
4bb;120;false;false
4bb;121;false;false
4bb;122;false;false
4bb;123;false;false
4bb;124;false;false
4bb;125;false;false
4bb;126;false;false
4bb;127;false;false
4bb;128;false;false
4bb;129;false;false
4bb;130;false;false
4bb;131;false;false
4bb;132;false;false
4bb;133;false;false
4bb;134;false;false
4bb;135;false;false
4bb;136;false;false
4bb;137;false;false
4bb;138;false;false
4bb;139;false;false
4bb;140;false;false
4bb;141;false;false
4bb;142;false;false
4bb;143;false;false
4bb;144;false;false
4bb;145;false;false
4bb;146;false;false
4bb;147;false;false
4bb;148;false;false
4bb;149;false;false
4bb;150;false;false
4bb;151;false;false
4bb;152;false;false
4bb;153;false;false
4bb;154;false;false
4bb;155;false;false
4bb;156;false;false
4bb;157;false;false
4bb;158;false;false
4bb;159;false;false
4bb;160;false;false
4bb;161;false;false
4bb;162;false;false
4bb;163;false;false
4bb;164;false;false
4bb;165;false;false
4bb;166;false;false
4bb;167;false;false
4bb;168;false;false
4bb;169;false;false
4bb;170;false;false
4bb;171;false;false
4bb;172;false;false
4bb;173;false;false
4bb;174;false;false
4bb;175;false;false
4bb;176;false;false
4bb;177;false;false
4bb;178;false;false
4bb;179;false;false
4bb;180;false;false
4bb;181;false;false
4bb;182;false;false
4bb;183;false;false
4bb;184;false;false
4bb;185;false;false
4bb;186;false;false
4bb;187;false;false
4bb;188;false;false
4bb;189;false;false
4bb;190;false;false
4bb;191;false;false
4bb;192;false;false
4bb;193;false;false
4bb;194;false;false
4bb;195;false;false
4bb;196;false;false
4bb;197;false;false
4bb;198;false;false
4bb;199;false;false
4bb;200;false;false
4bb;201;false;false
4bb;202;false;false
4bb;203;false;false
