set;number;no_foil;foil
4ed;1;false;false
4ed;2;false;false
4ed;3;false;false
4ed;4;false;false
4ed;5;false;false
4ed;6;false;false
4ed;7;false;false
4ed;8;false;false
4ed;9;false;false
4ed;10;false;false
4ed;11;false;false
4ed;12;false;false
4ed;13;false;false
4ed;14;false;false
4ed;15;false;false
4ed;16;false;false
4ed;17;false;false
4ed;18;false;false
4ed;19;false;false
4ed;20;false;false
4ed;21;false;false
4ed;22;false;false
4ed;23;false;false
4ed;24;false;false
4ed;25;false;false
4ed;26;false;false
4ed;27;false;false
4ed;28;false;false
4ed;29;false;false
4ed;30;false;false
4ed;31;false;false
4ed;32;false;false
4ed;33;false;false
4ed;34;false;false
4ed;35;false;false
4ed;36;false;false
4ed;37;false;false
4ed;38;false;false
4ed;39;false;false
4ed;40;false;false
4ed;41;false;false
4ed;42;false;false
4ed;43;false;false
4ed;44;false;false
4ed;45;false;false
4ed;46;false;false
4ed;47;false;false
4ed;48;false;false
4ed;49;false;false
4ed;50;false;false
4ed;51;false;false
4ed;52;false;false
4ed;53;false;false
4ed;54;false;false
4ed;55;false;false
4ed;56;false;false
4ed;57;false;false
4ed;58;false;false
4ed;59;false;false
4ed;60;false;false
4ed;61;false;false
4ed;62;false;false
4ed;63;false;false
4ed;64;false;false
4ed;65;false;false
4ed;66;false;false
4ed;67;false;false
4ed;68;false;false
4ed;69;false;false
4ed;70;false;false
4ed;71;false;false
4ed;72;false;false
4ed;73;false;false
4ed;74;false;false
4ed;75;false;false
4ed;76;false;false
4ed;77;false;false
4ed;78;false;false
4ed;79;false;false
4ed;80;false;false
4ed;81;false;false
4ed;82;false;false
4ed;83;false;false
4ed;84;false;false
4ed;85;false;false
4ed;86;false;false
4ed;87;false;false
4ed;88;false;false
4ed;89;false;false
4ed;90;false;false
4ed;91;false;false
4ed;92;false;false
4ed;93;false;false
4ed;94;false;false
4ed;95;false;false
4ed;96;false;false
4ed;97;false;false
4ed;98;false;false
4ed;99;false;false
4ed;100;false;false
4ed;101;false;false
4ed;102;false;false
4ed;103;false;false
4ed;104;false;false
4ed;105;false;false
4ed;106;false;false
4ed;107;false;false
4ed;108;false;false
4ed;109;false;false
4ed;110;false;false
4ed;111;false;false
4ed;112;false;false
4ed;113;false;false
4ed;114;false;false
4ed;115;false;false
4ed;116;false;false
4ed;117;false;false
4ed;118;false;false
4ed;119;false;false
4ed;120;false;false
4ed;121;false;false
4ed;122;false;false
4ed;123;false;false
4ed;124;false;false
4ed;125;false;false
4ed;126;false;false
4ed;127;false;false
4ed;128;false;false
4ed;129;false;false
4ed;130;false;false
4ed;131;false;false
4ed;132;false;false
4ed;133;false;false
4ed;134;false;false
4ed;135;false;false
4ed;136;false;false
4ed;137;false;false
4ed;138;false;false
4ed;139;false;false
4ed;140;false;false
4ed;141;false;false
4ed;142;false;false
4ed;143;false;false
4ed;144;false;false
4ed;145;false;false
4ed;146;false;false
4ed;147;false;false
4ed;148;false;false
4ed;149;false;false
4ed;150;false;false
4ed;151;false;false
4ed;152;false;false
4ed;153;false;false
4ed;154;false;false
4ed;155;false;false
4ed;156;false;false
4ed;157;false;false
4ed;158;false;false
4ed;159;false;false
4ed;160;false;false
4ed;161;false;false
4ed;162;false;false
4ed;163;false;false
4ed;164;false;false
4ed;165;false;false
4ed;166;false;false
4ed;167;false;false
4ed;168;false;false
4ed;169;false;false
4ed;170;false;false
4ed;171;false;false
4ed;172;false;false
