set;number;no_foil;foil
5dn;1;false;false
5dn;2;false;false
5dn;3;false;false
5dn;4;false;false
5dn;5;false;false
5dn;6;false;false
5dn;7;false;false
5dn;8;false;false
5dn;9;false;false
5dn;10;false;false
5dn;11;false;false
5dn;12;false;false
5dn;13;false;false
5dn;14;false;false
5dn;15;false;false
5dn;16;false;false
5dn;17;false;false
5dn;18;false;false
5dn;19;false;false
5dn;20;false;false
5dn;21;false;false
5dn;22;false;false
5dn;23;false;false
5dn;24;false;false
5dn;25;false;false
5dn;26;false;false
5dn;27;false;false
5dn;28;false;false
5dn;29;false;false
5dn;30;false;false
5dn;31;false;false
5dn;32;false;false
5dn;33;false;false
5dn;34;false;false
5dn;35;false;false
5dn;36;false;false
5dn;37;false;false
5dn;38;false;false
5dn;39;false;false
5dn;40;false;false
5dn;41;false;false
5dn;42;false;false
5dn;43;false;false
5dn;44;false;false
5dn;45;false;false
5dn;46;false;false
5dn;47;false;false
5dn;48;false;false
5dn;49;false;false
5dn;50;false;false
5dn;51;false;false
5dn;52;false;false
5dn;53;false;false
5dn;54;false;false
5dn;55;false;false
5dn;56;false;false
5dn;57;false;false
5dn;58;false;false
5dn;59;false;false
5dn;60;false;false
5dn;61;false;false
5dn;62;false;false
5dn;63;false;false
5dn;64;false;false
5dn;65;false;false
5dn;66;false;false
5dn;67;false;false
5dn;68;false;false
5dn;69;false;false
5dn;70;false;false
5dn;71;false;false
5dn;72;false;false
5dn;73;false;false
5dn;74;false;false
5dn;75;false;false
5dn;76;false;false
5dn;77;false;false
5dn;78;false;false
5dn;79;false;false
5dn;80;false;false
5dn;81;false;false
5dn;82;false;false
5dn;83;false;false
5dn;84;false;false
5dn;85;false;false
5dn;86;false;false
5dn;87;false;false
5dn;88;false;false
5dn;89;false;false
5dn;90;false;false
5dn;91;false;false
5dn;92;false;false
5dn;93;false;false
5dn;94;false;false
5dn;95;false;false
5dn;96;false;false
5dn;97;false;false
5dn;98;false;false
5dn;99;false;false
5dn;100;false;false
5dn;101;false;false
5dn;102;false;false
5dn;103;false;false
5dn;104;false;false
5dn;105;false;false
5dn;106;false;false
5dn;107;false;false
5dn;108;false;false
5dn;109;false;false
5dn;110;false;false
5dn;111;false;false
5dn;112;false;false
5dn;113;false;false
5dn;114;false;false
5dn;115;false;false
5dn;116;false;false
5dn;117;false;false
5dn;118;false;false
5dn;119;false;false
5dn;120;false;false
5dn;121;false;false
5dn;122;false;false
5dn;123;false;false
5dn;124;false;false
5dn;125;false;false
5dn;126;false;false
5dn;127;false;false
5dn;128;false;false
5dn;129;false;false
5dn;130;false;false
5dn;131;false;false
5dn;132;false;false
5dn;133;false;false
5dn;134;false;false
5dn;135;false;false
5dn;136;false;false
5dn;137;false;false
5dn;138;false;false
5dn;139;false;false
5dn;140;false;false
5dn;141;false;false
5dn;142;false;false
5dn;143;false;false
5dn;144;false;false
5dn;145;false;false
5dn;146;false;false
5dn;147;false;false
5dn;148;false;false
5dn;149;false;false
5dn;150;false;false
5dn;151;false;false
5dn;152;false;false
5dn;153;false;false
5dn;154;false;false
5dn;155;false;false
5dn;156;false;false
5dn;157;false;false
5dn;158;false;false
5dn;159;false;false
5dn;160;false;false
5dn;161;false;false
5dn;162;false;false
5dn;163;false;false
5dn;164;false;false
5dn;165;false;false
