set;number;no_foil;foil
a25;1;false;false
a25;2;false;false
a25;3;false;false
a25;4;false;false
a25;5;false;false
a25;6;false;false
a25;7;false;false
a25;8;false;false
a25;9;false;false
a25;10;false;false
a25;11;false;false
a25;12;false;false
a25;13;false;false
a25;14;false;false
a25;15;false;false
a25;16;false;false
a25;17;false;false
a25;18;false;false
a25;19;false;false
a25;20;false;false
a25;21;false;false
a25;22;false;false
a25;23;false;false
a25;24;false;false
a25;25;false;false
a25;26;false;false
a25;27;false;false
a25;28;false;false
a25;29;false;false
a25;30;false;false
a25;31;false;false
a25;32;false;false
a25;33;false;false
a25;34;false;false
a25;35;false;false
a25;36;false;false
a25;37;false;false
a25;38;false;false
a25;39;false;false
a25;40;false;false
a25;41;false;false
a25;42;false;false
a25;43;false;false
a25;44;false;false
a25;45;false;false
a25;46;false;false
a25;47;false;false
a25;48;false;false
a25;49;false;false
a25;50;false;false
a25;51;false;false
a25;52;false;false
a25;53;false;false
a25;54;false;false
a25;55;false;false
a25;56;false;false
a25;57;false;false
a25;58;false;false
a25;59;false;false
a25;60;false;false
a25;61;false;false
a25;62;false;false
a25;63;false;false
a25;64;false;false
a25;65;false;false
a25;66;false;false
a25;67;false;false
a25;68;false;false
a25;69;false;false
a25;70;false;false
a25;71;false;false
a25;72;false;false
a25;73;false;false
a25;74;false;false
a25;75;false;false
a25;76;false;false
a25;77;false;false
a25;78;false;false
a25;79;false;false
a25;80;false;false
a25;81;false;false
a25;82;false;false
a25;83;false;false
a25;84;false;false
a25;85;false;false
a25;86;false;false
a25;87;false;false
a25;88;false;false
a25;89;false;false
a25;90;false;false
a25;91;false;false
a25;92;false;false
a25;93;false;false
a25;94;false;false
a25;95;false;false
a25;96;false;false
a25;97;false;false
a25;98;false;false
a25;99;false;false
a25;100;false;false
a25;101;false;false
a25;102;false;false
a25;103;false;false
a25;104;false;false
a25;105;false;false
a25;106;false;false
a25;107;false;false
a25;108;false;false
a25;109;false;false
a25;110;false;false
a25;111;false;false
a25;112;false;false
a25;113;false;false
a25;114;false;false
a25;115;false;false
a25;116;false;false
a25;117;false;false
a25;118;false;false
a25;119;false;false
a25;120;false;false
a25;121;false;false
a25;122;false;false
a25;123;false;false
a25;124;false;false
a25;125;false;false
a25;126;false;false
a25;127;false;false
a25;128;false;false
a25;129;false;false
a25;130;false;false
a25;131;false;false
a25;132;false;false
a25;133;false;false
a25;134;false;false
a25;135;false;false
a25;136;false;false
a25;137;false;false
a25;138;false;false
a25;139;false;false
a25;140;false;false
a25;141;false;false
a25;142;false;false
a25;143;false;false
a25;144;false;false
a25;145;false;false
a25;146;false;false
a25;147;false;false
a25;148;false;false
a25;149;false;false
a25;150;false;false
a25;151;false;false
a25;152;false;false
a25;153;false;false
a25;154;false;false
a25;155;false;false
a25;156;false;false
a25;157;false;false
a25;158;false;false
a25;159;false;false
a25;160;false;false
a25;161;false;false
a25;162;false;false
a25;163;false;false
a25;164;false;false
a25;165;false;false
a25;166;false;false
a25;167;false;false
a25;168;false;false
a25;169;false;false
a25;170;false;false
a25;171;false;false
a25;172;false;false
a25;173;false;false
a25;174;false;false
a25;175;false;false
a25;176;false;false
a25;177;false;false
a25;178;false;false
a25;179;false;false
a25;180;false;false
a25;181;false;false
a25;182;false;false
a25;183;false;false
a25;184;false;false
a25;185;false;false
a25;186;false;false
a25;187;false;false
a25;188;false;false
a25;189;false;false
a25;190;false;false
a25;191;false;false
a25;192;false;false
a25;193;false;false
a25;194;false;false
a25;195;false;false
a25;196;false;false
a25;197;false;false
a25;198;false;false
a25;199;false;false
a25;200;false;false
a25;201;false;false
a25;202;false;false
a25;203;false;false
a25;204;false;false
a25;205;false;false
a25;206;false;false
a25;207;false;false
a25;208;false;false
a25;209;false;false
a25;210;false;false
a25;211;false;false
a25;212;false;false
a25;213;false;false
a25;214;false;false
a25;215;false;false
a25;216;false;false
a25;217;false;false
a25;218;false;false
a25;219;false;false
a25;220;false;false
a25;221;false;false
a25;222;false;false
a25;223;false;false
a25;224;false;false
a25;225;false;false
a25;226;false;false
a25;227;false;false
a25;228;false;false
a25;229;false;false
a25;230;false;false
a25;231;false;false
a25;232;false;false
a25;233;false;false
a25;234;false;false
a25;235;false;false
a25;236;false;false
a25;237;false;false
a25;238;false;false
a25;239;false;false
a25;240;false;false
a25;241;false;false
a25;242;false;false
a25;243;false;false
a25;244;false;false
a25;245;false;false
a25;246;false;false
a25;247;false;false
a25;248;false;false
a25;249;false;false
