set;number;no_foil;foil
acr;1;false;false
acr;2;false;false
acr;3;false;false
acr;4;false;false
acr;5;false;false
acr;6;false;false
acr;7;false;false
acr;8;false;false
acr;9;false;false
acr;10;false;false
acr;11;false;false
acr;12;false;false
acr;13;false;false
acr;14;false;false
acr;15;false;false
acr;16;false;false
acr;17;false;false
acr;18;false;false
acr;19;false;false
acr;20;false;false
acr;21;false;false
acr;22;false;false
acr;23;false;false
acr;24;false;false
acr;25;false;false
acr;26;false;false
acr;27;false;false
acr;28;false;false
acr;29;false;false
acr;30;false;false
acr;31;false;false
acr;32;false;false
acr;33;false;false
acr;34;false;false
acr;35;false;false
acr;36;false;false
acr;37;false;false
acr;38;false;false
acr;39;false;false
acr;40;false;false
acr;41;false;false
acr;42;false;false
acr;43;false;false
acr;44;false;false
acr;45;false;false
acr;46;false;false
acr;47;false;false
acr;48;false;false
acr;49;false;false
acr;50;false;false
acr;51;false;false
acr;52;false;false
acr;53;false;false
acr;54;false;false
acr;55;false;false
acr;56;false;false
acr;57;false;false
acr;58;false;false
acr;59;false;false
acr;60;false;false
acr;61;false;false
acr;62;false;false
acr;63;false;false
acr;64;false;false
acr;65;false;false
acr;66;false;false
acr;67;false;false
acr;68;false;false
acr;69;false;false
acr;70;false;false
acr;71;false;false
acr;72;false;false
acr;73;false;false
acr;74;false;false
acr;75;false;false
acr;76;false;false
acr;77;false;false
acr;78;false;false
acr;79;false;false
acr;80;false;false
acr;81;false;false
acr;82;false;false
acr;83;false;false
acr;84;false;false
acr;85;false;false
acr;86;false;false
acr;87;false;false
acr;88;false;false
acr;89;false;false
acr;90;false;false
acr;91;false;false
acr;92;false;false
acr;93;false;false
acr;94;false;false
acr;95;false;false
acr;96;false;false
acr;97;false;false
acr;98;false;false
acr;99;false;false
acr;100;false;false
acr;101;false;false
acr;102;false;false
acr;103;false;false
acr;104;false;false
acr;105;false;false
acr;106;false;false
acr;107;false;false
acr;108;false;false
acr;109;false;false
acr;110;false;false
acr;111;false;false
acr;112;false;false
acr;113;false;false
acr;114;false;false
acr;115;false;false
acr;116;false;false
acr;117;false;false
acr;118;false;false
acr;118z;false;false
acr;119;false;false
acr;120;false;false
acr;120z;false;false
acr;121;false;false
acr;122;false;false
acr;123;false;false
acr;124;false;false
acr;125;false;false
acr;126;false;false
acr;127;false;false
acr;128;false;false
acr;129;false;false
acr;130;false;false
acr;131;false;false
acr;132;false;false
acr;133;false;false
acr;134;false;false
acr;135;false;false
acr;136;false;false
acr;137;false;false
acr;138;false;false
acr;139;false;false
acr;140;false;false
acr;141;false;false
acr;142;false;false
acr;143;false;false
acr;144;false;false
acr;145;false;false
acr;146;false;false
acr;147;false;false
acr;148;false;false
acr;149;false;false
acr;150;false;false
acr;151;false;false
acr;152;false;false
acr;153;false;false
acr;154;false;false
acr;155;false;false
acr;156;false;false
acr;157;false;false
acr;158;false;false
acr;159;false;false
acr;160;false;false
acr;161;false;false
acr;162;false;false
acr;163;false;false
acr;164;false;false
acr;165;false;false
acr;166;false;false
acr;167;false;false
acr;168;false;false
acr;169;false;false
acr;170;false;false
acr;171;false;false
acr;172;false;false
acr;173;false;false
acr;174;false;false
acr;175;false;false
acr;176;false;false
acr;177;false;false
acr;178;false;false
acr;179;false;false
acr;180;false;false
acr;181;false;false
acr;182;false;false
acr;183;false;false
acr;184;false;false
acr;185;false;false
acr;186;false;false
acr;187;false;false
acr;188;false;false
acr;189;false;false
acr;190;false;false
acr;191;false;false
acr;192;false;false
acr;193;false;false
acr;194;false;false
acr;195;false;false
acr;196;false;false
acr;197;false;false
acr;198;false;false
acr;199;false;false
acr;200;false;false
acr;201;false;false
acr;202;false;false
acr;203;false;false
acr;204;false;false
acr;205;false;false
acr;206;false;false
acr;207;false;false
acr;208;false;false
acr;209;false;false
acr;210;false;false
acr;211;false;false
acr;212;false;false
acr;213;false;false
acr;214;false;false
acr;215;false;false
acr;216;false;false
acr;217;false;false
acr;218;false;false
acr;219;false;false
acr;220;false;false
acr;221;false;false
acr;222;false;false
acr;223;false;false
acr;224;false;false
acr;225;false;false
acr;226;false;false
acr;227;false;false
acr;228;false;false
acr;229;false;false
acr;230;false;false
acr;231;false;false
acr;232;false;false
acr;233;false;false
acr;234;false;false
acr;235;false;false
acr;236;false;false
acr;237;false;false
acr;238;false;false
acr;239;false;false
acr;240;false;false
acr;241;false;false
acr;242;false;false
acr;243;false;false
acr;244;false;false
acr;245;false;false
acr;246;false;false
acr;247;false;false
acr;248;false;false
acr;249;false;false
acr;250;false;false
acr;251;false;false
acr;252;false;false
acr;253;false;false
acr;254;false;false
acr;255;false;false
acr;256;false;false
acr;257;false;false
acr;258;false;false
acr;259;false;false
acr;260;false;false
acr;261;false;false
acr;262;false;false
acr;263;false;false
acr;264;false;false
acr;265;false;false
acr;266;false;false
acr;267;false;false
acr;268;false;false
acr;269;false;false
acr;270;false;false
acr;271;false;false
acr;272;false;false
acr;273;false;false
acr;274;false;false
acr;275;false;false
acr;276;false;false
acr;277;false;false
acr;278;false;false
acr;279;false;false
acr;280;false;false
acr;281;false;false
acr;282;false;false
acr;283;false;false
acr;284;false;false
acr;285;false;false
acr;286;false;false
acr;287;false;false
acr;288;false;false
acr;289;false;false
acr;290;false;false
acr;291;false;false
acr;292;false;false
acr;293;false;false
acr;294;false;false
acr;295;false;false
acr;296;false;false
acr;297;false;false
acr;298;false;false
acr;299;false;false
acr;300;false;false
acr;301;false;false
acr;302;false;false
acr;303;false;false
acr;304;false;false
acr;305;false;false
acr;306;false;false
acr;307;false;false
