set;number;no_foil;foil
aer;1;false;false
aer;2;false;false
aer;3;false;false
aer;4;false;false
aer;5;false;false
aer;6;false;false
aer;7;false;false
aer;8;false;false
aer;9;false;false
aer;10;false;false
aer;11;false;false
aer;12;false;false
aer;13;false;false
aer;14;false;false
aer;15;false;false
aer;16;false;false
aer;17;false;false
aer;18;false;false
aer;19;false;false
aer;20;false;false
aer;21;false;false
aer;22;false;false
aer;23;false;false
aer;24;false;false
aer;25;false;false
aer;26;false;false
aer;27;false;false
aer;28;false;false
aer;29;false;false
aer;30;false;false
aer;31;false;false
aer;32;false;false
aer;33;false;false
aer;34;false;false
aer;35;false;false
aer;36;false;false
aer;37;false;false
aer;38;false;false
aer;39;false;false
aer;40;false;false
aer;41;false;false
aer;42;false;false
aer;43;false;false
aer;44;false;false
aer;45;false;false
aer;46;false;false
aer;47;false;false
aer;48;false;false
aer;49;false;false
aer;50;false;false
aer;51;false;false
aer;52;false;false
aer;53;false;false
aer;54;false;false
aer;55;false;false
aer;56;false;false
aer;57;false;false
aer;58;false;false
aer;59;false;false
aer;60;false;false
aer;61;false;false
aer;62;false;false
aer;63;false;false
aer;64;false;false
aer;65;false;false
aer;66;false;false
aer;67;false;false
aer;68;false;false
aer;69;false;false
aer;70;false;false
aer;71;false;false
aer;72;false;false
aer;73;false;false
aer;74;false;false
aer;75;false;false
aer;76;false;false
aer;77;false;false
aer;78;false;false
aer;79;false;false
aer;80;false;false
aer;81;false;false
aer;82;false;false
aer;83;false;false
aer;84;false;false
aer;85;false;false
aer;86;false;false
aer;87;false;false
aer;88;false;false
aer;89;false;false
aer;90;false;false
aer;91;false;false
aer;92;false;false
aer;93;false;false
aer;94;false;false
aer;95;false;false
aer;96;false;false
aer;97;false;false
aer;98;false;false
aer;99;false;false
aer;100;false;false
aer;101;false;false
aer;102;false;false
aer;103;false;false
aer;104;false;false
aer;105;false;false
aer;106;false;false
aer;107;false;false
aer;108;false;false
aer;109;false;false
aer;110;false;false
aer;111;false;false
aer;112;false;false
aer;113;false;false
aer;114;false;false
aer;115;false;false
aer;116;false;false
aer;117;false;false
aer;118;false;false
aer;119;false;false
aer;120;false;false
aer;121;false;false
aer;122;false;false
aer;123;false;false
aer;124;false;false
aer;125;false;false
aer;126;false;false
aer;127;false;false
aer;128;false;false
aer;129;false;false
aer;130;false;false
aer;131;false;false
aer;132;false;false
aer;133;false;false
aer;134;false;false
aer;135;false;false
aer;136;false;false
aer;137;false;false
aer;138;false;false
aer;139;false;false
aer;140;false;false
aer;141;false;false
aer;142;false;false
aer;143;false;false
aer;144;false;false
aer;145;false;false
aer;146;false;false
aer;147;false;false
aer;148;false;false
aer;149;false;false
aer;150;false;false
aer;151;false;false
aer;152;false;false
aer;153;false;false
aer;154;false;false
aer;155;false;false
aer;156;false;false
aer;157;false;false
aer;158;false;false
aer;159;false;false
aer;160;false;false
aer;161;false;false
aer;162;false;false
aer;163;false;false
aer;164;false;false
aer;165;false;false
aer;166;false;false
aer;167;false;false
aer;168;false;false
aer;169;false;false
aer;170;false;false
aer;171;false;false
aer;172;false;false
aer;173;false;false
aer;174;false;false
aer;175;false;false
aer;176;false;false
aer;177;false;false
aer;178;false;false
aer;179;false;false
aer;180;false;false
aer;181;false;false
aer;182;false;false
aer;183;false;false
aer;184;false;false
aer;185;false;false
aer;186;false;false
aer;187;false;false
aer;188;false;false
aer;189;false;false
aer;190;false;false
aer;191;false;false
aer;192;false;false
aer;193;false;false
aer;194;false;false
