set;number;no_foil;foil
afc;1;false;false
afc;2;false;false
afc;3;false;false
afc;4;false;false
afc;5;false;false
afc;6;false;false
afc;7;false;false
afc;8;false;false
afc;9;false;false
afc;10;false;false
afc;11;false;false
afc;12;false;false
afc;13;false;false
afc;14;false;false
afc;15;false;false
afc;16;false;false
afc;17;false;false
afc;18;false;false
afc;19;false;false
afc;20;false;false
afc;21;false;false
afc;22;false;false
afc;23;false;false
afc;24;false;false
afc;25;false;false
afc;26;false;false
afc;27;false;false
afc;28;false;false
afc;29;false;false
afc;30;false;false
afc;31;false;false
afc;32;false;false
afc;33;false;false
afc;34;false;false
afc;35;false;false
afc;36;false;false
afc;37;false;false
afc;38;false;false
afc;39;false;false
afc;40;false;false
afc;41;false;false
afc;42;false;false
afc;43;false;false
afc;44;false;false
afc;45;false;false
afc;46;false;false
afc;47;false;false
afc;48;false;false
afc;49;false;false
afc;50;false;false
afc;51;false;false
afc;52;false;false
afc;53;false;false
afc;54;false;false
afc;55;false;false
afc;56;false;false
afc;57;false;false
afc;58;false;false
afc;59;false;false
afc;60;false;false
afc;61;false;false
afc;62;false;false
afc;63;false;false
afc;64;false;false
afc;65;false;false
afc;66;false;false
afc;67;false;false
afc;68;false;false
afc;69;false;false
afc;70;false;false
afc;71;false;false
afc;72;false;false
afc;73;false;false
afc;74;false;false
afc;75;false;false
afc;76;false;false
afc;77;false;false
afc;78;false;false
afc;79;false;false
afc;80;false;false
afc;81;false;false
afc;82;false;false
afc;83;false;false
afc;84;false;false
afc;85;false;false
afc;86;false;false
afc;87;false;false
afc;88;false;false
afc;89;false;false
afc;90;false;false
afc;91;false;false
afc;92;false;false
afc;93;false;false
afc;94;false;false
afc;95;false;false
afc;96;false;false
afc;97;false;false
afc;98;false;false
afc;99;false;false
afc;100;false;false
afc;101;false;false
afc;102;false;false
afc;103;false;false
afc;104;false;false
afc;105;false;false
afc;106;false;false
afc;107;false;false
afc;108;false;false
afc;109;false;false
afc;110;false;false
afc;111;false;false
afc;112;false;false
afc;113;false;false
afc;114;false;false
afc;115;false;false
afc;116;false;false
afc;117;false;false
afc;118;false;false
afc;119;false;false
afc;120;false;false
afc;121;false;false
afc;122;false;false
afc;123;false;false
afc;124;false;false
afc;125;false;false
afc;126;false;false
afc;127;false;false
afc;128;false;false
afc;129;false;false
afc;130;false;false
afc;131;false;false
afc;132;false;false
afc;133;false;false
afc;134;false;false
afc;135;false;false
afc;136;false;false
afc;137;false;false
afc;138;false;false
afc;139;false;false
afc;140;false;false
afc;141;false;false
afc;142;false;false
afc;143;false;false
afc;144;false;false
afc;145;false;false
afc;146;false;false
afc;147;false;false
afc;148;false;false
afc;149;false;false
afc;150;false;false
afc;151;false;false
afc;152;false;false
afc;153;false;false
afc;154;false;false
afc;155;false;false
afc;156;false;false
afc;157;false;false
afc;158;false;false
afc;159;false;false
afc;160;false;false
afc;161;false;false
afc;162;false;false
afc;163;false;false
afc;164;false;false
afc;165;false;false
afc;166;false;false
afc;167;false;false
afc;168;false;false
afc;169;false;false
afc;170;false;false
afc;171;false;false
afc;172;false;false
afc;173;false;false
afc;174;false;false
afc;175;false;false
afc;176;false;false
afc;177;false;false
afc;178;false;false
afc;179;false;false
afc;180;false;false
afc;181;false;false
afc;182;false;false
afc;183;false;false
afc;184;false;false
afc;185;false;false
afc;186;false;false
afc;187;false;false
afc;188;false;false
afc;189;false;false
afc;190;false;false
afc;191;false;false
afc;192;false;false
afc;193;false;false
afc;194;false;false
afc;195;false;false
afc;196;false;false
afc;197;false;false
afc;198;false;false
afc;199;false;false
afc;200;false;false
afc;201;false;false
afc;202;false;false
afc;203;false;false
afc;204;false;false
afc;205;false;false
afc;206;false;false
afc;207;false;false
afc;208;false;false
afc;209;false;false
afc;210;false;false
afc;211;false;false
afc;212;false;false
afc;213;false;false
afc;214;false;false
afc;215;false;false
afc;216;false;false
afc;217;false;false
afc;218;false;false
afc;219;false;false
afc;220;false;false
afc;221;false;false
afc;222;false;false
afc;223;false;false
afc;224;false;false
afc;225;false;false
afc;226;false;false
afc;227;false;false
afc;228;false;false
afc;229;false;false
afc;230;false;false
afc;231;false;false
afc;232;false;false
afc;233;false;false
afc;234;false;false
afc;235;false;false
afc;236;false;false
afc;237;false;false
afc;238;false;false
afc;239;false;false
afc;240;false;false
afc;241;false;false
afc;242;false;false
afc;243;false;false
afc;244;false;false
afc;245;false;false
afc;246;false;false
afc;247;false;false
afc;248;false;false
afc;249;false;false
afc;250;false;false
afc;251;false;false
afc;252;false;false
afc;253;false;false
afc;254;false;false
afc;255;false;false
afc;256;false;false
afc;257;false;false
afc;258;false;false
afc;259;false;false
afc;260;false;false
afc;261;false;false
afc;262;false;false
afc;263;false;false
afc;264;false;false
afc;265;false;false
