set;number;no_foil;foil
afr;1;false;false
afr;2;false;false
afr;3;false;false
afr;4;false;false
afr;5;false;false
afr;6;false;false
afr;7;false;false
afr;A-7;false;false
afr;8;false;false
afr;9;false;false
afr;A-9;false;false
afr;10;false;false
afr;11;false;false
afr;12;false;false
afr;13;false;false
afr;14;false;false
afr;A-14;false;false
afr;15;false;false
afr;16;false;false
afr;17;false;false
afr;18;false;false
afr;19;false;false
afr;20;false;false
afr;21;false;false
afr;22;false;false
afr;23;false;false
afr;24;false;false
afr;25;false;false
afr;26;false;false
afr;27;false;false
afr;28;false;false
afr;29;false;false
afr;30;false;false
afr;31;false;false
afr;32;false;false
afr;A-32;false;false
afr;33;false;false
afr;34;false;false
afr;35;false;false
afr;36;false;false
afr;37;false;false
afr;38;false;false
afr;39;false;false
afr;40;false;false
afr;41;false;false
afr;42;false;false
afr;43;false;false
afr;44;false;false
afr;45;false;false
afr;46;false;false
afr;47;false;false
afr;48;false;false
afr;49;false;false
afr;50;false;false
afr;51;false;false
afr;52;false;false
afr;53;false;false
afr;A-53;false;false
afr;54;false;false
afr;55;false;false
afr;56;false;false
afr;57;false;false
afr;58;false;false
afr;59;false;false
afr;60;false;false
afr;61;false;false
afr;62;false;false
afr;63;false;false
afr;64;false;false
afr;65;false;false
afr;66;false;false
afr;67;false;false
afr;68;false;false
afr;69;false;false
afr;70;false;false
afr;71;false;false
afr;72;false;false
afr;73;false;false
afr;74;false;false
afr;75;false;false
afr;76;false;false
afr;77;false;false
afr;78;false;false
afr;79;false;false
afr;80;false;false
afr;81;false;false
afr;A-81;false;false
afr;82;false;false
afr;83;false;false
afr;84;false;false
afr;85;false;false
afr;86;false;false
afr;87;false;false
afr;A-87;false;false
afr;88;false;false
afr;89;false;false
afr;90;false;false
afr;91;false;false
afr;92;false;false
afr;93;false;false
afr;94;false;false
afr;95;false;false
afr;A-95;false;false
afr;96;false;false
afr;97;false;false
afr;98;false;false
afr;99;false;false
afr;100;false;false
afr;101;false;false
afr;102;false;false
afr;A-102;false;false
afr;103;false;false
afr;104;false;false
afr;105;false;false
afr;106;false;false
afr;107;false;false
afr;108;false;false
afr;109;false;false
afr;110;false;false
afr;111;false;false
afr;112;false;false
afr;113;false;false
afr;114;false;false
afr;115;false;false
afr;A-115;false;false
afr;116;false;false
afr;117;false;false
afr;118;false;false
afr;A-118;false;false
afr;119;false;false
afr;120;false;false
afr;121;false;false
afr;122;false;false
afr;123;false;false
afr;124;false;false
afr;125;false;false
afr;126;false;false
afr;127;false;false
afr;128;false;false
afr;129;false;false
afr;130;false;false
afr;A-130;false;false
afr;131;false;false
afr;132;false;false
afr;133;false;false
afr;134;false;false
afr;135;false;false
afr;136;false;false
afr;137;false;false
afr;138;false;false
afr;139;false;false
afr;140;false;false
afr;141;false;false
afr;142;false;false
afr;143;false;false
afr;144;false;false
afr;145;false;false
afr;146;false;false
afr;147;false;false
afr;148;false;false
afr;149;false;false
afr;150;false;false
afr;151;false;false
afr;152;false;false
afr;153;false;false
afr;154;false;false
afr;155;false;false
afr;156;false;false
afr;157;false;false
afr;158;false;false
afr;159;false;false
afr;160;false;false
afr;161;false;false
afr;162;false;false
