set;number;no_foil;foil
akr;1;false;false
akr;2;false;false
akr;3;false;false
akr;4;false;false
akr;5;false;false
akr;6;false;false
akr;7;false;false
akr;8;false;false
akr;9;false;false
akr;10;false;false
akr;11;false;false
akr;12;false;false
akr;13;false;false
akr;14;false;false
akr;15;false;false
akr;16;false;false
akr;17;false;false
akr;18;false;false
akr;19;false;false
akr;20;false;false
akr;21;false;false
akr;22;false;false
akr;23;false;false
akr;24;false;false
akr;25;false;false
akr;26;false;false
akr;27;false;false
akr;28;false;false
akr;29;false;false
akr;30;false;false
akr;31;false;false
akr;32;false;false
akr;33;false;false
akr;34;false;false
akr;35;false;false
akr;36;false;false
akr;37;false;false
akr;38;false;false
akr;39;false;false
akr;40;false;false
akr;41;false;false
akr;42;false;false
akr;43;false;false
akr;44;false;false
akr;45;false;false
akr;46;false;false
akr;47;false;false
akr;48;false;false
akr;49;false;false
akr;50;false;false
akr;51;false;false
akr;52;false;false
akr;53;false;false
akr;54;false;false
akr;55;false;false
akr;56;false;false
akr;57;false;false
akr;58;false;false
akr;59;false;false
akr;60;false;false
akr;61;false;false
akr;62;false;false
akr;63;false;false
akr;64;false;false
akr;65;false;false
akr;66;false;false
akr;67;false;false
akr;68;false;false
akr;69;false;false
akr;70;false;false
akr;71;false;false
akr;72;false;false
akr;73;false;false
akr;74;false;false
akr;75;false;false
akr;76;false;false
akr;77;false;false
akr;78;false;false
akr;79;false;false
akr;80;false;false
akr;81;false;false
akr;82;false;false
akr;83;false;false
akr;84;false;false
akr;85;false;false
akr;86;false;false
akr;87;false;false
akr;88;false;false
akr;89;false;false
akr;90;false;false
akr;91;false;false
akr;92;false;false
akr;93;false;false
akr;94;false;false
akr;95;false;false
akr;96;false;false
akr;97;false;false
akr;98;false;false
akr;99;false;false
akr;100;false;false
akr;101;false;false
akr;102;false;false
akr;103;false;false
akr;104;false;false
akr;105;false;false
akr;106;false;false
akr;107;false;false
akr;108;false;false
akr;109;false;false
akr;110;false;false
akr;111;false;false
akr;112;false;false
akr;113;false;false
akr;114;false;false
akr;115;false;false
akr;116;false;false
akr;117;false;false
akr;118;false;false
akr;119;false;false
akr;120;false;false
akr;121;false;false
akr;122;false;false
akr;123;false;false
akr;124;false;false
akr;125;false;false
akr;126;false;false
akr;127;false;false
akr;128;false;false
akr;129;false;false
akr;130;false;false
akr;131;false;false
akr;132;false;false
akr;133;false;false
akr;134;false;false
akr;135;false;false
akr;136;false;false
akr;137;false;false
akr;138;false;false
akr;139;false;false
akr;140;false;false
akr;141;false;false
akr;142;false;false
akr;143;false;false
akr;144;false;false
akr;145;false;false
akr;146;false;false
akr;147;false;false
akr;148;false;false
akr;149;false;false
akr;150;false;false
akr;151;false;false
akr;152;false;false
akr;153;false;false
akr;154;false;false
akr;155;false;false
akr;156;false;false
akr;157;false;false
akr;158;false;false
akr;159;false;false
akr;160;false;false
akr;161;false;false
akr;162;false;false
akr;163;false;false
akr;164;false;false
akr;165;false;false
akr;166;false;false
akr;167;false;false
akr;168;false;false
akr;169;false;false
akr;170;false;false
akr;171;false;false
akr;172;false;false
akr;173;false;false
akr;174;false;false
akr;175;false;false
akr;176;false;false
akr;177;false;false
akr;178;false;false
akr;179;false;false
akr;180;false;false
akr;181;false;false
akr;182;false;false
akr;183;false;false
akr;184;false;false
akr;185;false;false
akr;186;false;false
akr;187;false;false
akr;188;false;false
akr;189;false;false
akr;190;false;false
akr;191;false;false
akr;192;false;false
akr;193;false;false
akr;194;false;false
akr;195;false;false
akr;196;false;false
akr;197;false;false
akr;198;false;false
akr;199;false;false
akr;200;false;false
akr;201;false;false
akr;202;false;false
akr;203;false;false
akr;204;false;false
akr;205;false;false
akr;206;false;false
akr;207;false;false
akr;208;false;false
akr;209;false;false
akr;210;false;false
akr;211;false;false
akr;212;false;false
akr;213;false;false
akr;214;false;false
akr;215;false;false
akr;216;false;false
akr;217;false;false
akr;218;false;false
akr;219;false;false
akr;220;false;false
akr;221;false;false
akr;222;false;false
akr;223;false;false
akr;224;false;false
akr;225;false;false
akr;226;false;false
akr;227;false;false
akr;228;false;false
akr;229;false;false
akr;230;false;false
akr;231;false;false
akr;232;false;false
akr;233;false;false
akr;234;false;false
akr;235;false;false
akr;236;false;false
akr;237;false;false
akr;238;false;false
akr;239;false;false
akr;240;false;false
akr;241;false;false
akr;242;false;false
akr;243;false;false
akr;244;false;false
akr;245;false;false
akr;246;false;false
akr;247;false;false
akr;248;false;false
akr;249;false;false
akr;250;false;false
akr;251;false;false
akr;252;false;false
akr;253;false;false
akr;254;false;false
akr;255;false;false
akr;256;false;false
akr;257;false;false
akr;258;false;false
akr;259;false;false
akr;260;false;false
akr;261;false;false
akr;262;false;false
akr;263;false;false
akr;264;false;false
akr;265;false;false
akr;266;false;false
akr;267;false;false
akr;268;false;false
akr;269;false;false
akr;270;false;false
akr;271;false;false
akr;272;false;false
akr;273;false;false
akr;274;false;false
akr;275;false;false
akr;276;false;false
akr;277;false;false
akr;278;false;false
akr;279;false;false
akr;280;false;false
akr;281;false;false
akr;282;false;false
akr;283;false;false
akr;284;false;false
akr;285;false;false
akr;286;false;false
akr;287;false;false
akr;288;false;false
akr;289;false;false
akr;290;false;false
akr;291;false;false
akr;292;false;false
akr;293;false;false
akr;294;false;false
akr;295;false;false
akr;296;false;false
akr;297;false;false
akr;298;false;false
akr;299;false;false
akr;300;false;false
akr;301;false;false
akr;302;false;false
akr;303;false;false
akr;304;false;false
akr;305;false;false
akr;306;false;false
akr;307;false;false
akr;308;false;false
akr;309;false;false
akr;310;false;false
akr;311;false;false
akr;312;false;false
akr;313;false;false
akr;314;false;false
akr;315;false;false
akr;316;false;false
akr;317;false;false
akr;318;false;false
akr;319;false;false
akr;320;false;false
akr;321;false;false
akr;322;false;false
akr;323;false;false
akr;324;false;false
akr;325;false;false
akr;326;false;false
akr;327;false;false
akr;328;false;false
akr;329;false;false
akr;330;false;false
akr;331;false;false
akr;332;false;false
akr;333;false;false
akr;334;false;false
akr;335;false;false
akr;336;false;false
akr;337;false;false
akr;338;false;false
akr;339;false;false
