set;number;no_foil;foil
ala;1;false;false
ala;2;false;false
ala;3;false;false
ala;4;false;false
ala;5;false;false
ala;6;false;false
ala;7;false;false
ala;8;false;false
ala;9;false;false
ala;10;false;false
ala;11;false;false
ala;12;false;false
ala;13;false;false
ala;14;false;false
ala;15;false;false
ala;16;false;false
ala;17;false;false
ala;18;false;false
ala;19;false;false
ala;20;false;false
ala;21;false;false
ala;22;false;false
ala;23;false;false
ala;24;false;false
ala;25;false;false
ala;26;false;false
ala;27;false;false
ala;28;false;false
ala;29;false;false
ala;30;false;false
ala;31;false;false
ala;32;false;false
ala;33;false;false
ala;34;false;false
ala;35;false;false
ala;36;false;false
ala;37;false;false
ala;38;false;false
ala;39;false;false
ala;40;false;false
ala;41;false;false
ala;42;false;false
ala;43;false;false
ala;44;false;false
ala;45;false;false
ala;46;false;false
ala;47;false;false
ala;48;false;false
ala;49;false;false
ala;50;false;false
ala;51;false;false
ala;52;false;false
ala;53;false;false
ala;54;false;false
ala;55;false;false
ala;56;false;false
ala;57;false;false
ala;58;false;false
ala;59;false;false
ala;60;false;false
ala;61;false;false
ala;62;false;false
ala;63;false;false
ala;64;false;false
ala;65;false;false
ala;66;false;false
ala;67;false;false
ala;68;false;false
ala;69;false;false
ala;70;false;false
ala;71;false;false
ala;72;false;false
ala;73;false;false
ala;74;false;false
ala;75;false;false
ala;76;false;false
ala;77;false;false
ala;78;false;false
ala;79;false;false
ala;80;false;false
ala;81;false;false
ala;82;false;false
ala;83;false;false
ala;84;false;false
ala;85;false;false
ala;86;false;false
ala;87;false;false
ala;88;false;false
ala;89;false;false
ala;90;false;false
ala;91;false;false
ala;92;false;false
ala;93;false;false
ala;94;false;false
ala;95;false;false
ala;96;false;false
ala;97;false;false
ala;98;false;false
ala;99;false;false
ala;100;false;false
ala;101;false;false
ala;102;false;false
ala;103;false;false
ala;104;false;false
ala;105;false;false
ala;106;false;false
ala;107;false;false
ala;108;false;false
ala;109;false;false
ala;110;false;false
ala;111;false;false
ala;112;false;false
ala;113;false;false
ala;114;false;false
ala;115;false;false
ala;116;false;false
ala;117;false;false
ala;118;false;false
ala;119;false;false
ala;120;false;false
ala;121;false;false
ala;122;false;false
ala;123;false;false
ala;124;false;false
ala;125;false;false
ala;126;false;false
ala;127;false;false
ala;128;false;false
ala;129;false;false
ala;130;false;false
ala;131;false;false
ala;132;false;false
ala;133;false;false
ala;134;false;false
ala;135;false;false
ala;136;false;false
ala;137;false;false
ala;138;false;false
ala;139;false;false
ala;140;false;false
ala;141;false;false
ala;142;false;false
ala;143;false;false
ala;144;false;false
ala;145;false;false
ala;146;false;false
ala;147;false;false
ala;148;false;false
ala;149;false;false
ala;150;false;false
ala;151;false;false
ala;152;false;false
ala;153;false;false
ala;154;false;false
ala;155;false;false
ala;156;false;false
ala;157;false;false
ala;158;false;false
ala;159;false;false
ala;160;false;false
ala;161;false;false
ala;162;false;false
ala;163;false;false
ala;164;false;false
ala;165;false;false
ala;166;false;false
ala;167;false;false
ala;168;false;false
ala;169;false;false
ala;170;false;false
ala;171;false;false
ala;172;false;false
ala;173;false;false
ala;174;false;false
ala;175;false;false
ala;176;false;false
ala;177;false;false
ala;178;false;false
ala;179;false;false
ala;180;false;false
ala;181;false;false
ala;182;false;false
ala;183;false;false
ala;184;false;false
ala;185;false;false
ala;186;false;false
ala;187;false;false
ala;188;false;false
ala;189;false;false
ala;190;false;false
ala;191;false;false
ala;192;false;false
ala;193;false;false
ala;194;false;false
ala;195;false;false
ala;196;false;false
ala;197;false;false
ala;198;false;false
ala;199;false;false
ala;200;false;false
ala;201;false;false
ala;202;false;false
ala;203;false;false
ala;204;false;false
ala;205;false;false
ala;206;false;false
ala;207;false;false
ala;208;false;false
ala;209;false;false
ala;210;false;false
ala;211;false;false
ala;212;false;false
ala;213;false;false
ala;214;false;false
ala;215;false;false
ala;216;false;false
ala;217;false;false
ala;218;false;false
ala;219;false;false
ala;220;false;false
ala;221;false;false
ala;222;false;false
ala;223;false;false
ala;224;false;false
ala;225;false;false
ala;226;false;false
ala;227;false;false
ala;228;false;false
ala;229;false;false
ala;230;false;false
ala;231;false;false
ala;232;false;false
ala;233;false;false
ala;234;false;false
ala;235;false;false
ala;236;false;false
ala;237;false;false
ala;238;false;false
ala;239;false;false
ala;240;false;false
ala;241;false;false
ala;242;false;false
ala;243;false;false
ala;244;false;false
ala;245;false;false
ala;246;false;false
ala;247;false;false
ala;248;false;false
ala;249;false;false
ala;250;false;false
