set;number;no_foil;foil
all;1a;false;false
all;1b;false;false
all;2a;false;false
all;2b;false;false
all;3;false;false
all;4;false;false
all;5;false;false
all;6;false;false
all;11b;false;false
all;12b;false;false
all;13b;false;false
all;15a;false;false
all;7a;false;false
all;7b;false;false
all;8;false;false
all;10a;false;false
all;10b;false;false
all;11a;false;false
all;12a;false;false
all;13a;false;false
all;15b;false;false
all;21a;false;false
all;21b;false;false
all;22a;false;false
all;22b;false;false
all;23a;false;false
all;23b;false;false
all;24b;false;false
all;27a;false;false
all;27b;false;false
all;9a;false;false
all;9b;false;false
all;14;false;false
all;16;false;false
all;17;false;false
all;18;false;false
all;19;false;false
all;20;false;false
all;24a;false;false
all;25;false;false
all;26;false;false
all;28;false;false
all;29a;false;false
all;29b;false;false
all;30a;false;false
all;30b;false;false
all;31;false;false
all;32;false;false
all;33a;false;false
all;33b;false;false
all;34a;false;false
all;34b;false;false
all;35;false;false
all;36a;false;false
all;36b;false;false
all;37;false;false
all;38;false;false
all;39;false;false
all;40;false;false
all;41a;false;false
all;41b;false;false
all;42;false;false
all;43;false;false
all;44a;false;false
all;44b;false;false
all;45;false;false
all;46;false;false
all;47;false;false
all;48;false;false
all;49a;false;false
all;49b;false;false
all;50a;false;false
all;50b;false;false
all;51a;false;false
all;51b;false;false
all;52;false;false
all;53;false;false
all;54;false;false
all;55a;false;false
all;55b;false;false
all;56;false;false
all;57a;false;false
all;57b;false;false
all;58a;false;false
all;58b;false;false
all;59;false;false
all;60a;false;false
all;60b;false;false
all;61a;false;false
all;61b;false;false
all;62;false;false
all;63a;false;false
all;63b;false;false
all;64a;false;false
all;64b;false;false
all;65;false;false
all;66a;false;false
all;66b;false;false
all;67a;false;false
all;67b;false;false
all;68;false;false
all;69;false;false
all;70;false;false
all;71a;false;false
all;71b;false;false
all;72a;false;false
all;72b;false;false
all;73a;false;false
all;73b;false;false
all;74a;false;false
all;74b;false;false
all;75;false;false
all;76;false;false
all;77;false;false
all;78;false;false
all;79;false;false
all;80;false;false
all;81a;false;false
all;81b;false;false
all;82a;false;false
all;82b;false;false
all;83;false;false
all;84a;false;false
all;84b;false;false
all;85;false;false
all;86a;false;false
all;86b;false;false
all;87;false;false
all;88a;false;false
all;88b;false;false
all;89;false;false
all;90a;false;false
all;90b;false;false
all;91;false;false
all;92a;false;false
all;92b;false;false
all;93a;false;false
all;93b;false;false
all;94a;false;false
all;94b;false;false
all;95;false;false
all;96;false;false
all;97;false;false
all;98;false;false
all;99;false;false
all;100a;false;false
all;100b;false;false
all;101;false;false
all;102a;false;false
all;102b;false;false
all;103a;false;false
all;103b;false;false
all;104a;false;false
all;104b;false;false
all;105;false;false
all;106;false;false
all;107;false;false
all;108;false;false
all;109;false;false
all;110;false;false
all;111;false;false
all;112;false;false
all;113;false;false
all;114;false;false
all;115;false;false
all;116a;false;false
all;116b;false;false
all;117;false;false
all;118a;false;false
all;118b;false;false
all;119;false;false
all;120;false;false
all;121;false;false
all;122;false;false
all;123;false;false
all;124;false;false
all;125;false;false
all;126;false;false
all;127a;false;false
all;127b;false;false
all;128;false;false
all;129;false;false
all;130;false;false
all;131;false;false
all;132a;false;false
all;132b;false;false
all;133a;false;false
all;133b;false;false
all;134;false;false
all;135;false;false
all;136;false;false
all;137;false;false
all;138;false;false
all;139;false;false
all;140;false;false
all;141;false;false
all;142;false;false
all;143;false;false
all;144;false;false
