set;number;no_foil;foil
ana;1a;false;false
ana;2a;false;false
ana;3a;false;false
ana;4a;false;false
ana;5a;false;false
ana;6;false;false
ana;6a;false;false
ana;6b;false;false
ana;7;false;false
ana;7a;false;false
ana;8;false;false
ana;8a;false;false
ana;9;false;false
ana;9a;false;false
ana;10;false;false
ana;10a;false;false
ana;11;false;false
ana;12;false;false
ana;13;false;false
ana;14;false;false
ana;15;false;false
ana;16;false;false
ana;17;false;false
ana;18;false;false
ana;19;false;false
ana;20;false;false
ana;21;false;false
ana;22;false;false
ana;23;false;false
ana;24;false;false
ana;25;false;false
ana;26;false;false
ana;27;false;false
ana;28;false;false
ana;29;false;false
ana;30;false;false
ana;31;false;false
ana;32;false;false
ana;33;false;false
ana;34;false;false
ana;35;false;false
ana;95846;false;false
ana;95847;false;false
ana;95848;false;false
ana;95849;false;false
ana;95850;false;false
