set;number;no_foil;foil
anb;1;false;false
anb;2;false;false
anb;3;false;false
anb;4;false;false
anb;5;false;false
anb;6;false;false
anb;7;false;false
anb;8;false;false
anb;9;false;false
anb;10;false;false
anb;11;false;false
anb;12;false;false
anb;13;false;false
anb;14;false;false
anb;15;false;false
anb;16;false;false
anb;17;false;false
anb;18;false;false
anb;19;false;false
anb;20;false;false
anb;21;false;false
anb;22;false;false
anb;23;false;false
anb;24;false;false
anb;25;false;false
anb;26;false;false
anb;27;false;false
anb;28;false;false
anb;29;false;false
anb;30;false;false
anb;31;false;false
anb;32;false;false
anb;32a;false;false
anb;33;false;false
anb;34;false;false
anb;35;false;false
anb;36;false;false
anb;37;false;false
anb;38;false;false
anb;39;false;false
anb;40;false;false
anb;41;false;false
anb;42;false;false
anb;43;false;false
anb;44;false;false
anb;45;false;false
anb;46;false;false
anb;47;false;false
anb;48;false;false
anb;49;false;false
anb;50;false;false
anb;51;false;false
anb;52;false;false
anb;53;false;false
anb;54;false;false
anb;55;false;false
anb;56;false;false
anb;56b;false;false
anb;57;false;false
anb;58;false;false
anb;59;false;false
anb;60;false;false
anb;61;false;false
anb;62;false;false
anb;63;false;false
anb;64;false;false
anb;65;false;false
anb;66;false;false
anb;67;false;false
anb;68;false;false
anb;69;false;false
anb;70;false;false
anb;71;false;false
anb;72;false;false
anb;73;false;false
anb;74;false;false
anb;75;false;false
anb;76;false;false
anb;77;false;false
anb;78;false;false
anb;79;false;false
anb;80;false;false
anb;81;false;false
anb;82;false;false
anb;83;false;false
anb;84;false;false
anb;85;false;false
anb;86;false;false
anb;87;false;false
anb;88;false;false
anb;89;false;false
anb;90;false;false
anb;91;false;false
anb;92;false;false
anb;93;false;false
anb;94;false;false
anb;95;false;false
anb;96;false;false
anb;97;false;false
anb;98;false;false
anb;99;false;false
anb;100;false;false
anb;101;false;false
anb;102;false;false
anb;103;false;false
anb;104;false;false
anb;105;false;false
anb;106;false;false
anb;107;false;false
anb;108;false;false
anb;109;false;false
anb;110;false;false
anb;111;false;false
anb;112;false;false
anb;113;false;false
anb;114;false;false
anb;115;false;false
anb;116;false;false
anb;117;false;false
anb;118;false;false
