set;number;no_foil;foil
apc;1;false;false
apc;2;false;false
apc;3;false;false
apc;4;false;false
apc;5;false;false
apc;6;false;false
apc;7;false;false
apc;8;false;false
apc;9;false;false
apc;10;false;false
apc;11;false;false
apc;12;false;false
apc;13;false;false
apc;14;false;false
apc;15;false;false
apc;16;false;false
apc;17;false;false
apc;18;false;false
apc;19;false;false
apc;20;false;false
apc;21;false;false
apc;22;false;false
apc;23;false;false
apc;24;false;false
apc;25;false;false
apc;26;false;false
apc;27;false;false
apc;28;false;false
apc;29;false;false
apc;30;false;false
apc;31;false;false
apc;32;false;false
apc;33;false;false
apc;34;false;false
apc;35;false;false
apc;36;false;false
apc;37;false;false
apc;38;false;false
apc;39;false;false
apc;40;false;false
apc;41;false;false
apc;42;false;false
apc;43;false;false
apc;44;false;false
apc;45;false;false
apc;46;false;false
apc;47;false;false
apc;48;false;false
apc;49;false;false
apc;50;false;false
apc;51;false;false
apc;52;false;false
apc;53;false;false
apc;54;false;false
apc;55;false;false
apc;56;false;false
apc;57;false;false
apc;58;false;false
apc;59;false;false
apc;60;false;false
apc;61;false;false
apc;62;false;false
apc;63;false;false
apc;64;false;false
apc;65;false;false
apc;66;false;false
apc;67;false;false
apc;68;false;false
apc;69;false;false
apc;70;false;false
apc;71;false;false
apc;72;false;false
apc;73;false;false
apc;74;false;false
apc;75;false;false
apc;76;false;false
apc;77;false;false
apc;78;false;false
apc;79;false;false
apc;80;false;false
apc;81;false;false
apc;82;false;false
apc;83;false;false
apc;84;false;false
apc;85;false;false
apc;86;false;false
apc;87;false;false
apc;88;false;false
apc;89;false;false
apc;90;false;false
apc;91;false;false
apc;92;false;false
apc;93;false;false
apc;94;false;false
apc;95;false;false
apc;96;false;false
apc;97;false;false
apc;98;false;false
apc;99;false;false
apc;100;false;false
apc;101;false;false
apc;102;false;false
apc;103;false;false
apc;104;false;false
apc;105;false;false
apc;106;false;false
apc;107;false;false
apc;108;false;false
apc;109;false;false
apc;110;false;false
apc;111;false;false
apc;112;false;false
apc;113;false;false
apc;114;false;false
apc;115;false;false
apc;116;false;false
apc;117;false;false
apc;118;false;false
apc;119;false;false
apc;120;false;false
apc;121;false;false
apc;122;false;false
apc;123;false;false
apc;124;false;false
apc;125;false;false
apc;126;false;false
apc;127;false;false
apc;128;false;false
apc;129;false;false
apc;130;false;false
apc;131;false;false
apc;132;false;false
apc;133;false;false
apc;134;false;false
apc;135;false;false
apc;136;false;false
apc;137;false;false
apc;138;false;false
apc;139;false;false
apc;140;false;false
apc;141;false;false
apc;142;false;false
apc;143;false;false
