set;number;no_foil;foil
arn;1;false;false
arn;2;false;false
arn;3;false;false
arn;4;false;false
arn;5;false;false
arn;6;false;false
arn;7;false;false
arn;8;false;false
arn;9;false;false
arn;10;false;false
arn;11;false;false
arn;12;false;false
arn;13;false;false
arn;14;false;false
arn;15;false;false
arn;16;false;false
arn;17;false;false
arn;18;false;false
arn;19;false;false
arn;20;false;false
arn;21;false;false
arn;22;false;false
arn;23;false;false
arn;24;false;false
arn;25;false;false
arn;26;false;false
arn;27;false;false
arn;28;false;false
arn;29;false;false
arn;30;false;false
arn;31;false;false
arn;32;false;false
arn;33;false;false
arn;34;false;false
arn;35;false;false
arn;36;false;false
arn;37;false;false
arn;38;false;false
arn;39;false;false
arn;40;false;false
arn;41;false;false
arn;42;false;false
arn;43;false;false
arn;44;false;false
arn;45;false;false
arn;46;false;false
arn;47;false;false
arn;48;false;false
arn;49;false;false
arn;50;false;false
arn;51;false;false
arn;52;false;false
arn;53;false;false
arn;54;false;false
arn;55;false;false
arn;56;false;false
arn;57;false;false
arn;58;false;false
arn;59;false;false
arn;60;false;false
arn;61;false;false
arn;62;false;false
arn;63;false;false
arn;64;false;false
arn;65;false;false
arn;66;false;false
arn;67;false;false
arn;68;false;false
arn;69;false;false
arn;70;false;false
arn;71;false;false
arn;72;false;false
arn;73;false;false
arn;74;false;false
arn;75;false;false
arn;76;false;false
arn;77;false;false
arn;78;false;false
