set;number;no_foil;foil
ath;1;false;false
ath;2;false;false
ath;3;false;false
ath;4;false;false
ath;5;false;false
ath;6;false;false
ath;7;false;false
ath;8;false;false
ath;9;false;false
ath;10;false;false
ath;11;false;false
ath;12;false;false
ath;13;false;false
ath;14;false;false
ath;15;false;false
ath;16;false;false
ath;17;false;false
ath;18;false;false
ath;19;false;false
ath;20;false;false
ath;21;false;false
ath;22;false;false
ath;23;false;false
ath;24;false;false
ath;25;false;false
ath;26;false;false
ath;27;false;false
ath;28;false;false
ath;29;false;false
ath;30;false;false
ath;31;false;false
ath;32;false;false
ath;33;false;false
ath;34;false;false
ath;35;false;false
ath;36;false;false
ath;37;false;false
ath;38;false;false
ath;39;false;false
ath;40;false;false
ath;41;false;false
ath;42;false;false
ath;43;false;false
ath;44;false;false
ath;45;false;false
ath;46;false;false
ath;47;false;false
ath;48;false;false
ath;49;false;false
ath;50;false;false
ath;51;false;false
ath;52;false;false
ath;53;false;false
ath;54;false;false
ath;55;false;false
ath;56;false;false
ath;57;false;false
ath;58;false;false
ath;59;false;false
ath;60;false;false
ath;61;false;false
ath;62;false;false
ath;63;false;false
ath;64;false;false
ath;65;false;false
ath;66;false;false
ath;67;false;false
ath;68;false;false
ath;69;false;false
ath;70;false;false
ath;71;false;false
ath;72;false;false
ath;73;false;false
ath;74;false;false
ath;75;false;false
ath;76;false;false
ath;77;false;false
ath;78;false;false
ath;79;false;false
ath;80;false;false
ath;81;false;false
ath;82;false;false
ath;83;false;false
ath;84;false;false
ath;85;false;false
