set;number;no_foil;foil
atq;1;false;false
atq;2;false;false
atq;3;false;false
atq;4;false;false
atq;5;false;false
atq;6;false;false
atq;7;false;false
atq;8;false;false
atq;9;false;false
atq;10;false;false
atq;11;false;false
atq;12;false;false
atq;13;false;false
atq;14;false;false
atq;15;false;false
atq;16;false;false
atq;17;false;false
atq;18;false;false
atq;19;false;false
atq;20;false;false
atq;21;false;false
atq;22;false;false
atq;23;false;false
atq;24;false;false
atq;25;false;false
atq;26;false;false
atq;27;false;false
atq;28;false;false
atq;29;false;false
atq;30;false;false
atq;31;false;false
atq;32;false;false
atq;33;false;false
atq;34;false;false
atq;35;false;false
atq;36;false;false
atq;37;false;false
atq;38;false;false
atq;39;false;false
atq;40;false;false
atq;41;false;false
atq;42;false;false
atq;43;false;false
atq;44;false;false
atq;45;false;false
atq;46;false;false
atq;47;false;false
atq;48;false;false
atq;49;false;false
atq;50;false;false
atq;51;false;false
atq;52;false;false
atq;53;false;false
atq;54;false;false
atq;55;false;false
atq;56;false;false
atq;57;false;false
atq;58;false;false
atq;59;false;false
atq;60;false;false
atq;61;false;false
atq;62;false;false
atq;63;false;false
atq;64;false;false
atq;65;false;false
atq;66;false;false
atq;67;false;false
atq;68;false;false
atq;69;false;false
atq;70;false;false
atq;71;false;false
atq;72;false;false
atq;73;false;false
atq;74;false;false
atq;75;false;false
atq;76;false;false
atq;77;false;false
atq;78;false;false
atq;79;false;false
atq;80a;false;false
atq;80b;false;false
atq;80c;false;false
atq;80d;false;false
atq;81;false;false
atq;82a;false;false
atq;82b;false;false
atq;82c;false;false
atq;82d;false;false
atq;83a;false;false
atq;83b;false;false
atq;83c;false;false
atq;83d;false;false
atq;84a;false;false
atq;84b;false;false
atq;84c;false;false
atq;84d;false;false
atq;85a;false;false
atq;85b;false;false
atq;85c;false;false
atq;85d;false;false
