set;number;no_foil;foil
avr;1;false;false
avr;2;false;false
avr;3;false;false
avr;4;false;false
avr;5;false;false
avr;6;false;false
avr;7;false;false
avr;8;false;false
avr;9;false;false
avr;10;false;false
avr;11;false;false
avr;12;false;false
avr;13;false;false
avr;14;false;false
avr;15;false;false
avr;16;false;false
avr;17;false;false
avr;18;false;false
avr;19;false;false
avr;20;false;false
avr;21;false;false
avr;22;false;false
avr;23;false;false
avr;24;false;false
avr;25;false;false
avr;26;false;false
avr;27;false;false
avr;28;false;false
avr;29;false;false
avr;30;false;false
avr;31;false;false
avr;32;false;false
avr;33;false;false
avr;34;false;false
avr;35;false;false
avr;36;false;false
avr;37;false;false
avr;38;false;false
avr;39;false;false
avr;40;false;false
avr;41;false;false
avr;42;false;false
avr;43;false;false
avr;44;false;false
avr;45;false;false
avr;46;false;false
avr;47;false;false
avr;48;false;false
avr;49;false;false
avr;50;false;false
avr;51;false;false
avr;52;false;false
avr;53;false;false
avr;54;false;false
avr;55;false;false
avr;56;false;false
avr;57;false;false
avr;58;false;false
avr;59;false;false
avr;60;false;false
avr;61;false;false
avr;62;false;false
avr;63;false;false
avr;64;false;false
avr;65;false;false
avr;66;false;false
avr;67;false;false
avr;68;false;false
avr;69;false;false
avr;70;false;false
avr;71;false;false
avr;72;false;false
avr;73;false;false
avr;74;false;false
avr;75;false;false
avr;76;false;false
avr;77;false;false
avr;78;false;false
avr;79;false;false
avr;80;false;false
avr;81;false;false
avr;82;false;false
avr;83;false;false
avr;84;false;false
avr;85;false;false
avr;86;false;false
avr;87;false;false
avr;88;false;false
avr;89;false;false
avr;90;false;false
avr;91;false;false
avr;92;false;false
avr;93;false;false
avr;94;false;false
avr;95;false;false
avr;96;false;false
avr;97;false;false
avr;98;false;false
avr;99;false;false
avr;100;false;false
avr;101;false;false
avr;102;false;false
avr;103;false;false
avr;104;false;false
avr;105;false;false
avr;106;false;false
avr;107;false;false
avr;108;false;false
avr;109;false;false
avr;110;false;false
avr;111;false;false
avr;112;false;false
avr;113;false;false
avr;114;false;false
avr;115;false;false
avr;116;false;false
avr;117;false;false
avr;118;false;false
avr;119;false;false
avr;120;false;false
avr;121;false;false
avr;122;false;false
avr;123;false;false
avr;124;false;false
avr;125;false;false
avr;126;false;false
avr;127;false;false
avr;128;false;false
avr;129;false;false
avr;130;false;false
avr;131;false;false
avr;132;false;false
avr;133;false;false
avr;134;false;false
avr;135;false;false
avr;136;false;false
avr;137;false;false
avr;138;false;false
avr;139;false;false
avr;140;false;false
avr;141;false;false
avr;142;false;false
avr;143;false;false
avr;144;false;false
avr;145;false;false
avr;146;false;false
avr;147;false;false
avr;148;false;false
avr;149;false;false
avr;150;false;false
avr;151;false;false
avr;152;false;false
avr;153;false;false
avr;154;false;false
avr;155;false;false
avr;156;false;false
avr;157;false;false
avr;158;false;false
avr;159;false;false
avr;160;false;false
avr;161;false;false
avr;162;false;false
avr;163;false;false
avr;164;false;false
avr;165;false;false
avr;166;false;false
avr;167;false;false
avr;168;false;false
avr;169;false;false
avr;170;false;false
avr;171;false;false
avr;172;false;false
avr;173;false;false
avr;174;false;false
avr;175;false;false
avr;176;false;false
avr;177;false;false
avr;178;false;false
avr;179;false;false
avr;180;false;false
avr;181;false;false
avr;182;false;false
avr;183;false;false
avr;184;false;false
avr;185;false;false
avr;186;false;false
avr;187;false;false
avr;188;false;false
avr;189;false;false
avr;190;false;false
avr;191;false;false
avr;192;false;false
avr;193;false;false
avr;194;false;false
avr;195;false;false
avr;196;false;false
avr;197;false;false
avr;198;false;false
avr;199;false;false
avr;200;false;false
avr;201;false;false
avr;202;false;false
avr;203;false;false
avr;204;false;false
avr;205;false;false
avr;206;false;false
avr;207;false;false
avr;208;false;false
avr;209;false;false
avr;210;false;false
avr;211;false;false
avr;212;false;false
avr;213;false;false
avr;214;false;false
avr;215;false;false
avr;216;false;false
avr;217;false;false
avr;218;false;false
avr;219;false;false
avr;220;false;false
avr;221;false;false
avr;222;false;false
avr;223;false;false
avr;224;false;false
avr;225;false;false
avr;226;false;false
avr;227;false;false
avr;228;false;false
avr;229;false;false
avr;230;false;false
avr;231;false;false
avr;232;false;false
avr;233;false;false
avr;234;false;false
avr;235;false;false
avr;236;false;false
avr;237;false;false
avr;238;false;false
avr;239;false;false
avr;240;false;false
avr;241;false;false
avr;242;false;false
avr;243;false;false
avr;244;false;false
