set;number;no_foil;foil
bbd;1;false;false
bbd;2;false;false
bbd;3;false;false
bbd;4;false;false
bbd;5;false;false
bbd;6;false;false
bbd;7;false;false
bbd;8;false;false
bbd;9;false;false
bbd;10;false;false
bbd;11;false;false
bbd;12;false;false
bbd;13;false;false
bbd;14;false;false
bbd;15;false;false
bbd;16;false;false
bbd;17;false;false
bbd;18;false;false
bbd;19;false;false
bbd;20;false;false
bbd;21;false;false
bbd;22;false;false
bbd;23;false;false
bbd;24;false;false
bbd;25;false;false
bbd;26;false;false
bbd;27;false;false
bbd;28;false;false
bbd;29;false;false
bbd;30;false;false
bbd;31;false;false
bbd;32;false;false
bbd;33;false;false
bbd;34;false;false
bbd;35;false;false
bbd;36;false;false
bbd;37;false;false
bbd;38;false;false
bbd;39;false;false
bbd;40;false;false
bbd;41;false;false
bbd;42;false;false
bbd;43;false;false
bbd;44;false;false
bbd;45;false;false
bbd;46;false;false
bbd;47;false;false
bbd;48;false;false
bbd;49;false;false
bbd;50;false;false
bbd;51;false;false
bbd;52;false;false
bbd;53;false;false
bbd;54;false;false
bbd;55;false;false
bbd;56;false;false
bbd;57;false;false
bbd;58;false;false
bbd;59;false;false
bbd;60;false;false
bbd;61;false;false
bbd;62;false;false
bbd;63;false;false
bbd;64;false;false
bbd;65;false;false
bbd;66;false;false
bbd;67;false;false
bbd;68;false;false
bbd;69;false;false
bbd;70;false;false
bbd;71;false;false
bbd;72;false;false
bbd;73;false;false
bbd;74;false;false
bbd;75;false;false
bbd;76;false;false
bbd;77;false;false
bbd;78;false;false
bbd;79;false;false
bbd;80;false;false
bbd;81;false;false
bbd;82;false;false
bbd;83;false;false
bbd;84;false;false
bbd;85;false;false
bbd;86;false;false
bbd;87;false;false
bbd;88;false;false
bbd;89;false;false
bbd;90;false;false
bbd;91;false;false
bbd;92;false;false
bbd;93;false;false
bbd;94;false;false
bbd;95;false;false
bbd;96;false;false
bbd;97;false;false
bbd;98;false;false
bbd;99;false;false
bbd;100;false;false
bbd;101;false;false
bbd;102;false;false
bbd;103;false;false
bbd;104;false;false
bbd;105;false;false
bbd;106;false;false
bbd;107;false;false
bbd;108;false;false
bbd;109;false;false
bbd;110;false;false
bbd;111;false;false
bbd;112;false;false
bbd;113;false;false
bbd;114;false;false
bbd;115;false;false
bbd;116;false;false
bbd;117;false;false
bbd;118;false;false
bbd;119;false;false
bbd;120;false;false
bbd;121;false;false
bbd;122;false;false
bbd;123;false;false
bbd;124;false;false
bbd;125;false;false
bbd;126;false;false
bbd;127;false;false
bbd;128;false;false
bbd;129;false;false
bbd;130;false;false
bbd;131;false;false
bbd;132;false;false
bbd;133;false;false
bbd;134;false;false
bbd;135;false;false
bbd;136;false;false
bbd;137;false;false
bbd;138;false;false
bbd;139;false;false
bbd;140;false;false
bbd;141;false;false
bbd;142;false;false
bbd;143;false;false
bbd;144;false;false
bbd;145;false;false
bbd;146;false;false
bbd;147;false;false
bbd;148;false;false
bbd;149;false;false
bbd;150;false;false
bbd;151;false;false
bbd;152;false;false
bbd;153;false;false
bbd;154;false;false
bbd;155;false;false
bbd;156;false;false
bbd;157;false;false
bbd;158;false;false
bbd;159;false;false
bbd;160;false;false
bbd;161;false;false
bbd;162;false;false
bbd;163;false;false
bbd;164;false;false
bbd;165;false;false
bbd;166;false;false
bbd;167;false;false
bbd;168;false;false
bbd;169;false;false
bbd;170;false;false
bbd;171;false;false
bbd;172;false;false
bbd;173;false;false
bbd;174;false;false
bbd;175;false;false
bbd;176;false;false
bbd;177;false;false
bbd;178;false;false
bbd;179;false;false
bbd;180;false;false
bbd;181;false;false
bbd;182;false;false
bbd;183;false;false
bbd;184;false;false
bbd;185;false;false
bbd;186;false;false
bbd;187;false;false
bbd;188;false;false
bbd;189;false;false
bbd;190;false;false
bbd;191;false;false
bbd;192;false;false
bbd;193;false;false
bbd;194;false;false
bbd;195;false;false
bbd;196;false;false
bbd;197;false;false
bbd;198;false;false
bbd;199;false;false
bbd;200;false;false
bbd;201;false;false
bbd;202;false;false
bbd;203;false;false
bbd;204;false;false
bbd;205;false;false
bbd;206;false;false
bbd;207;false;false
bbd;208;false;false
bbd;209;false;false
bbd;210;false;false
bbd;211;false;false
bbd;212;false;false
bbd;213;false;false
bbd;214;false;false
bbd;215;false;false
bbd;216;false;false
bbd;217;false;false
bbd;218;false;false
bbd;219;false;false
bbd;220;false;false
bbd;221;false;false
bbd;222;false;false
bbd;223;false;false
bbd;224;false;false
bbd;225;false;false
bbd;226;false;false
bbd;227;false;false
bbd;228;false;false
bbd;229;false;false
bbd;230;false;false
bbd;231;false;false
bbd;232;false;false
bbd;233;false;false
bbd;234;false;false
bbd;235;false;false
bbd;236;false;false
bbd;237;false;false
bbd;238;false;false
bbd;239;false;false
bbd;240;false;false
bbd;241;false;false
bbd;242;false;false
bbd;243;false;false
bbd;244;false;false
bbd;245;false;false
bbd;246;false;false
bbd;247;false;false
bbd;248;false;false
bbd;249;false;false
bbd;250;false;false
bbd;251;false;false
bbd;252;false;false
bbd;253;false;false
bbd;254;false;false
bbd;255;false;false
bbd;256;false;false
