set;number;no_foil;foil
bchr;1;false;false
bchr;2;false;false
bchr;3;false;false
bchr;4;false;false
bchr;5;false;false
bchr;6;false;false
bchr;7;false;false
bchr;8;false;false
bchr;9;false;false
bchr;10;false;false
bchr;11;false;false
bchr;12;false;false
bchr;13;false;false
bchr;14;false;false
bchr;15;false;false
bchr;16;false;false
bchr;17;false;false
bchr;18;false;false
bchr;19;false;false
bchr;20;false;false
bchr;21;false;false
bchr;22;false;false
bchr;23;false;false
bchr;24;false;false
bchr;25;false;false
bchr;26;false;false
bchr;27;false;false
bchr;28;false;false
bchr;29;false;false
bchr;30;false;false
bchr;31;false;false
bchr;32;false;false
bchr;33;false;false
bchr;34;false;false
bchr;35;false;false
bchr;36;false;false
bchr;37;false;false
bchr;38;false;false
bchr;39;false;false
bchr;40;false;false
bchr;41;false;false
bchr;42;false;false
bchr;43;false;false
bchr;44;false;false
bchr;45;false;false
bchr;46;false;false
bchr;47;false;false
bchr;48;false;false
bchr;49;false;false
bchr;50;false;false
bchr;51;false;false
bchr;52;false;false
bchr;53;false;false
bchr;54;false;false
bchr;55;false;false
bchr;56;false;false
bchr;57;false;false
bchr;58;false;false
bchr;59;false;false
bchr;60;false;false
bchr;61;false;false
bchr;62;false;false
bchr;63;false;false
bchr;64;false;false
bchr;65;false;false
bchr;66;false;false
bchr;67;false;false
bchr;68;false;false
bchr;69;false;false
bchr;70;false;false
bchr;71;false;false
bchr;72;false;false
bchr;73;false;false
bchr;74;false;false
bchr;75;false;false
bchr;76;false;false
bchr;77;false;false
bchr;78;false;false
bchr;79;false;false
bchr;80;false;false
bchr;81;false;false
bchr;82;false;false
bchr;83;false;false
bchr;84;false;false
bchr;85;false;false
bchr;86;false;false
bchr;87;false;false
bchr;88;false;false
bchr;89;false;false
bchr;90;false;false
bchr;91;false;false
bchr;92;false;false
bchr;93;false;false
bchr;94;false;false
bchr;95;false;false
bchr;96;false;false
bchr;97;false;false
bchr;98;false;false
bchr;99;false;false
bchr;100;false;false
bchr;101;false;false
bchr;102;false;false
bchr;103;false;false
bchr;104;false;false
bchr;105;false;false
bchr;106;false;false
bchr;107;false;false
bchr;108;false;false
bchr;109;false;false
bchr;110;false;false
bchr;111;false;false
bchr;112;false;false
bchr;113;false;false
bchr;114a;false;false
bchr;114b;false;false
bchr;114c;false;false
bchr;114d;false;false
bchr;115a;false;false
bchr;115b;false;false
bchr;115c;false;false
bchr;115d;false;false
bchr;116a;false;false
bchr;116b;false;false
bchr;116c;false;false
bchr;116d;false;false
