set;number;no_foil;foil
bfz;1;false;false
bfz;2;false;false
bfz;3;false;false
bfz;4;false;false
bfz;5;false;false
bfz;6;false;false
bfz;7;false;false
bfz;8;false;false
bfz;9;false;false
bfz;10;false;false
bfz;11;false;false
bfz;12;false;false
bfz;13;false;false
bfz;14;false;false
bfz;15;false;false
bfz;16;false;false
bfz;17;false;false
bfz;18;false;false
bfz;19;false;false
bfz;20;false;false
bfz;21;false;false
bfz;22;false;false
bfz;23;false;false
bfz;24;false;false
bfz;25;false;false
bfz;26;false;false
bfz;27;false;false
bfz;28;false;false
bfz;29;false;false
bfz;30;false;false
bfz;31;false;false
bfz;32;false;false
bfz;33;false;false
bfz;34;false;false
bfz;35;false;false
bfz;36;false;false
bfz;37;false;false
bfz;38;false;false
bfz;39;false;false
bfz;40;false;false
bfz;41;false;false
bfz;42;false;false
bfz;43;false;false
bfz;44;false;false
bfz;45;false;false
bfz;46;false;false
bfz;47;false;false
bfz;48;false;false
bfz;49;false;false
bfz;50;false;false
bfz;51;false;false
bfz;52;false;false
bfz;53;false;false
bfz;54;false;false
bfz;55;false;false
bfz;56;false;false
bfz;57;false;false
bfz;58;false;false
bfz;59;false;false
bfz;60;false;false
bfz;61;false;false
bfz;62;false;false
bfz;63;false;false
bfz;64;false;false
bfz;65;false;false
bfz;66;false;false
bfz;67;false;false
bfz;68;false;false
bfz;69;false;false
bfz;70;false;false
bfz;71;false;false
bfz;72;false;false
bfz;73;false;false
bfz;74;false;false
bfz;75;false;false
bfz;76;false;false
bfz;77;false;false
bfz;78;false;false
bfz;79;false;false
bfz;80;false;false
bfz;81;false;false
bfz;82;false;false
bfz;83;false;false
bfz;84;false;false
bfz;85;false;false
bfz;86;false;false
bfz;87;false;false
bfz;88;false;false
bfz;89;false;false
bfz;90;false;false
bfz;91;false;false
bfz;92;false;false
bfz;93;false;false
bfz;94;false;false
bfz;95;false;false
bfz;96;false;false
bfz;97;false;false
bfz;98;false;false
bfz;99;false;false
bfz;100;false;false
bfz;101;false;false
bfz;102;false;false
bfz;103;false;false
bfz;104;false;false
bfz;105;false;false
bfz;106;false;false
