set;number;no_foil;foil
big;1;false;false
big;2;false;false
big;3;false;false
big;4;false;false
big;5;false;false
big;6;false;false
big;7;false;false
big;8;false;false
big;9;false;false
big;10;false;false
big;11;false;false
big;12;false;false
big;13;false;false
big;14;false;false
big;15;false;false
big;16;false;false
big;17;false;false
big;18;false;false
big;19;false;false
big;20;false;false
big;21;false;false
big;22;false;false
big;23;false;false
big;24;false;false
big;25;false;false
big;26;false;false
big;27;false;false
big;28;false;false
big;29;false;false
big;30;false;false
big;31;false;false
big;32;false;false
big;33;false;false
big;34;false;false
big;35;false;false
big;36;false;false
big;37;false;false
big;38;false;false
big;39;false;false
big;40;false;false
big;41;false;false
big;42;false;false
big;43;false;false
big;44;false;false
big;45;false;false
big;46;false;false
big;47;false;false
big;48;false;false
big;49;false;false
big;50;false;false
big;51;false;false
big;52;false;false
big;53;false;false
big;54;false;false
big;55;false;false
big;56;false;false
big;57;false;false
big;58;false;false
big;59;false;false
big;60;false;false
big;61;false;false
big;62;false;false
big;63;false;false
big;64;false;false
big;65;false;false
big;66;false;false
big;67;false;false
big;68;false;false
big;69;false;false
big;70;false;false
big;71;false;false
big;72;false;false
big;73;false;false
big;74;false;false
big;75;false;false
big;76;false;false
big;77;false;false
big;78;false;false
big;79;false;false
big;80;false;false
big;81;false;false
big;82;false;false
big;83;false;false
big;84;false;false
big;85;false;false
big;86;false;false
big;87;false;false
big;88;false;false
big;89;false;false
big;90;false;false
big;91;false;false
big;92;false;false
big;93;false;false
big;94;false;false
big;95;false;false
