set;number;no_foil;foil
blb;1;false;false
blb;2;false;false
blb;3;false;false
blb;4;false;false
blb;5;false;false
blb;6;false;false
blb;7;false;false
blb;8;false;false
blb;9;false;false
blb;10;false;false
blb;11;false;false
blb;12;false;false
blb;13;false;false
blb;14;false;false
blb;15;false;false
blb;16;false;false
blb;17;false;false
blb;18;false;false
blb;19;false;false
blb;20;false;false
blb;21;false;false
blb;22;false;false
blb;23;false;false
blb;24;false;false
blb;25;false;false
blb;26;false;false
blb;27;false;false
blb;28;false;false
blb;29;false;false
blb;30;false;false
blb;31;false;false
blb;32;false;false
blb;33;false;false
blb;34;false;false
blb;35;false;false
blb;36;false;false
blb;37;false;false
blb;38;false;false
blb;39;false;false
blb;40;false;false
blb;41;false;false
blb;42;false;false
blb;43;false;false
blb;44;false;false
blb;45;false;false
blb;46;false;false
blb;47;false;false
blb;48;false;false
blb;49;false;false
blb;50;false;false
blb;51;false;false
blb;52;false;false
blb;53;false;false
blb;54;false;false
blb;55;false;false
blb;56;false;false
blb;57;false;false
blb;58;false;false
blb;59;false;false
blb;60;false;false
blb;61;false;false
blb;62;false;false
blb;63;false;false
blb;64;false;false
blb;65;false;false
blb;66;false;false
blb;67;false;false
blb;68;false;false
blb;69;false;false
blb;70;false;false
blb;71;false;false
blb;72;false;false
blb;73;false;false
blb;74;false;false
blb;75;false;false
blb;76;false;false
blb;77;false;false
blb;78;false;false
blb;79;false;false
blb;80;false;false
blb;81;false;false
blb;82;false;false
blb;83;false;false
blb;84;false;false
blb;85;false;false
blb;86;false;false
blb;87;false;false
blb;88;false;false
blb;89;false;false
blb;90;false;false
blb;91;false;false
blb;92;false;false
blb;93;false;false
blb;94;false;false
blb;95;false;false
blb;96;false;false
blb;97;false;false
blb;98;false;false
blb;99;false;false
blb;100;false;false
blb;101;false;false
blb;102;false;false
blb;103;false;false
blb;104;false;false
blb;105;false;false
blb;106;false;false
blb;107;false;false
blb;108;false;false
blb;109;false;false
blb;110;false;false
blb;111;false;false
blb;112;false;false
blb;113;false;false
blb;114;false;false
blb;115;false;false
blb;116;false;false
blb;117;false;false
blb;118;false;false
blb;119;false;false
blb;120;false;false
blb;121;false;false
blb;122;false;false
blb;123;false;false
blb;124;false;false
blb;125;false;false
blb;126;false;false
blb;127;false;false
blb;128;false;false
blb;129;false;false
blb;130;false;false
blb;131;false;false
blb;132;false;false
blb;133;false;false
blb;134;false;false
blb;135;false;false
blb;136;false;false
blb;137;false;false
blb;138;false;false
blb;A-138;false;false
blb;139;false;false
blb;140;false;false
blb;141;false;false
blb;142;false;false
blb;143;false;false
blb;144;false;false
blb;145;false;false
blb;146;false;false
blb;147;false;false
blb;148;false;false
blb;149;false;false
blb;150;false;false
blb;151;false;false
blb;152;false;false
blb;153;false;false
blb;154;false;false
blb;155;false;false
blb;156;false;false
blb;157;false;false
blb;158;false;false
blb;159;false;false
blb;160;false;false
blb;161;false;false
blb;162;false;false
blb;163;false;false
blb;164;false;false
blb;165;false;false
blb;166;false;false
blb;167;false;false
blb;168;false;false
blb;169;false;false
blb;170;false;false
blb;171;false;false
blb;172;false;false
blb;173;false;false
blb;174;false;false
blb;175;false;false
blb;176;false;false
blb;177;false;false
