set;number;no_foil;foil
blc;1;false;false
blc;2;false;false
blc;3;false;false
blc;4;false;false
blc;5;false;false
blc;6;false;false
blc;7;false;false
blc;8;false;false
blc;9;false;false
blc;10;false;false
blc;11;false;false
blc;12;false;false
blc;13;false;false
blc;14;false;false
blc;15;false;false
blc;16;false;false
blc;17;false;false
blc;18;false;false
blc;19;false;false
blc;20;false;false
blc;21;false;false
blc;22;false;false
blc;23;false;false
blc;24;false;false
blc;25;false;false
blc;26;false;false
blc;27;false;false
blc;28;false;false
blc;29;false;false
blc;30;false;false
blc;31;false;false
blc;32;false;false
blc;33;false;false
blc;34;false;false
blc;35;false;false
blc;36;false;false
blc;37;false;false
blc;38;false;false
blc;39;false;false
blc;40;false;false
blc;41;false;false
blc;42;false;false
blc;43;false;false
blc;44;false;false
blc;45;false;false
blc;46;false;false
blc;47;false;false
blc;48;false;false
blc;49;false;false
blc;50;false;false
blc;51;false;false
blc;52;false;false
blc;53;false;false
blc;54;false;false
blc;55;false;false
blc;56;false;false
blc;57;false;false
blc;58;false;false
blc;59;false;false
blc;60;false;false
blc;61;false;false
blc;62;false;false
blc;63;false;false
blc;64;false;false
blc;65;false;false
blc;66;false;false
blc;67;false;false
blc;68;false;false
blc;69;false;false
blc;70;false;false
blc;71;false;false
blc;72;false;false
blc;73;false;false
blc;74;false;false
blc;75;false;false
blc;76;false;false
blc;77;false;false
blc;78;false;false
blc;79;false;false
blc;80;false;false
blc;81;false;false
blc;82;false;false
blc;83;false;false
blc;84;false;false
blc;85;false;false
blc;86;false;false
blc;87;false;false
blc;88;false;false
blc;89;false;false
blc;90;false;false
blc;91;false;false
blc;92;false;false
blc;93;false;false
blc;94;false;false
blc;95;false;false
blc;96;false;false
blc;97;false;false
blc;98;false;false
blc;99;false;false
blc;100;false;false
blc;101;false;false
blc;102;false;false
blc;103;false;false
blc;104;false;false
blc;105;false;false
blc;106;false;false
blc;107;false;false
blc;108;false;false
blc;109;false;false
blc;110;false;false
blc;111;false;false
blc;112;false;false
blc;113;false;false
blc;114;false;false
blc;115;false;false
blc;116;false;false
blc;117;false;false
blc;118;false;false
blc;119;false;false
blc;120;false;false
blc;121;false;false
blc;122;false;false
blc;123;false;false
blc;124;false;false
blc;125;false;false
blc;126;false;false
blc;127;false;false
blc;128;false;false
blc;129;false;false
blc;130;false;false
blc;131;false;false
blc;132;false;false
blc;133;false;false
blc;134;false;false
blc;135;false;false
blc;136;false;false
blc;137;false;false
blc;138;false;false
blc;139;false;false
blc;140;false;false
blc;141;false;false
blc;142;false;false
blc;143;false;false
blc;144;false;false
blc;145;false;false
blc;146;false;false
blc;147;false;false
blc;148;false;false
blc;149;false;false
blc;150;false;false
blc;151;false;false
blc;152;false;false
blc;153;false;false
blc;154;false;false
blc;155;false;false
blc;156;false;false
blc;157;false;false
blc;158;false;false
blc;159;false;false
blc;160;false;false
blc;161;false;false
blc;162;false;false
blc;163;false;false
blc;164;false;false
blc;165;false;false
blc;166;false;false
blc;167;false;false
blc;168;false;false
blc;169;false;false
blc;170;false;false
blc;171;false;false
blc;172;false;false
blc;173;false;false
blc;174;false;false
blc;175;false;false
blc;176;false;false
blc;177;false;false
blc;178;false;false
blc;179;false;false
blc;180;false;false
blc;181;false;false
blc;182;false;false
blc;183;false;false
blc;184;false;false
blc;185;false;false
blc;186;false;false
blc;187;false;false
blc;188;false;false
blc;189;false;false
blc;190;false;false
blc;191;false;false
