set;number;no_foil;foil
bng;1;false;false
bng;2;false;false
bng;3;false;false
bng;4;false;false
bng;5;false;false
bng;6;false;false
bng;7;false;false
bng;8;false;false
bng;9;false;false
bng;10;false;false
bng;11;false;false
bng;12;false;false
bng;13;false;false
bng;14;false;false
bng;15;false;false
bng;16;false;false
bng;17;false;false
bng;18;false;false
bng;19;false;false
bng;20;false;false
bng;21;false;false
bng;22;false;false
bng;23;false;false
bng;24;false;false
bng;25;false;false
bng;26;false;false
bng;27;false;false
bng;28;false;false
bng;29;false;false
bng;30;false;false
bng;31;false;false
bng;32;false;false
bng;33;false;false
bng;34;false;false
bng;35;false;false
bng;36;false;false
bng;37;false;false
bng;38;false;false
bng;39;false;false
bng;40;false;false
bng;41;false;false
bng;42;false;false
bng;43;false;false
bng;44;false;false
bng;45;false;false
bng;46;false;false
bng;47;false;false
bng;48;false;false
bng;49;false;false
bng;50;false;false
bng;51;false;false
bng;52;false;false
bng;53;false;false
bng;54;false;false
bng;55;false;false
bng;56;false;false
bng;57;false;false
bng;58;false;false
bng;59;false;false
bng;60;false;false
bng;61;false;false
bng;62;false;false
bng;63;false;false
bng;64;false;false
bng;65;false;false
bng;66;false;false
bng;67;false;false
bng;68;false;false
bng;69;false;false
bng;70;false;false
bng;71;false;false
bng;72;false;false
bng;73;false;false
bng;74;false;false
bng;75;false;false
bng;76;false;false
bng;77;false;false
bng;78;false;false
bng;79;false;false
bng;80;false;false
bng;81;false;false
bng;82;false;false
bng;83;false;false
bng;84;false;false
bng;85;false;false
bng;86;false;false
bng;87;false;false
bng;88;false;false
bng;89;false;false
bng;90;false;false
bng;91;false;false
bng;92;false;false
bng;93;false;false
bng;94;false;false
bng;95;false;false
bng;96;false;false
bng;97;false;false
bng;98;false;false
bng;99;false;false
bng;100;false;false
bng;101;false;false
bng;102;false;false
bng;103;false;false
bng;104;false;false
bng;105;false;false
bng;106;false;false
bng;107;false;false
bng;108;false;false
bng;109;false;false
bng;110;false;false
bng;111;false;false
bng;112;false;false
bng;113;false;false
bng;114;false;false
bng;115;false;false
bng;116;false;false
bng;117;false;false
bng;118;false;false
bng;119;false;false
bng;120;false;false
bng;121;false;false
bng;122;false;false
bng;123;false;false
bng;124;false;false
bng;125;false;false
bng;126;false;false
bng;127;false;false
bng;128;false;false
bng;129;false;false
bng;130;false;false
bng;131;false;false
bng;132;false;false
bng;133;false;false
bng;134;false;false
bng;135;false;false
bng;136;false;false
bng;137;false;false
bng;138;false;false
bng;139;false;false
bng;140;false;false
bng;141;false;false
bng;142;false;false
bng;143;false;false
bng;144;false;false
bng;145;false;false
bng;146;false;false
bng;147;false;false
bng;148;false;false
bng;149;false;false
bng;150;false;false
bng;151;false;false
bng;152;false;false
bng;153;false;false
bng;154;false;false
bng;155;false;false
bng;156;false;false
bng;157;false;false
bng;158;false;false
bng;159;false;false
bng;160;false;false
bng;161;false;false
bng;162;false;false
bng;163;false;false
bng;164;false;false
bng;165;false;false
