set;number;no_foil;foil
bok;1;false;false
bok;2;false;false
bok;3;false;false
bok;4;false;false
bok;5;false;false
bok;6;false;false
bok;7;false;false
bok;8;false;false
bok;9;false;false
bok;10;false;false
bok;11;false;false
bok;12;false;false
bok;13;false;false
bok;14;false;false
bok;15;false;false
bok;16;false;false
bok;17;false;false
bok;18;false;false
bok;19;false;false
bok;20;false;false
bok;21;false;false
bok;22;false;false
bok;23;false;false
bok;24;false;false
bok;25;false;false
bok;26;false;false
bok;27;false;false
bok;28;false;false
bok;29;false;false
bok;30;false;false
bok;31;false;false
bok;32;false;false
bok;33;false;false
bok;34;false;false
bok;35;false;false
bok;36;false;false
bok;37;false;false
bok;38;false;false
bok;39;false;false
bok;40;false;false
bok;41;false;false
bok;42;false;false
bok;43;false;false
bok;44;false;false
bok;45;false;false
bok;46;false;false
bok;47;false;false
bok;48;false;false
bok;49;false;false
bok;50;false;false
bok;51;false;false
bok;52;false;false
bok;53;false;false
bok;54;false;false
bok;55;false;false
bok;56;false;false
bok;57;false;false
bok;58;false;false
bok;59;false;false
bok;60;false;false
bok;61;false;false
bok;62;false;false
bok;63;false;false
bok;64;false;false
bok;65;false;false
bok;66;false;false
bok;67;false;false
bok;68;false;false
bok;69;false;false
bok;70;false;false
bok;71;false;false
bok;72;false;false
bok;73;false;false
bok;74;false;false
bok;75;false;false
bok;76;false;false
bok;77;false;false
bok;78;false;false
bok;79;false;false
bok;80;false;false
bok;81;false;false
bok;82;false;false
bok;83;false;false
bok;84;false;false
bok;85;false;false
bok;86;false;false
bok;87;false;false
bok;88;false;false
bok;89;false;false
bok;90;false;false
bok;91;false;false
bok;92;false;false
bok;93;false;false
bok;94;false;false
bok;95;false;false
bok;96;false;false
bok;97;false;false
bok;98;false;false
bok;99;false;false
bok;100;false;false
bok;101;false;false
bok;102;false;false
bok;103;false;false
bok;104;false;false
bok;105;false;false
bok;106;false;false
bok;107;false;false
bok;108;false;false
bok;109;false;false
bok;110;false;false
bok;111;false;false
bok;112;false;false
bok;113;false;false
bok;114;false;false
bok;115;false;false
bok;116;false;false
bok;117;false;false
bok;118;false;false
bok;119;false;false
bok;120;false;false
bok;121;false;false
bok;122;false;false
bok;123;false;false
bok;124;false;false
bok;125;false;false
bok;126;false;false
bok;127;false;false
bok;128;false;false
bok;129;false;false
bok;130;false;false
bok;131;false;false
bok;132;false;false
bok;133;false;false
bok;134;false;false
bok;135;false;false
bok;136;false;false
bok;137;false;false
bok;138;false;false
bok;139;false;false
bok;140;false;false
bok;141;false;false
bok;142;false;false
bok;143;false;false
bok;144;false;false
bok;145;false;false
bok;146;false;false
bok;147;false;false
bok;148;false;false
bok;149;false;false
bok;150;false;false
bok;151;false;false
bok;152;false;false
bok;153;false;false
bok;154;false;false
bok;155;false;false
bok;156;false;false
bok;157;false;false
bok;158;false;false
bok;159;false;false
bok;160;false;false
bok;161;false;false
bok;162;false;false
bok;163;false;false
bok;164;false;false
bok;165;false;false
