set;number;no_foil;foil
bot;1;false;false
bot;2;false;false
bot;3;false;false
bot;4;false;false
bot;5;false;false
bot;6;false;false
bot;7;false;false
bot;8;false;false
bot;9;false;false
bot;10;false;false
bot;11;false;false
bot;12;false;false
bot;13;false;false
bot;14;false;false
bot;15;false;false
bot;16;false;false
bot;17;false;false
bot;18;false;false
bot;19;false;false
bot;20;false;false
bot;21;false;false
bot;22;false;false
bot;23;false;false
bot;24;false;false
bot;25;false;false
bot;26;false;false
bot;27;false;false
bot;28;false;false
bot;29;false;false
