set;number;no_foil;foil
brb;1;false;false
brb;2;false;false
brb;3;false;false
brb;4;false;false
brb;5;false;false
brb;6;false;false
brb;7;false;false
brb;8;false;false
brb;9;false;false
brb;10;false;false
brb;11;false;false
brb;12;false;false
brb;13;false;false
brb;14;false;false
brb;15;false;false
brb;16;false;false
brb;17;false;false
brb;18;false;false
brb;19;false;false
brb;20;false;false
brb;21;false;false
brb;22;false;false
brb;23;false;false
brb;24;false;false
brb;25;false;false
brb;26;false;false
brb;27;false;false
brb;28;false;false
brb;29;false;false
brb;30;false;false
brb;31;false;false
brb;32;false;false
brb;33;false;false
brb;34;false;false
brb;35;false;false
brb;36;false;false
brb;37;false;false
brb;38;false;false
brb;39;false;false
brb;40;false;false
brb;41;false;false
brb;42;false;false
brb;43;false;false
brb;44;false;false
brb;45;false;false
brb;46;false;false
brb;47;false;false
brb;48;false;false
brb;49;false;false
brb;50;false;false
brb;51;false;false
brb;52;false;false
brb;53;false;false
brb;54;false;false
brb;55;false;false
brb;56;false;false
brb;57;false;false
brb;58;false;false
brb;59;false;false
brb;60;false;false
brb;61;false;false
brb;62;false;false
brb;63;false;false
brb;64;false;false
brb;65;false;false
brb;66;false;false
brb;67;false;false
brb;68;false;false
brb;69;false;false
brb;70;false;false
brb;71;false;false
brb;72;false;false
brb;73;false;false
brb;74;false;false
brb;75;false;false
brb;76;false;false
brb;77;false;false
brb;78;false;false
brb;79;false;false
brb;80;false;false
brb;81;false;false
brb;82;false;false
brb;83;false;false
brb;84;false;false
brb;85;false;false
brb;86;false;false
brb;87;false;false
brb;88;false;false
brb;89;false;false
brb;90;false;false
brb;91;false;false
brb;92;false;false
brb;93;false;false
brb;94;false;false
brb;95;false;false
brb;96;false;false
brb;97;false;false
brb;98;false;false
brb;99;false;false
brb;100;false;false
brb;101;false;false
brb;102;false;false
brb;103;false;false
brb;104;false;false
brb;105;false;false
brb;106;false;false
brb;107;false;false
brb;108;false;false
brb;109;false;false
brb;110;false;false
brb;111;false;false
brb;112;false;false
brb;113;false;false
brb;114;false;false
brb;115;false;false
brb;116;false;false
brb;117;false;false
brb;118;false;false
brb;119;false;false
brb;120;false;false
brb;121;false;false
brb;122;false;false
brb;123;false;false
brb;124;false;false
brb;125;false;false
brb;126;false;false
brb;127;false;false
brb;128;false;false
brb;129;false;false
brb;130;false;false
brb;131;false;false
brb;132;false;false
brb;133;false;false
brb;134;false;false
brb;135;false;false
brb;136;false;false
