set;number;no_foil;foil
brc;1;false;false
brc;2;false;false
brc;3;false;false
brc;4;false;false
brc;5;false;false
brc;6;false;false
brc;7;false;false
brc;8;false;false
brc;9;false;false
brc;10;false;false
brc;11;false;false
brc;12;false;false
brc;13;false;false
brc;14;false;false
brc;15;false;false
brc;16;false;false
brc;17;false;false
brc;18;false;false
brc;19;false;false
brc;20;false;false
brc;21;false;false
brc;22;false;false
brc;23;false;false
brc;24;false;false
brc;25;false;false
brc;26;false;false
brc;27;false;false
brc;28;false;false
brc;29;false;false
brc;30;false;false
brc;31;false;false
brc;32;false;false
brc;33;false;false
brc;34;false;false
brc;35;false;false
brc;36;false;false
brc;39;false;false
brc;40;false;false
brc;41;false;false
brc;42;false;false
brc;43;false;false
brc;44;false;false
brc;45;false;false
brc;46;false;false
brc;47;false;false
brc;48;false;false
brc;49;false;false
brc;50;false;false
brc;51;false;false
brc;52;false;false
brc;53;false;false
brc;54;false;false
brc;55;false;false
brc;56;false;false
brc;57;false;false
brc;58;false;false
brc;59;false;false
brc;60;false;false
brc;61;false;false
brc;62;false;false
brc;63;false;false
brc;64;false;false
brc;65;false;false
brc;66;false;false
brc;67;false;false
brc;68;false;false
brc;69;false;false
brc;70;false;false
brc;71;false;false
brc;72;false;false
brc;73;false;false
brc;74;false;false
brc;75;false;false
brc;76;false;false
brc;77;false;false
brc;78;false;false
brc;79;false;false
brc;80;false;false
brc;81;false;false
brc;82;false;false
brc;83;false;false
brc;84;false;false
brc;85;false;false
brc;86;false;false
brc;87;false;false
brc;88;false;false
brc;89;false;false
brc;90;false;false
brc;91;false;false
brc;92;false;false
brc;93;false;false
brc;94;false;false
brc;95;false;false
brc;96;false;false
brc;97;false;false
brc;98;false;false
brc;99;false;false
brc;100;false;false
brc;101;false;false
brc;102;false;false
brc;103;false;false
brc;104;false;false
brc;105;false;false
brc;106;false;false
brc;107;false;false
brc;108;false;false
brc;109;false;false
brc;110;false;false
brc;111;false;false
brc;112;false;false
brc;113;false;false
brc;114;false;false
brc;115;false;false
brc;116;false;false
brc;117;false;false
brc;118;false;false
brc;119;false;false
brc;120;false;false
brc;121;false;false
brc;122;false;false
brc;123;false;false
brc;124;false;false
brc;125;false;false
brc;126;false;false
brc;127;false;false
brc;128;false;false
brc;129;false;false
brc;130;false;false
brc;131;false;false
brc;132;false;false
brc;133;false;false
brc;134;false;false
brc;135;false;false
brc;136;false;false
brc;137;false;false
brc;138;false;false
brc;139;false;false
brc;140;false;false
brc;141;false;false
brc;142;false;false
brc;143;false;false
brc;144;false;false
brc;145;false;false
brc;146;false;false
brc;147;false;false
brc;148;false;false
brc;149;false;false
brc;150;false;false
brc;151;false;false
brc;152;false;false
brc;153;false;false
brc;154;false;false
brc;155;false;false
brc;156;false;false
brc;157;false;false
brc;158;false;false
brc;159;false;false
brc;160;false;false
brc;161;false;false
brc;162;false;false
brc;163;false;false
brc;164;false;false
brc;165;false;false
brc;166;false;false
brc;167;false;false
brc;168;false;false
brc;169;false;false
brc;170;false;false
brc;171;false;false
brc;172;false;false
brc;173;false;false
brc;174;false;false
brc;175;false;false
brc;176;false;false
brc;177;false;false
brc;178;false;false
brc;179;false;false
brc;180;false;false
brc;181;false;false
brc;182;false;false
brc;183;false;false
brc;184;false;false
brc;185;false;false
brc;186;false;false
brc;187;false;false
brc;188;false;false
brc;189;false;false
brc;190;false;false
brc;191;false;false
brc;192;false;false
brc;193;false;false
brc;194;false;false
brc;195;false;false
brc;196;false;false
brc;197;false;false
brc;198;false;false
brc;199;false;false
brc;200;false;false
brc;201;false;false
brc;202;false;false
brc;203;false;false
brc;204;false;false
brc;205;false;false
brc;206;false;false
brc;207;false;false
brc;208;false;false
brc;209;false;false
brc;210;false;false
brc;211;false;false
