set;number;no_foil;foil
bro;1;false;false
bro;2;false;false
bro;3;false;false
bro;4;false;false
bro;5;false;false
bro;6;false;false
bro;7;false;false
bro;8;false;false
bro;9;false;false
bro;10;false;false
bro;11;false;false
bro;12;false;false
bro;13;false;false
bro;14;false;false
bro;15;false;false
bro;16;false;false
bro;17;false;false
bro;18;false;false
bro;19;false;false
bro;20;false;false
bro;21;false;false
bro;22;false;false
bro;23;false;false
bro;24;false;false
bro;25;false;false
bro;26;false;false
bro;27;false;false
bro;28;false;false
bro;29;false;false
bro;30;false;false
bro;31;false;false
bro;32;false;false
bro;33;false;false
bro;34;false;false
bro;35;false;false
bro;36;false;false
bro;37;false;false
bro;38;false;false
bro;39;false;false
bro;40;false;false
bro;41;false;false
bro;42;false;false
bro;43;false;false
bro;44;false;false
bro;45;false;false
bro;46;false;false
bro;47;false;false
bro;48;false;false
bro;49;false;false
bro;50;false;false
bro;51;false;false
bro;52;false;false
bro;53;false;false
bro;54;false;false
bro;55;false;false
bro;56;false;false
bro;57;false;false
bro;58;false;false
bro;A-58;false;false
bro;59;false;false
bro;60;false;false
bro;61;false;false
bro;62;false;false
bro;63;false;false
bro;A-63;false;false
bro;64;false;false
bro;65;false;false
bro;66;false;false
bro;67;false;false
bro;68;false;false
bro;69;false;false
bro;A-69;false;false
bro;70;false;false
bro;A-70;false;false
bro;71;false;false
bro;72;false;false
bro;73;false;false
bro;74;false;false
bro;75;false;false
bro;76;false;false
bro;77;false;false
bro;78;false;false
bro;79;false;false
bro;80;false;false
bro;81;false;false
bro;82;false;false
bro;83;false;false
bro;84;false;false
bro;85;false;false
bro;86;false;false
bro;87;false;false
bro;88;false;false
bro;89;false;false
bro;90;false;false
bro;91;false;false
bro;92;false;false
bro;93;false;false
bro;94;false;false
bro;95;false;false
bro;96;false;false
bro;97;false;false
bro;98;false;false
bro;99;false;false
bro;100;false;false
bro;101;false;false
bro;102;false;false
bro;103;false;false
bro;104;false;false
bro;105;false;false
bro;106;false;false
bro;107;false;false
bro;108;false;false
bro;109;false;false
bro;110;false;false
bro;111;false;false
bro;112;false;false
bro;113;false;false
bro;114;false;false
bro;115;false;false
bro;116;false;false
bro;117;false;false
bro;118;false;false
bro;119;false;false
bro;120;false;false
bro;121;false;false
bro;122;false;false
bro;123;false;false
bro;124;false;false
bro;125;false;false
bro;126;false;false
bro;127;false;false
bro;128;false;false
bro;129;false;false
bro;130;false;false
bro;131;false;false
bro;132;false;false
bro;A-132;false;false
bro;133;false;false
bro;134;false;false
bro;135;false;false
bro;136;false;false
bro;137;false;false
bro;138;false;false
bro;139;false;false
bro;140;false;false
bro;A-140;false;false
bro;141;false;false
bro;142;false;false
bro;143;false;false
bro;144;false;false
bro;145;false;false
bro;146;false;false
bro;147;false;false
bro;148;false;false
bro;149;false;false
bro;150;false;false
bro;151;false;false
bro;152;false;false
bro;153;false;false
bro;154;false;false
bro;155;false;false
bro;156;false;false
bro;A-156;false;false
bro;157;false;false
bro;158;false;false
bro;159;false;false
bro;160;false;false
bro;161;false;false
bro;162;false;false
bro;163a;false;false
bro;163b;false;false
bro;164;false;false
bro;165;false;false
bro;166;false;false
bro;167;false;false
bro;168;false;false
bro;169;false;false
bro;170;false;false
bro;171;false;false
bro;172;false;false
bro;173;false;false
bro;174;false;false
bro;175;false;false
bro;176;false;false
bro;177;false;false
bro;178;false;false
bro;179;false;false
bro;180;false;false
bro;181;false;false
bro;182;false;false
bro;183;false;false
bro;184;false;false
bro;185;false;false
bro;186;false;false
bro;187;false;false
bro;188;false;false
bro;189;false;false
bro;190;false;false
bro;191;false;false
bro;192;false;false
bro;193;false;false
bro;194;false;false
bro;195;false;false
bro;196;false;false
bro;197;false;false
bro;198;false;false
bro;199;false;false
bro;A-199;false;false
bro;200;false;false
bro;201;false;false
bro;202;false;false
bro;203;false;false
bro;204;false;false
bro;205;false;false
bro;206;false;false
bro;207;false;false
bro;208;false;false
bro;209;false;false
bro;210;false;false
bro;211;false;false
bro;212;false;false
bro;213;false;false
bro;214;false;false
bro;215;false;false
bro;216;false;false
bro;217;false;false
bro;218;false;false
bro;219;false;false
bro;A-219;false;false
bro;220;false;false
bro;221;false;false
bro;222;false;false
bro;223;false;false
bro;224;false;false
bro;225;false;false
bro;226;false;false
bro;227;false;false
bro;228;false;false
bro;229;false;false
bro;230;false;false
bro;231;false;false
bro;232;false;false
bro;233;false;false
bro;234;false;false
bro;235;false;false
bro;236;false;false
bro;237;false;false
bro;238;false;false
bro;238b;false;false
bro;239;false;false
bro;240;false;false
bro;241;false;false
bro;242;false;false
bro;243;false;false
bro;244;false;false
bro;245;false;false
bro;246;false;false
bro;247;false;false
bro;248;false;false
bro;249;false;false
bro;250;false;false
bro;251;false;false
bro;252;false;false
bro;253;false;false
bro;254;false;false
bro;A-254;false;false
bro;255;false;false
bro;256a;false;false
bro;256b;false;false
bro;257;false;false
bro;258;false;false
bro;259;false;false
bro;260;false;false
bro;261;false;false
bro;262;false;false
bro;263;false;false
bro;A-263;false;false
bro;264;false;false
bro;265;false;false
bro;266;false;false
bro;267;false;false
bro;268;false;false
bro;269;false;false
bro;270;false;false
bro;271;false;false
bro;272;false;false
bro;273;false;false
bro;274;false;false
bro;275;false;false
bro;276;false;false
bro;277;false;false
bro;278;false;false
bro;279;false;false
bro;280;false;false
bro;281;false;false
bro;282;false;false
bro;283;false;false
bro;284;false;false
bro;285;false;false
bro;286;false;false
bro;287;false;false
bro;288;false;false
bro;289;false;false
bro;A-289;false;false
bro;290;false;false
bro;291;false;false
bro;292;false;false
bro;293;false;false
bro;294;false;false
bro;295;false;false
bro;296;false;false
bro;297;false;false
bro;298;false;false
bro;299;false;false
bro;300;false;false
bro;301;false;false
bro;302;false;false
bro;303;false;false
bro;304;false;false
bro;305;false;false
bro;306;false;false
bro;307;false;false
bro;308;false;false
bro;309;false;false
bro;310;false;false
bro;311;false;false
bro;312;false;false
bro;313;false;false
bro;314;false;false
bro;315;false;false
bro;316;false;false
bro;317;false;false
bro;318;false;false
bro;319;false;false
bro;320;false;false
bro;321;false;false
bro;322;false;false
bro;323;false;false
bro;324;false;false
bro;325;false;false
bro;326;false;false
bro;327;false;false
bro;328;false;false
bro;329;false;false
bro;330;false;false
bro;331;false;false
bro;332;false;false
bro;333;false;false
bro;334;false;false
bro;335;false;false
bro;336;false;false
bro;337;false;false
bro;338;false;false
bro;339;false;false
bro;340;false;false
bro;341;false;false
bro;342;false;false
bro;343;false;false
bro;344;false;false
bro;345;false;false
bro;346;false;false
bro;347;false;false
bro;348;false;false
bro;349;false;false
bro;350;false;false
bro;351;false;false
bro;352;false;false
bro;353;false;false
bro;354;false;false
bro;355;false;false
bro;356;false;false
bro;357;false;false
bro;358;false;false
bro;359;false;false
bro;360;false;false
bro;361;false;false
bro;362;false;false
bro;363;false;false
bro;364;false;false
bro;365;false;false
bro;366;false;false
bro;367;false;false
bro;368;false;false
bro;369;false;false
bro;370;false;false
bro;371;false;false
bro;372;false;false
bro;373;false;false
bro;374;false;false
bro;375;false;false
bro;376;false;false
bro;377;false;false
bro;378;false;false
bro;379;false;false
bro;380;false;false
bro;381;false;false
bro;382;false;false
bro;383;false;false
bro;384;false;false
