set;number;no_foil;foil
brr;1;false;false
brr;2;false;false
brr;3;false;false
brr;4;false;false
brr;5;false;false
brr;6;false;false
brr;7;false;false
brr;8;false;false
brr;9;false;false
brr;10;false;false
brr;11;false;false
brr;12;false;false
brr;13;false;false
brr;14;false;false
brr;15;false;false
brr;16;false;false
brr;17;false;false
brr;18;false;false
brr;19;false;false
brr;20;false;false
brr;21;false;false
brr;22;false;false
brr;23;false;false
brr;24;false;false
brr;25;false;false
brr;26;false;false
brr;27;false;false
brr;28;false;false
brr;29;false;false
brr;30;false;false
brr;31;false;false
brr;32;false;false
brr;33;false;false
brr;34;false;false
brr;35;false;false
brr;36;false;false
brr;37;false;false
brr;38;false;false
brr;39;false;false
brr;40;false;false
brr;41;false;false
brr;42;false;false
brr;43;false;false
brr;44;false;false
brr;45;false;false
brr;46;false;false
brr;47;false;false
brr;48;false;false
brr;49;false;false
brr;50;false;false
brr;51;false;false
brr;52;false;false
brr;53;false;false
brr;54;false;false
brr;55;false;false
brr;56;false;false
brr;57;false;false
brr;58;false;false
brr;59;false;false
brr;60;false;false
brr;61;false;false
brr;62;false;false
brr;63;false;false
brr;64;false;false
brr;64z;false;false
brr;65;false;false
brr;65z;false;false
brr;66;false;false
brr;66z;false;false
brr;67;false;false
brr;67z;false;false
brr;68;false;false
brr;68z;false;false
brr;69;false;false
brr;69z;false;false
brr;70;false;false
brr;70z;false;false
brr;71;false;false
brr;71z;false;false
brr;72;false;false
brr;72z;false;false
brr;73;false;false
brr;73z;false;false
brr;74;false;false
brr;74z;false;false
brr;75;false;false
brr;75z;false;false
brr;76;false;false
brr;76z;false;false
brr;77;false;false
brr;77z;false;false
brr;78;false;false
brr;78z;false;false
brr;79;false;false
brr;79z;false;false
brr;80;false;false
brr;80z;false;false
brr;81;false;false
brr;81z;false;false
brr;82;false;false
brr;82z;false;false
brr;83;false;false
brr;83z;false;false
brr;84;false;false
brr;84z;false;false
brr;85;false;false
brr;85z;false;false
brr;86;false;false
brr;86z;false;false
brr;87;false;false
brr;87z;false;false
brr;88;false;false
brr;88z;false;false
brr;89;false;false
brr;89z;false;false
brr;90;false;false
brr;90z;false;false
brr;91;false;false
brr;91z;false;false
brr;92;false;false
brr;92z;false;false
brr;93;false;false
brr;93z;false;false
brr;94;false;false
brr;94z;false;false
brr;95;false;false
brr;95z;false;false
brr;96;false;false
brr;96z;false;false
brr;97;false;false
brr;97z;false;false
brr;98;false;false
brr;98z;false;false
brr;99;false;false
brr;99z;false;false
brr;100;false;false
brr;100z;false;false
brr;101;false;false
brr;101z;false;false
brr;102;false;false
brr;102z;false;false
brr;103;false;false
brr;103z;false;false
brr;104;false;false
brr;104z;false;false
brr;105;false;false
brr;105z;false;false
brr;106;false;false
brr;106z;false;false
brr;107;false;false
brr;107z;false;false
brr;108;false;false
brr;108z;false;false
brr;109;false;false
brr;109z;false;false
brr;110;false;false
brr;110z;false;false
brr;111;false;false
brr;111z;false;false
brr;112;false;false
brr;112z;false;false
brr;113;false;false
brr;113z;false;false
brr;114;false;false
brr;114z;false;false
brr;115;false;false
brr;115z;false;false
brr;116;false;false
brr;116z;false;false
brr;117;false;false
brr;117z;false;false
brr;118;false;false
brr;118z;false;false
brr;119;false;false
brr;119z;false;false
brr;120;false;false
brr;120z;false;false
brr;121;false;false
brr;121z;false;false
brr;122;false;false
brr;122z;false;false
brr;123;false;false
brr;123z;false;false
brr;124;false;false
brr;124z;false;false
brr;125;false;false
brr;125z;false;false
brr;126;false;false
brr;126z;false;false
