set;number;no_foil;foil
btd;1;false;false
btd;2;false;false
btd;3;false;false
btd;4;false;false
btd;5;false;false
btd;6;false;false
btd;7;false;false
btd;8;false;false
btd;9;false;false
btd;10;false;false
btd;11;false;false
btd;12;false;false
btd;13;false;false
btd;14;false;false
btd;15;false;false
btd;16;false;false
btd;17;false;false
btd;18;false;false
btd;19;false;false
btd;20;false;false
btd;21;false;false
btd;22;false;false
btd;23;false;false
btd;24;false;false
btd;25;false;false
btd;26;false;false
btd;27;false;false
btd;28;false;false
btd;29;false;false
btd;30;false;false
btd;31;false;false
btd;32;false;false
btd;33;false;false
btd;34;false;false
btd;35;false;false
btd;36;false;false
btd;37;false;false
btd;38;false;false
btd;39;false;false
btd;40;false;false
btd;41;false;false
btd;42;false;false
btd;43;false;false
btd;44;false;false
btd;45;false;false
btd;46;false;false
btd;47;false;false
btd;48;false;false
btd;49;false;false
btd;50;false;false
btd;51;false;false
btd;52;false;false
btd;53;false;false
btd;54;false;false
btd;55;false;false
btd;56;false;false
btd;57;false;false
btd;58;false;false
btd;59;false;false
btd;60;false;false
btd;61;false;false
btd;62;false;false
btd;63;false;false
btd;64;false;false
btd;65;false;false
btd;66;false;false
btd;67;false;false
btd;68;false;false
btd;69;false;false
btd;70;false;false
btd;71;false;false
btd;72;false;false
btd;73;false;false
btd;74;false;false
btd;75;false;false
btd;76;false;false
btd;77;false;false
btd;78;false;false
btd;79;false;false
btd;80;false;false
btd;81;false;false
btd;82;false;false
btd;83;false;false
btd;84;false;false
btd;85;false;false
btd;86;false;false
btd;87;false;false
btd;88;false;false
btd;89;false;false
btd;90;false;false
