set;number;no_foil;foil
c15;1;false;false
c15;2;false;false
c15;3;false;false
c15;4;false;false
c15;5;false;false
c15;6;false;false
c15;7;false;false
c15;8;false;false
c15;9;false;false
c15;10;false;false
c15;11;false;false
c15;12;false;false
c15;13;false;false
c15;14;false;false
c15;15;false;false
c15;16;false;false
c15;17;false;false
c15;18;false;false
c15;19;false;false
c15;20;false;false
c15;21;false;false
c15;22;false;false
c15;23;false;false
c15;24;false;false
c15;25;false;false
c15;26;false;false
c15;27;false;false
c15;28;false;false
c15;29;false;false
c15;30;false;false
c15;31;false;false
c15;32;false;false
c15;33;false;false
c15;34;false;false
c15;35;false;false
c15;36;false;false
c15;37;false;false
c15;38;false;false
c15;39;false;false
c15;40;false;false
c15;41;false;false
c15;42;false;false
c15;43;false;false
c15;44;false;false
c15;45;false;false
c15;46;false;false
c15;47;false;false
c15;48;false;false
c15;49;false;false
c15;50;false;false
c15;51;false;false
c15;52;false;false
c15;53;false;false
c15;54;false;false
c15;55;false;false
c15;56;false;false
c15;57;false;false
c15;58;false;false
c15;59;false;false
c15;60;false;false
c15;61;false;false
c15;62;false;false
c15;63;false;false
c15;64;false;false
c15;65;false;false
c15;66;false;false
c15;67;false;false
c15;68;false;false
c15;69;false;false
c15;70;false;false
c15;71;false;false
c15;72;false;false
c15;73;false;false
c15;74;false;false
c15;75;false;false
c15;76;false;false
c15;77;false;false
c15;78;false;false
c15;79;false;false
c15;80;false;false
c15;81;false;false
c15;82;false;false
c15;83;false;false
c15;84;false;false
c15;85;false;false
c15;86;false;false
c15;87;false;false
c15;88;false;false
c15;89;false;false
c15;90;false;false
c15;91;false;false
c15;92;false;false
c15;93;false;false
c15;94;false;false
c15;95;false;false
c15;96;false;false
c15;97;false;false
c15;98;false;false
c15;99;false;false
c15;100;false;false
c15;101;false;false
c15;102;false;false
c15;103;false;false
c15;104;false;false
c15;105;false;false
c15;106;false;false
c15;107;false;false
c15;108;false;false
c15;109;false;false
c15;110;false;false
c15;111;false;false
c15;112;false;false
c15;113;false;false
c15;114;false;false
c15;115;false;false
c15;116;false;false
c15;117;false;false
c15;118;false;false
c15;119;false;false
c15;120;false;false
c15;121;false;false
c15;122;false;false
c15;123;false;false
c15;124;false;false
c15;125;false;false
c15;126;false;false
c15;127;false;false
c15;128;false;false
c15;129;false;false
c15;130;false;false
c15;131;false;false
c15;132;false;false
c15;133;false;false
c15;134;false;false
c15;135;false;false
c15;136;false;false
c15;137;false;false
c15;138;false;false
c15;139;false;false
c15;140;false;false
c15;141;false;false
c15;142;false;false
c15;143;false;false
c15;144;false;false
c15;145;false;false
c15;146;false;false
c15;147;false;false
c15;148;false;false
c15;149;false;false
c15;150;false;false
c15;151;false;false
c15;152;false;false
c15;153;false;false
c15;154;false;false
c15;155;false;false
c15;156;false;false
c15;157;false;false
c15;158;false;false
c15;159;false;false
c15;160;false;false
c15;161;false;false
c15;162;false;false
c15;163;false;false
c15;164;false;false
c15;165;false;false
c15;166;false;false
c15;167;false;false
c15;168;false;false
c15;169;false;false
c15;170;false;false
c15;171;false;false
c15;172;false;false
c15;173;false;false
c15;174;false;false
c15;175;false;false
c15;176;false;false
c15;177;false;false
c15;178;false;false
c15;179;false;false
c15;180;false;false
c15;181;false;false
c15;182;false;false
c15;183;false;false
c15;184;false;false
c15;185;false;false
c15;186;false;false
c15;187;false;false
c15;188;false;false
c15;189;false;false
c15;190;false;false
c15;191;false;false
c15;192;false;false
c15;193;false;false
c15;194;false;false
c15;195;false;false
c15;196;false;false
c15;197;false;false
c15;198;false;false
c15;199;false;false
c15;200;false;false
c15;201;false;false
c15;202;false;false
c15;203;false;false
c15;204;false;false
c15;205;false;false
c15;206;false;false
c15;207;false;false
c15;208;false;false
c15;209;false;false
c15;210;false;false
c15;211;false;false
c15;212;false;false
c15;213;false;false
c15;214;false;false
c15;215;false;false
c15;216;false;false
c15;217;false;false
c15;218;false;false
c15;219;false;false
c15;220;false;false
c15;221;false;false
c15;222;false;false
c15;223;false;false
c15;224;false;false
c15;225;false;false
c15;226;false;false
c15;227;false;false
c15;228;false;false
c15;229;false;false
c15;230;false;false
c15;231;false;false
c15;232;false;false
c15;233;false;false
c15;234;false;false
c15;235;false;false
c15;236;false;false
c15;237;false;false
c15;238;false;false
c15;239;false;false
c15;240;false;false
c15;241;false;false
c15;242;false;false
c15;243;false;false
c15;244;false;false
c15;245;false;false
c15;246;false;false
c15;247;false;false
c15;248;false;false
c15;249;false;false
c15;250;false;false
c15;251;false;false
c15;252;false;false
c15;253;false;false
c15;254;false;false
c15;255;false;false
c15;256;false;false
c15;257;false;false
c15;258;false;false
c15;259;false;false
c15;260;false;false
c15;261;false;false
c15;262;false;false
c15;263;false;false
c15;264;false;false
c15;265;false;false
c15;266;false;false
c15;267;false;false
c15;268;false;false
c15;269;false;false
c15;270;false;false
c15;271;false;false
c15;272;false;false
c15;273;false;false
c15;274;false;false
c15;275;false;false
c15;276;false;false
c15;277;false;false
c15;278;false;false
c15;279;false;false
c15;280;false;false
c15;281;false;false
c15;282;false;false
c15;283;false;false
c15;284;false;false
c15;285;false;false
c15;286;false;false
c15;287;false;false
c15;288;false;false
c15;289;false;false
c15;290;false;false
c15;291;false;false
c15;292;false;false
c15;293;false;false
c15;294;false;false
c15;295;false;false
c15;296;false;false
c15;297;false;false
c15;298;false;false
c15;299;false;false
c15;300;false;false
c15;301;false;false
c15;302;false;false
c15;303;false;false
c15;304;false;false
c15;305;false;false
c15;306;false;false
c15;307;false;false
c15;308;false;false
c15;309;false;false
c15;310;false;false
c15;311;false;false
c15;312;false;false
c15;313;false;false
c15;314;false;false
c15;315;false;false
c15;316;false;false
c15;317;false;false
c15;318;false;false
c15;319;false;false
c15;320;false;false
c15;321;false;false
c15;322;false;false
c15;323;false;false
c15;324;false;false
c15;325;false;false
c15;326;false;false
c15;327;false;false
c15;328;false;false
c15;329;false;false
c15;330;false;false
c15;331;false;false
c15;332;false;false
c15;333;false;false
c15;334;false;false
c15;335;false;false
c15;336;false;false
c15;337;false;false
c15;338;false;false
c15;339;false;false
c15;340;false;false
c15;341;false;false
c15;342;false;false
