set;number;no_foil;foil
chk;1;false;false
chk;2;false;false
chk;3;false;false
chk;4;false;false
chk;5;false;false
chk;6;false;false
chk;7;false;false
chk;8;false;false
chk;9;false;false
chk;10;false;false
chk;11;false;false
chk;12;false;false
chk;13;false;false
chk;14;false;false
chk;15;false;false
chk;16;false;false
chk;17;false;false
chk;18;false;false
chk;19;false;false
chk;20;false;false
chk;21;false;false
chk;22;false;false
chk;23;false;false
chk;24;false;false
chk;25;false;false
chk;26;false;false
chk;27;false;false
chk;28;false;false
chk;29;false;false
chk;30;false;false
chk;31;false;false
chk;32;false;false
chk;33;false;false
chk;34;false;false
chk;35;false;false
chk;36;false;false
chk;37;false;false
chk;38;false;false
chk;39;false;false
chk;40;false;false
chk;41;false;false
chk;42;false;false
chk;43;false;false
chk;44;false;false
chk;45;false;false
chk;46;false;false
chk;47;false;false
chk;48;false;false
chk;49;false;false
chk;50;false;false
chk;51;false;false
chk;52;false;false
chk;53;false;false
chk;54;false;false
chk;55;false;false
chk;56;false;false
chk;57;false;false
chk;58;false;false
chk;59;false;false
chk;60;false;false
chk;61;false;false
chk;62;false;false
chk;63;false;false
chk;64;false;false
chk;65;false;false
chk;66;false;false
chk;67;false;false
chk;68;false;false
chk;69;false;false
chk;70;false;false
chk;71;false;false
chk;72;false;false
chk;73;false;false
chk;74;false;false
chk;75;false;false
chk;76;false;false
chk;77;false;false
chk;78;false;false
chk;79;false;false
chk;80;false;false
chk;81;false;false
chk;82;false;false
chk;83;false;false
chk;84;false;false
chk;85;false;false
chk;86;false;false
chk;87;false;false
chk;88;false;false
chk;89;false;false
chk;90;false;false
chk;91;false;false
chk;92;false;false
chk;93;false;false
chk;94;false;false
chk;95;false;false
chk;96;false;false
chk;97;false;false
chk;98;false;false
chk;99;false;false
chk;100;false;false
chk;101;false;false
chk;102;false;false
chk;103;false;false
chk;104;false;false
chk;105;false;false
chk;106;false;false
chk;107;false;false
chk;108;false;false
chk;109;false;false
chk;110;false;false
chk;111;false;false
chk;112;false;false
chk;113;false;false
chk;114;false;false
chk;115;false;false
chk;116;false;false
chk;117;false;false
chk;118;false;false
chk;119;false;false
chk;120;false;false
chk;121;false;false
chk;122;false;false
chk;123;false;false
chk;124;false;false
chk;125;false;false
chk;126;false;false
chk;127;false;false
chk;128;false;false
chk;129;false;false
chk;130;false;false
chk;131;false;false
chk;132;false;false
chk;133;false;false
chk;134;false;false
chk;135;false;false
chk;136;false;false
chk;137;false;false
chk;138;false;false
chk;139;false;false
chk;140;false;false
chk;141;false;false
chk;142;false;false
chk;143;false;false
chk;144;false;false
chk;145;false;false
chk;146;false;false
chk;147;false;false
chk;148;false;false
chk;149;false;false
chk;150;false;false
chk;151;false;false
chk;152;false;false
chk;153;false;false
chk;154;false;false
chk;155;false;false
chk;156;false;false
chk;157;false;false
chk;158;false;false
chk;159;false;false
chk;160a;false;false
chk;160b;false;false
chk;161;false;false
chk;162;false;false
chk;163;false;false
chk;164;false;false
chk;165;false;false
chk;166;false;false
chk;167;false;false
chk;168;false;false
chk;169;false;false
chk;170;false;false
chk;171;false;false
chk;172;false;false
chk;173;false;false
chk;174;false;false
chk;175;false;false
chk;176;false;false
chk;177;false;false
chk;178;false;false
chk;179;false;false
chk;180;false;false
chk;181;false;false
chk;182;false;false
chk;183;false;false
chk;184;false;false
chk;185;false;false
chk;186;false;false
chk;187;false;false
chk;188;false;false
chk;189;false;false
chk;190;false;false
chk;191;false;false
chk;192;false;false
chk;193;false;false
chk;194;false;false
chk;195;false;false
chk;196;false;false
chk;197;false;false
chk;198;false;false
chk;199;false;false
chk;200;false;false
chk;201;false;false
chk;202;false;false
chk;203;false;false
chk;204;false;false
chk;205;false;false
chk;206;false;false
chk;207;false;false
chk;208;false;false
chk;209;false;false
chk;210;false;false
chk;211;false;false
chk;212;false;false
chk;213;false;false
chk;214;false;false
chk;215;false;false
chk;216;false;false
chk;217;false;false
chk;218;false;false
chk;219;false;false
chk;220;false;false
chk;221;false;false
chk;222;false;false
chk;223;false;false
chk;224;false;false
chk;225;false;false
chk;226;false;false
chk;227;false;false
chk;228;false;false
chk;229;false;false
chk;230;false;false
chk;231;false;false
chk;232;false;false
chk;233;false;false
chk;234;false;false
chk;235;false;false
chk;236;false;false
chk;237;false;false
chk;238;false;false
chk;239;false;false
chk;240;false;false
chk;241;false;false
chk;242;false;false
chk;243;false;false
chk;244;false;false
chk;245;false;false
chk;246;false;false
chk;247;false;false
chk;248;false;false
chk;249;false;false
chk;250;false;false
chk;251;false;false
chk;252;false;false
chk;253;false;false
chk;254;false;false
chk;255;false;false
chk;256;false;false
chk;257;false;false
chk;258;false;false
chk;259;false;false
chk;260;false;false
chk;261;false;false
chk;262;false;false
chk;263;false;false
chk;264;false;false
chk;265;false;false
chk;266;false;false
chk;267;false;false
chk;268;false;false
chk;269;false;false
chk;270;false;false
chk;271;false;false
chk;272;false;false
chk;273;false;false
chk;274;false;false
chk;275;false;false
chk;276;false;false
chk;277;false;false
chk;278;false;false
chk;279;false;false
chk;280;false;false
chk;281;false;false
chk;282;false;false
chk;283;false;false
chk;284;false;false
chk;285;false;false
chk;286;false;false
chk;287;false;false
chk;288;false;false
chk;289;false;false
chk;290;false;false
chk;291;false;false
chk;292;false;false
chk;293;false;false
chk;294;false;false
chk;295;false;false
chk;296;false;false
chk;297;false;false
chk;298;false;false
chk;299;false;false
chk;300;false;false
chk;301;false;false
chk;302;false;false
chk;303;false;false
chk;304;false;false
chk;305;false;false
chk;306;false;false
