set;number;no_foil;foil
chr;1;false;false
chr;2;false;false
chr;3;false;false
chr;4;false;false
chr;5;false;false
chr;6;false;false
chr;7;false;false
chr;8;false;false
chr;9;false;false
chr;10;false;false
chr;11;false;false
chr;12;false;false
chr;13;false;false
chr;14;false;false
chr;15;false;false
chr;16;false;false
chr;17;false;false
chr;18;false;false
chr;19;false;false
chr;20;false;false
chr;21;false;false
chr;22;false;false
chr;23;false;false
chr;24;false;false
chr;25;false;false
chr;26;false;false
chr;27;false;false
chr;28;false;false
chr;29;false;false
chr;30;false;false
chr;31;false;false
chr;32;false;false
chr;33;false;false
chr;34;false;false
chr;35;false;false
chr;36;false;false
chr;37;false;false
chr;38;false;false
chr;39;false;false
chr;40;false;false
chr;41;false;false
chr;42;false;false
chr;43;false;false
chr;44;false;false
chr;45;false;false
chr;46;false;false
chr;47;false;false
chr;48;false;false
chr;49;false;false
chr;50;false;false
chr;51;false;false
chr;52;false;false
chr;53;false;false
chr;54;false;false
chr;55;false;false
chr;56;false;false
chr;57;false;false
chr;58;false;false
chr;59;false;false
chr;60;false;false
chr;61;false;false
chr;62;false;false
chr;63;false;false
chr;64;false;false
chr;65;false;false
chr;66;false;false
chr;67;false;false
chr;68;false;false
chr;69;false;false
chr;70;false;false
chr;71;false;false
chr;72;false;false
chr;73;false;false
chr;74;false;false
chr;75;false;false
chr;76;false;false
chr;77;false;false
chr;78;false;false
chr;79;false;false
chr;80;false;false
chr;81;false;false
chr;82;false;false
chr;83;false;false
chr;84;false;false
chr;85;false;false
chr;86;false;false
chr;87;false;false
chr;88;false;false
chr;89;false;false
chr;90;false;false
chr;91;false;false
chr;92;false;false
chr;93;false;false
chr;94;false;false
chr;95;false;false
chr;96;false;false
chr;97;false;false
chr;98;false;false
chr;99;false;false
chr;100;false;false
chr;101;false;false
chr;102;false;false
chr;103;false;false
chr;104;false;false
chr;105;false;false
chr;106;false;false
chr;107;false;false
chr;108;false;false
chr;109;false;false
chr;110;false;false
chr;111;false;false
chr;112;false;false
chr;113;false;false
chr;114a;false;false
chr;114b;false;false
chr;114c;false;false
chr;114d;false;false
chr;115a;false;false
chr;115b;false;false
chr;115c;false;false
chr;115d;false;false
chr;116a;false;false
chr;116b;false;false
chr;116c;false;false
chr;116d;false;false
