set;number;no_foil;foil
clb;1;false;false
clb;2;false;false
clb;3;false;false
clb;4;false;false
clb;5;false;false
clb;6;false;false
clb;7;false;false
clb;8;false;false
clb;9;false;false
clb;10;false;false
clb;11;false;false
clb;12;false;false
clb;13;false;false
clb;14;false;false
clb;15;false;false
clb;16;false;false
clb;17;false;false
clb;18;false;false
clb;19;false;false
clb;20;false;false
clb;21;false;false
clb;22;false;false
clb;23;false;false
clb;24;false;false
clb;25;false;false
clb;26;false;false
clb;27;false;false
clb;28;false;false
clb;29;false;false
clb;30;false;false
clb;31;false;false
clb;32;false;false
clb;33;false;false
clb;34;false;false
clb;35;false;false
clb;36;false;false
clb;37;false;false
clb;38;false;false
clb;39;false;false
clb;40;false;false
clb;41;false;false
clb;42;false;false
clb;43;false;false
clb;44;false;false
clb;45;false;false
clb;46;false;false
clb;47;false;false
clb;48;false;false
clb;49;false;false
clb;50;false;false
clb;51;false;false
clb;52;false;false
clb;53;false;false
clb;54;false;false
clb;55;false;false
clb;56;false;false
clb;57;false;false
clb;58;false;false
clb;59;false;false
clb;60;false;false
clb;61;false;false
clb;62;false;false
clb;63;false;false
clb;64;false;false
clb;65;false;false
clb;66;false;false
clb;67;false;false
clb;68;false;false
clb;69;false;false
clb;70;false;false
clb;71;false;false
clb;72;false;false
clb;73;false;false
clb;74;false;false
clb;75;false;false
clb;76;false;false
clb;77;false;false
clb;78;false;false
clb;79;false;false
clb;80;false;false
clb;81;false;false
clb;82;false;false
clb;83;false;false
clb;84;false;false
clb;85;false;false
clb;86;false;false
clb;87;false;false
clb;88;false;false
clb;89;false;false
clb;90;false;false
clb;91;false;false
clb;92;false;false
clb;93;false;false
clb;94;false;false
clb;95;false;false
clb;96;false;false
clb;97;false;false
clb;98;false;false
clb;99;false;false
clb;100;false;false
clb;101;false;false
clb;102;false;false
clb;103;false;false
clb;104;false;false
clb;105;false;false
clb;106;false;false
clb;107;false;false
clb;108;false;false
clb;109;false;false
clb;110;false;false
clb;111;false;false
clb;112;false;false
clb;113;false;false
clb;114;false;false
clb;115;false;false
clb;116;false;false
clb;117;false;false
clb;118;false;false
clb;119;false;false
clb;120;false;false
clb;121;false;false
clb;122;false;false
clb;123;false;false
clb;124;false;false
clb;125;false;false
clb;126;false;false
clb;127;false;false
clb;128;false;false
clb;129;false;false
clb;130;false;false
clb;131;false;false
clb;132;false;false
clb;133;false;false
clb;134;false;false
clb;135;false;false
clb;136;false;false
clb;137;false;false
clb;138;false;false
clb;139;false;false
clb;140;false;false
clb;141;false;false
clb;142;false;false
clb;143;false;false
clb;144;false;false
clb;145;false;false
clb;146;false;false
clb;147;false;false
clb;148;false;false
clb;149;false;false
clb;150;false;false
clb;151;false;false
clb;152;false;false
clb;153;false;false
clb;154;false;false
clb;155;false;false
clb;156;false;false
clb;157;false;false
clb;158;false;false
clb;159;false;false
clb;160;false;false
clb;161;false;false
clb;162;false;false
clb;163;false;false
clb;164;false;false
clb;165;false;false
clb;166;false;false
clb;167;false;false
clb;168;false;false
clb;169;false;false
clb;170;false;false
clb;171;false;false
clb;172;false;false
clb;173;false;false
clb;174;false;false
clb;175;false;false
clb;176;false;false
clb;177;false;false
clb;178;false;false
clb;179;false;false
clb;180;false;false
clb;181;false;false
clb;182;false;false
clb;183;false;false
clb;184;false;false
clb;185;false;false
clb;186;false;false
clb;187;false;false
clb;188;false;false
clb;189;false;false
clb;190;false;false
clb;191;false;false
clb;192;false;false
clb;193;false;false
clb;194;false;false
clb;195;false;false
clb;196;false;false
clb;197;false;false
clb;198;false;false
clb;199;false;false
clb;200;false;false
clb;201;false;false
clb;202;false;false
clb;203;false;false
clb;204;false;false
clb;205;false;false
clb;206;false;false
clb;207;false;false
clb;208;false;false
clb;209;false;false
clb;210;false;false
clb;211;false;false
clb;212;false;false
clb;213;false;false
clb;214;false;false
clb;215;false;false
clb;216;false;false
clb;217;false;false
clb;218;false;false
clb;219;false;false
clb;220;false;false
clb;221;false;false
clb;222;false;false
clb;223;false;false
clb;224;false;false
clb;225;false;false
clb;226;false;false
clb;227;false;false
clb;228;false;false
clb;229;false;false
clb;230;false;false
clb;231;false;false
clb;232;false;false
clb;233;false;false
clb;234;false;false
clb;235;false;false
clb;236;false;false
clb;237;false;false
clb;238;false;false
clb;239;false;false
clb;240;false;false
clb;241;false;false
clb;242;false;false
clb;243;false;false
clb;244;false;false
clb;245;false;false
clb;246;false;false
clb;247;false;false
clb;248;false;false
clb;249;false;false
clb;250;false;false
clb;251;false;false
clb;252;false;false
clb;253;false;false
clb;254;false;false
clb;255;false;false
clb;256;false;false
clb;257;false;false
clb;258;false;false
clb;259;false;false
clb;260;false;false
clb;261;false;false
clb;262;false;false
