set;number;no_foil;foil
clu;1;false;false
clu;2;false;false
clu;3;false;false
clu;4;false;false
clu;5;false;false
clu;6;false;false
clu;7;false;false
clu;8;false;false
clu;9;false;false
clu;10;false;false
clu;11;false;false
clu;12;false;false
clu;13;false;false
clu;14;false;false
clu;15;false;false
clu;16;false;false
clu;17;false;false
clu;18;false;false
clu;19;false;false
clu;20;false;false
clu;21;false;false
clu;22;false;false
clu;23;false;false
clu;24;false;false
clu;25;false;false
clu;26;false;false
clu;27;false;false
clu;28;false;false
clu;29;false;false
clu;30;false;false
clu;31;false;false
clu;32;false;false
clu;33;false;false
clu;34;false;false
clu;35;false;false
clu;36;false;false
clu;37;false;false
clu;38;false;false
clu;39;false;false
clu;40;false;false
clu;41;false;false
clu;42;false;false
clu;43;false;false
clu;44;false;false
clu;45;false;false
clu;46;false;false
clu;47;false;false
clu;48;false;false
clu;49;false;false
clu;50;false;false
clu;51;false;false
clu;52;false;false
clu;53;false;false
clu;54;false;false
clu;55;false;false
clu;56;false;false
clu;57;false;false
clu;58;false;false
clu;59;false;false
clu;60;false;false
clu;61;false;false
clu;62;false;false
clu;63;false;false
clu;64;false;false
clu;65;false;false
clu;66;false;false
clu;67;false;false
clu;68;false;false
clu;69;false;false
clu;70;false;false
clu;71;false;false
clu;72;false;false
clu;73;false;false
clu;74;false;false
clu;75;false;false
clu;76;false;false
clu;77;false;false
clu;78;false;false
clu;79;false;false
clu;80;false;false
clu;81;false;false
clu;82;false;false
clu;83;false;false
clu;84;false;false
clu;85;false;false
clu;86;false;false
clu;87;false;false
clu;88;false;false
clu;89;false;false
clu;90;false;false
clu;91;false;false
clu;92;false;false
clu;93;false;false
clu;94;false;false
clu;95;false;false
clu;96;false;false
clu;97;false;false
clu;98;false;false
clu;99;false;false
clu;100;false;false
clu;101;false;false
clu;102;false;false
clu;103;false;false
clu;104;false;false
clu;105;false;false
clu;106;false;false
clu;107;false;false
clu;108;false;false
clu;109;false;false
clu;110;false;false
clu;111;false;false
clu;112;false;false
clu;113;false;false
clu;114;false;false
clu;115;false;false
clu;116;false;false
clu;117;false;false
clu;118;false;false
clu;119;false;false
clu;120;false;false
clu;121;false;false
clu;122;false;false
clu;123;false;false
clu;124;false;false
clu;125;false;false
clu;126;false;false
clu;127;false;false
clu;128;false;false
clu;129;false;false
clu;130;false;false
clu;131;false;false
clu;132;false;false
clu;133;false;false
clu;134;false;false
clu;135;false;false
clu;136;false;false
clu;137;false;false
clu;138;false;false
clu;139;false;false
clu;140;false;false
clu;141;false;false
clu;142;false;false
clu;143;false;false
clu;144;false;false
clu;145;false;false
clu;146;false;false
clu;147;false;false
clu;148;false;false
clu;149;false;false
clu;150;false;false
clu;151;false;false
clu;152;false;false
clu;153;false;false
clu;154;false;false
clu;155;false;false
clu;156;false;false
clu;157;false;false
clu;158;false;false
clu;159;false;false
clu;160;false;false
clu;161;false;false
clu;162;false;false
clu;163;false;false
clu;164;false;false
clu;165;false;false
clu;166;false;false
clu;167;false;false
clu;168;false;false
clu;169;false;false
clu;170;false;false
clu;171;false;false
clu;172;false;false
clu;173;false;false
clu;174;false;false
clu;175;false;false
clu;176;false;false
clu;177;false;false
clu;178;false;false
clu;179;false;false
clu;180;false;false
clu;181;false;false
clu;182;false;false
clu;183;false;false
clu;184;false;false
clu;185;false;false
clu;186;false;false
clu;187;false;false
clu;188;false;false
clu;189;false;false
clu;190;false;false
clu;191;false;false
clu;192;false;false
clu;193;false;false
clu;194;false;false
clu;195;false;false
clu;196;false;false
clu;197;false;false
clu;198;false;false
clu;199;false;false
clu;200;false;false
clu;201;false;false
clu;202;false;false
clu;203;false;false
clu;204;false;false
clu;205;false;false
clu;206;false;false
clu;207;false;false
clu;208;false;false
clu;209;false;false
clu;210;false;false
clu;211;false;false
clu;212;false;false
clu;213;false;false
clu;214;false;false
clu;215;false;false
clu;216;false;false
clu;217;false;false
clu;218;false;false
clu;219;false;false
clu;220;false;false
clu;221;false;false
clu;222;false;false
clu;223;false;false
clu;224;false;false
clu;225;false;false
clu;226;false;false
clu;227;false;false
clu;228;false;false
clu;229;false;false
clu;230;false;false
clu;231;false;false
clu;232;false;false
clu;233;false;false
clu;234;false;false
clu;235;false;false
clu;236;false;false
clu;237;false;false
clu;238;false;false
clu;239;false;false
clu;240;false;false
clu;241;false;false
clu;242;false;false
clu;243;false;false
clu;244;false;false
clu;245;false;false
clu;246;false;false
clu;247;false;false
clu;248;false;false
clu;249;false;false
clu;250;false;false
clu;251;false;false
clu;252;false;false
clu;253;false;false
clu;254;false;false
clu;255;false;false
clu;256;false;false
clu;257;false;false
clu;258;false;false
clu;259;false;false
clu;260;false;false
clu;261;false;false
clu;262;false;false
clu;263;false;false
clu;264;false;false
clu;265;false;false
clu;266;false;false
clu;267;false;false
clu;268;false;false
clu;269;false;false
clu;270;false;false
clu;271;false;false
clu;272;false;false
clu;273;false;false
clu;274;false;false
clu;275;false;false
clu;276;false;false
clu;277;false;false
clu;278;false;false
clu;279;false;false
clu;280;false;false
clu;281;false;false
clu;282;false;false
clu;283;false;false
clu;284;false;false
