set;number;no_foil;foil
cm2;1;false;false
cm2;2;false;false
cm2;3;false;false
cm2;4;false;false
cm2;5;false;false
cm2;6;false;false
cm2;7;false;false
cm2;8;false;false
cm2;9;false;false
cm2;10;false;false
cm2;11;false;false
cm2;12;false;false
cm2;13;false;false
cm2;14;false;false
cm2;15;false;false
cm2;16;false;false
cm2;17;false;false
cm2;18;false;false
cm2;19;false;false
cm2;20;false;false
cm2;21;false;false
cm2;22;false;false
cm2;23;false;false
cm2;24;false;false
cm2;25;false;false
cm2;26;false;false
cm2;27;false;false
cm2;28;false;false
cm2;29;false;false
cm2;30;false;false
cm2;31;false;false
cm2;32;false;false
cm2;33;false;false
cm2;34;false;false
cm2;35;false;false
cm2;36;false;false
cm2;37;false;false
cm2;38;false;false
cm2;39;false;false
cm2;40;false;false
cm2;41;false;false
cm2;42;false;false
cm2;43;false;false
cm2;44;false;false
cm2;45;false;false
cm2;46;false;false
cm2;47;false;false
cm2;48;false;false
cm2;49;false;false
cm2;50;false;false
cm2;51;false;false
cm2;52;false;false
cm2;53;false;false
cm2;54;false;false
cm2;55;false;false
cm2;56;false;false
cm2;57;false;false
cm2;58;false;false
cm2;59;false;false
cm2;60;false;false
cm2;61;false;false
cm2;62;false;false
cm2;63;false;false
cm2;64;false;false
cm2;65;false;false
cm2;66;false;false
cm2;67;false;false
cm2;68;false;false
cm2;69;false;false
cm2;70;false;false
cm2;71;false;false
cm2;72;false;false
cm2;73;false;false
cm2;74;false;false
cm2;75;false;false
cm2;76;false;false
cm2;77;false;false
cm2;78;false;false
cm2;79;false;false
cm2;80;false;false
cm2;81;false;false
cm2;82;false;false
cm2;83;false;false
cm2;84;false;false
cm2;85;false;false
cm2;86;false;false
cm2;87;false;false
cm2;88;false;false
cm2;89;false;false
cm2;90;false;false
cm2;91;false;false
cm2;92;false;false
cm2;93;false;false
cm2;94;false;false
cm2;95;false;false
cm2;96;false;false
cm2;97;false;false
cm2;98;false;false
cm2;99;false;false
cm2;100;false;false
cm2;101;false;false
cm2;102;false;false
cm2;103;false;false
cm2;104;false;false
cm2;105;false;false
cm2;106;false;false
cm2;107;false;false
cm2;108;false;false
cm2;109;false;false
cm2;110;false;false
cm2;111;false;false
cm2;112;false;false
cm2;113;false;false
cm2;114;false;false
cm2;115;false;false
cm2;116;false;false
cm2;117;false;false
cm2;118;false;false
cm2;119;false;false
cm2;120;false;false
cm2;121;false;false
