set;number;no_foil;foil
cma;1;false;false
cma;2;false;false
cma;3;false;false
cma;4;false;false
cma;5;false;false
cma;6;false;false
cma;7;false;false
cma;8;false;false
cma;9;false;false
cma;10;false;false
cma;11;false;false
cma;12;false;false
cma;13;false;false
cma;14;false;false
cma;15;false;false
cma;16;false;false
cma;17;false;false
cma;18;false;false
cma;19;false;false
cma;20;false;false
cma;21;false;false
cma;22;false;false
cma;23;false;false
cma;24;false;false
cma;25;false;false
cma;26;false;false
cma;27;false;false
cma;28;false;false
cma;29;false;false
cma;30;false;false
cma;31;false;false
cma;32;false;false
cma;33;false;false
cma;34;false;false
cma;35;false;false
cma;36;false;false
cma;37;false;false
cma;38;false;false
cma;39;false;false
cma;40;false;false
cma;41;false;false
cma;42;false;false
cma;43;false;false
cma;44;false;false
cma;45;false;false
cma;46;false;false
cma;47;false;false
cma;48;false;false
cma;49;false;false
cma;50;false;false
cma;51;false;false
cma;52;false;false
cma;53;false;false
cma;54;false;false
cma;55;false;false
cma;56;false;false
cma;57;false;false
cma;58;false;false
cma;59;false;false
cma;60;false;false
cma;61;false;false
cma;62;false;false
cma;63;false;false
cma;64;false;false
cma;65;false;false
cma;66;false;false
cma;67;false;false
cma;68;false;false
cma;69;false;false
cma;70;false;false
cma;71;false;false
cma;72;false;false
cma;73;false;false
cma;74;false;false
cma;75;false;false
cma;76;false;false
cma;77;false;false
cma;78;false;false
cma;79;false;false
cma;80;false;false
cma;81;false;false
cma;82;false;false
cma;83;false;false
cma;84;false;false
cma;85;false;false
cma;86;false;false
cma;87;false;false
cma;88;false;false
cma;89;false;false
cma;90;false;false
cma;91;false;false
cma;92;false;false
cma;93;false;false
cma;94;false;false
cma;95;false;false
cma;96;false;false
cma;97;false;false
cma;98;false;false
cma;99;false;false
cma;100;false;false
cma;101;false;false
cma;102;false;false
cma;103;false;false
cma;104;false;false
cma;105;false;false
cma;106;false;false
cma;107;false;false
cma;108;false;false
cma;109;false;false
cma;110;false;false
cma;111;false;false
cma;112;false;false
cma;113;false;false
cma;114;false;false
cma;115;false;false
cma;116;false;false
cma;117;false;false
cma;118;false;false
cma;119;false;false
cma;120;false;false
cma;121;false;false
cma;122;false;false
cma;123;false;false
cma;124;false;false
cma;125;false;false
cma;126;false;false
cma;127;false;false
cma;128;false;false
cma;129;false;false
cma;130;false;false
cma;131;false;false
cma;132;false;false
cma;133;false;false
cma;134;false;false
cma;135;false;false
cma;136;false;false
cma;137;false;false
cma;138;false;false
cma;139;false;false
cma;140;false;false
cma;141;false;false
cma;142;false;false
cma;143;false;false
cma;144;false;false
cma;145;false;false
cma;146;false;false
cma;147;false;false
cma;148;false;false
cma;149;false;false
cma;150;false;false
cma;151;false;false
cma;152;false;false
cma;153;false;false
cma;154;false;false
cma;155;false;false
cma;156;false;false
cma;157;false;false
cma;158;false;false
cma;159;false;false
cma;160;false;false
cma;161;false;false
cma;162;false;false
cma;163;false;false
cma;164;false;false
cma;165;false;false
cma;166;false;false
cma;167;false;false
cma;168;false;false
cma;169;false;false
cma;170;false;false
cma;171;false;false
cma;172;false;false
cma;173;false;false
cma;174;false;false
cma;175;false;false
cma;176;false;false
cma;177;false;false
cma;178;false;false
cma;179;false;false
cma;180;false;false
cma;181;false;false
cma;182;false;false
cma;183;false;false
cma;184;false;false
cma;185;false;false
cma;186;false;false
cma;187;false;false
cma;188;false;false
cma;189;false;false
cma;190;false;false
cma;191;false;false
cma;192;false;false
cma;193;false;false
cma;194;false;false
cma;195;false;false
cma;196;false;false
cma;197;false;false
cma;198;false;false
cma;199;false;false
cma;200;false;false
cma;201;false;false
cma;202;false;false
cma;203;false;false
cma;204;false;false
cma;205;false;false
cma;206;false;false
cma;207;false;false
cma;208;false;false
cma;209;false;false
cma;210;false;false
cma;211;false;false
cma;212;false;false
cma;213;false;false
cma;214;false;false
cma;215;false;false
cma;216;false;false
cma;217;false;false
cma;218;false;false
cma;219;false;false
cma;220;false;false
cma;221;false;false
cma;222;false;false
cma;223;false;false
cma;224;false;false
cma;225;false;false
cma;226;false;false
cma;227;false;false
cma;228;false;false
cma;229;false;false
cma;230;false;false
cma;231;false;false
cma;232;false;false
cma;233;false;false
cma;234;false;false
cma;235;false;false
cma;236;false;false
cma;237;false;false
cma;238;false;false
cma;239;false;false
cma;240;false;false
cma;241;false;false
cma;242;false;false
cma;243;false;false
cma;244;false;false
cma;245;false;false
cma;246;false;false
cma;247;false;false
cma;248;false;false
cma;249;false;false
cma;250;false;false
cma;251;false;false
cma;252;false;false
cma;253;false;false
cma;254;false;false
cma;255;false;false
cma;256;false;false
cma;257;false;false
cma;258;false;false
cma;259;false;false
cma;260;false;false
cma;261;false;false
cma;262;false;false
cma;263;false;false
cma;264;false;false
cma;265;false;false
cma;266;false;false
cma;267;false;false
cma;268;false;false
cma;269;false;false
cma;270;false;false
cma;271;false;false
cma;272;false;false
cma;273;false;false
cma;274;false;false
cma;275;false;false
cma;276;false;false
cma;277;false;false
cma;278;false;false
cma;279;false;false
cma;280;false;false
cma;281;false;false
cma;282;false;false
cma;283;false;false
cma;284;false;false
cma;285;false;false
cma;286;false;false
cma;287;false;false
cma;288;false;false
cma;289;false;false
cma;290;false;false
cma;291;false;false
cma;292;false;false
cma;293;false;false
cma;294;false;false
cma;295;false;false
cma;296;false;false
cma;297;false;false
cma;298;false;false
cma;299;false;false
cma;300;false;false
cma;301;false;false
cma;302;false;false
cma;303;false;false
cma;304;false;false
cma;305;false;false
cma;306;false;false
cma;307;false;false
cma;308;false;false
cma;309;false;false
cma;310;false;false
cma;311;false;false
cma;312;false;false
cma;313;false;false
cma;314;false;false
cma;315;false;false
cma;316;false;false
cma;317;false;false
cma;318;false;false
cma;319;false;false
cma;320;false;false
