set;number;no_foil;foil
cmb2;1;false;false
cmb2;2;false;false
cmb2;3;false;false
cmb2;4;false;false
cmb2;5;false;false
cmb2;6;false;false
cmb2;7;false;false
cmb2;8;false;false
cmb2;9;false;false
cmb2;10;false;false
cmb2;11;false;false
cmb2;12;false;false
cmb2;13;false;false
cmb2;14;false;false
cmb2;15;false;false
cmb2;16;false;false
cmb2;17;false;false
cmb2;18;false;false
cmb2;19;false;false
cmb2;20;false;false
cmb2;21;false;false
cmb2;22;false;false
cmb2;23;false;false
cmb2;24;false;false
cmb2;25;false;false
cmb2;26;false;false
cmb2;27;false;false
cmb2;28;false;false
cmb2;29;false;false
cmb2;30;false;false
cmb2;31;false;false
cmb2;32;false;false
cmb2;33;false;false
cmb2;34;false;false
cmb2;35;false;false
cmb2;36;false;false
cmb2;37;false;false
cmb2;38;false;false
cmb2;39;false;false
cmb2;40;false;false
cmb2;41;false;false
cmb2;42;false;false
cmb2;43;false;false
cmb2;44;false;false
cmb2;45;false;false
cmb2;46;false;false
cmb2;47;false;false
cmb2;48;false;false
cmb2;49;false;false
cmb2;50;false;false
cmb2;51;false;false
cmb2;52;false;false
cmb2;53;false;false
cmb2;54;false;false
cmb2;55;false;false
cmb2;56;false;false
cmb2;57;false;false
cmb2;58;false;false
cmb2;59;false;false
cmb2;60;false;false
cmb2;61;false;false
cmb2;62;false;false
cmb2;63;false;false
cmb2;64;false;false
cmb2;65;false;false
cmb2;66;false;false
cmb2;67;false;false
cmb2;68;false;false
cmb2;69;false;false
cmb2;70;false;false
cmb2;71;false;false
cmb2;72;false;false
cmb2;73;false;false
cmb2;74;false;false
cmb2;75;false;false
cmb2;76;false;false
cmb2;77;false;false
cmb2;78;false;false
cmb2;79;false;false
cmb2;80;false;false
cmb2;81;false;false
cmb2;82;false;false
cmb2;83;false;false
cmb2;84;false;false
cmb2;85;false;false
cmb2;86;false;false
cmb2;87;false;false
cmb2;88;false;false
cmb2;89;false;false
cmb2;90;false;false
cmb2;91;false;false
cmb2;92;false;false
cmb2;93;false;false
cmb2;94;false;false
cmb2;95;false;false
cmb2;96;false;false
cmb2;97;false;false
cmb2;98;false;false
cmb2;99;false;false
cmb2;100;false;false
cmb2;101;false;false
cmb2;102;false;false
cmb2;103;false;false
cmb2;104;false;false
cmb2;105;false;false
cmb2;106;false;false
cmb2;107;false;false
cmb2;108;false;false
cmb2;109;false;false
cmb2;110;false;false
cmb2;111;false;false
cmb2;112;false;false
cmb2;113;false;false
cmb2;114;false;false
cmb2;115;false;false
cmb2;116;false;false
cmb2;117;false;false
cmb2;118;false;false
cmb2;119;false;false
cmb2;120;false;false
cmb2;121;false;false
