set;number;no_foil;foil
cmd;1;false;false
cmd;2;false;false
cmd;3;false;false
cmd;4;false;false
cmd;5;false;false
cmd;6;false;false
cmd;7;false;false
cmd;8;false;false
cmd;9;false;false
cmd;10;false;false
cmd;11;false;false
cmd;12;false;false
cmd;13;false;false
cmd;14;false;false
cmd;15;false;false
cmd;16;false;false
cmd;17;false;false
cmd;18;false;false
cmd;19;false;false
cmd;20;false;false
cmd;21;false;false
cmd;22;false;false
cmd;23;false;false
cmd;24;false;false
cmd;25;false;false
cmd;26;false;false
cmd;27;false;false
cmd;28;false;false
cmd;29;false;false
cmd;30;false;false
cmd;31;false;false
cmd;32;false;false
cmd;33;false;false
cmd;34;false;false
cmd;35;false;false
cmd;36;false;false
cmd;37;false;false
cmd;38;false;false
cmd;39;false;false
cmd;40;false;false
cmd;41;false;false
cmd;42;false;false
cmd;43;false;false
cmd;44;false;false
cmd;45;false;false
cmd;46;false;false
cmd;47;false;false
cmd;48;false;false
cmd;49;false;false
cmd;50;false;false
cmd;51;false;false
cmd;52;false;false
cmd;53;false;false
cmd;54;false;false
cmd;55;false;false
cmd;56;false;false
cmd;57;false;false
cmd;58;false;false
cmd;59;false;false
cmd;60;false;false
cmd;61;false;false
cmd;62;false;false
cmd;63;false;false
cmd;64;false;false
cmd;65;false;false
cmd;66;false;false
cmd;67;false;false
cmd;68;false;false
cmd;69;false;false
cmd;70;false;false
cmd;71;false;false
cmd;72;false;false
cmd;73;false;false
cmd;74;false;false
cmd;75;false;false
cmd;76;false;false
cmd;77;false;false
cmd;78;false;false
cmd;79;false;false
cmd;80;false;false
cmd;81;false;false
cmd;82;false;false
cmd;83;false;false
cmd;84;false;false
cmd;85;false;false
cmd;86;false;false
cmd;87;false;false
cmd;88;false;false
cmd;89;false;false
cmd;90;false;false
cmd;91;false;false
cmd;92;false;false
cmd;93;false;false
cmd;94;false;false
cmd;95;false;false
cmd;96;false;false
cmd;97;false;false
cmd;98;false;false
cmd;99;false;false
cmd;100;false;false
cmd;101;false;false
cmd;102;false;false
cmd;103;false;false
cmd;104;false;false
cmd;105;false;false
cmd;106;false;false
cmd;107;false;false
cmd;108;false;false
cmd;109;false;false
cmd;110;false;false
cmd;111;false;false
cmd;112;false;false
cmd;113;false;false
cmd;114;false;false
cmd;115;false;false
cmd;116;false;false
cmd;117;false;false
cmd;118;false;false
cmd;119;false;false
cmd;120;false;false
cmd;121;false;false
cmd;122;false;false
cmd;123;false;false
cmd;124;false;false
cmd;125;false;false
cmd;126;false;false
cmd;127;false;false
cmd;128;false;false
cmd;129;false;false
cmd;130;false;false
cmd;131;false;false
cmd;132;false;false
cmd;133;false;false
cmd;134;false;false
cmd;135;false;false
cmd;136;false;false
cmd;137;false;false
cmd;138;false;false
cmd;139;false;false
cmd;140;false;false
cmd;141;false;false
cmd;142;false;false
cmd;143;false;false
cmd;144;false;false
cmd;145;false;false
cmd;146;false;false
cmd;147;false;false
cmd;148;false;false
cmd;149;false;false
cmd;150;false;false
cmd;151;false;false
cmd;152;false;false
cmd;153;false;false
cmd;154;false;false
cmd;155;false;false
cmd;156;false;false
cmd;157;false;false
cmd;158;false;false
cmd;159;false;false
cmd;160;false;false
cmd;161;false;false
cmd;162;false;false
cmd;163;false;false
cmd;164;false;false
cmd;165;false;false
cmd;166;false;false
cmd;167;false;false
cmd;168;false;false
cmd;169;false;false
cmd;170;false;false
cmd;171;false;false
cmd;172;false;false
cmd;173;false;false
cmd;174;false;false
cmd;175;false;false
cmd;176;false;false
cmd;177;false;false
cmd;178;false;false
cmd;179;false;false
cmd;180;false;false
cmd;181;false;false
cmd;182;false;false
cmd;183;false;false
cmd;184;false;false
cmd;185;false;false
cmd;186;false;false
cmd;187;false;false
cmd;188;false;false
cmd;189;false;false
cmd;190;false;false
cmd;191;false;false
