set;number;no_foil;foil
cmm;1;false;false
cmm;2;false;false
cmm;3;false;false
cmm;4;false;false
cmm;5;false;false
cmm;6;false;false
cmm;7;false;false
cmm;8;false;false
cmm;9;false;false
cmm;10;false;false
cmm;11;false;false
cmm;12;false;false
cmm;13;false;false
cmm;14;false;false
cmm;15;false;false
cmm;16;false;false
cmm;17;false;false
cmm;18;false;false
cmm;19;false;false
cmm;20;false;false
cmm;21;false;false
cmm;22;false;false
cmm;23;false;false
cmm;24;false;false
cmm;25;false;false
cmm;26;false;false
cmm;27;false;false
cmm;28;false;false
cmm;29;false;false
cmm;30;false;false
cmm;31;false;false
cmm;32;false;false
cmm;33;false;false
cmm;34;false;false
cmm;35;false;false
cmm;36;false;false
cmm;37;false;false
cmm;38;false;false
cmm;39;false;false
cmm;40;false;false
cmm;41;false;false
cmm;42;false;false
cmm;43;false;false
cmm;44;false;false
cmm;45;false;false
cmm;46;false;false
cmm;47;false;false
cmm;48;false;false
cmm;49;false;false
cmm;50;false;false
cmm;51;false;false
cmm;52;false;false
cmm;53;false;false
cmm;54;false;false
cmm;55;false;false
cmm;56;false;false
cmm;57;false;false
cmm;58;false;false
cmm;59;false;false
cmm;60;false;false
cmm;61;false;false
cmm;62;false;false
cmm;63;false;false
cmm;64;false;false
cmm;65;false;false
cmm;66;false;false
cmm;67;false;false
cmm;68;false;false
cmm;69;false;false
cmm;70;false;false
cmm;71;false;false
cmm;72;false;false
cmm;73;false;false
cmm;74;false;false
cmm;75;false;false
cmm;76;false;false
cmm;77;false;false
cmm;78;false;false
cmm;79;false;false
cmm;80;false;false
cmm;81;false;false
cmm;82;false;false
cmm;83;false;false
cmm;84;false;false
cmm;85;false;false
cmm;86;false;false
cmm;87;false;false
cmm;88;false;false
cmm;89;false;false
cmm;90;false;false
cmm;91;false;false
cmm;92;false;false
cmm;93;false;false
cmm;94;false;false
cmm;95;false;false
cmm;96;false;false
cmm;97;false;false
cmm;98;false;false
cmm;99;false;false
cmm;100;false;false
cmm;101;false;false
cmm;102;false;false
cmm;103;false;false
cmm;104;false;false
cmm;105;false;false
cmm;106;false;false
cmm;107;false;false
cmm;108;false;false
cmm;109;false;false
cmm;110;false;false
cmm;111;false;false
cmm;112;false;false
cmm;113;false;false
cmm;114;false;false
cmm;115;false;false
cmm;116;false;false
cmm;117;false;false
cmm;118;false;false
cmm;119;false;false
cmm;120;false;false
cmm;121;false;false
cmm;122;false;false
cmm;123;false;false
cmm;124;false;false
cmm;125;false;false
cmm;126;false;false
cmm;127;false;false
cmm;128;false;false
cmm;129;false;false
cmm;130;false;false
cmm;131;false;false
cmm;132;false;false
cmm;133;false;false
cmm;134;false;false
cmm;135;false;false
cmm;136;false;false
cmm;137;false;false
cmm;138;false;false
cmm;139;false;false
cmm;140;false;false
cmm;141;false;false
cmm;142;false;false
cmm;143;false;false
cmm;144;false;false
cmm;145;false;false
cmm;146;false;false
cmm;147;false;false
cmm;148;false;false
cmm;149;false;false
cmm;150;false;false
cmm;151;false;false
cmm;152;false;false
cmm;153;false;false
cmm;154;false;false
cmm;155;false;false
cmm;156;false;false
cmm;157;false;false
cmm;158;false;false
cmm;159;false;false
cmm;160;false;false
cmm;161;false;false
cmm;162;false;false
cmm;163;false;false
cmm;164;false;false
cmm;165;false;false
cmm;166;false;false
cmm;167;false;false
cmm;168;false;false
cmm;169;false;false
cmm;170;false;false
cmm;171;false;false
cmm;172;false;false
cmm;173;false;false
cmm;174;false;false
cmm;175;false;false
cmm;176;false;false
cmm;177;false;false
cmm;178;false;false
cmm;179;false;false
cmm;180;false;false
cmm;181;false;false
cmm;182;false;false
cmm;183;false;false
cmm;184;false;false
cmm;185;false;false
cmm;186;false;false
cmm;187;false;false
cmm;188;false;false
cmm;189;false;false
cmm;190;false;false
cmm;191;false;false
cmm;192;false;false
cmm;193;false;false
cmm;194;false;false
cmm;195;false;false
cmm;196;false;false
cmm;197;false;false
cmm;198;false;false
cmm;199;false;false
cmm;200;false;false
cmm;201;false;false
cmm;202;false;false
cmm;203;false;false
cmm;204;false;false
cmm;205;false;false
cmm;206;false;false
cmm;207;false;false
cmm;208;false;false
cmm;209;false;false
cmm;210;false;false
cmm;211;false;false
