set;number;no_foil;foil
cns;1;false;false
cns;2;false;false
cns;3;false;false
cns;4;false;false
cns;5;false;false
cns;6;false;false
cns;7;false;false
cns;8;false;false
cns;9;false;false
cns;10;false;false
cns;11;false;false
cns;12;false;false
cns;13;false;false
cns;14;false;false
cns;15;false;false
cns;16;false;false
cns;17;false;false
cns;18;false;false
cns;19;false;false
cns;20;false;false
cns;21;false;false
cns;22;false;false
cns;23;false;false
cns;24;false;false
cns;25;false;false
cns;26;false;false
cns;27;false;false
cns;28;false;false
cns;29;false;false
cns;30;false;false
cns;31;false;false
cns;32;false;false
cns;33;false;false
cns;34;false;false
cns;35;false;false
cns;36;false;false
cns;37;false;false
cns;38;false;false
cns;39;false;false
cns;40;false;false
cns;41;false;false
cns;42;false;false
cns;43;false;false
cns;44;false;false
cns;45;false;false
cns;46;false;false
cns;47;false;false
cns;48;false;false
cns;49;false;false
cns;50;false;false
cns;51;false;false
cns;52;false;false
cns;53;false;false
cns;54;false;false
cns;55;false;false
cns;56;false;false
cns;57;false;false
cns;58;false;false
cns;59;false;false
cns;60;false;false
cns;61;false;false
cns;62;false;false
cns;63;false;false
cns;64;false;false
cns;65;false;false
cns;66;false;false
cns;67;false;false
cns;68;false;false
cns;69;false;false
cns;70;false;false
cns;71;false;false
cns;72;false;false
cns;73;false;false
cns;74;false;false
cns;75;false;false
cns;76;false;false
cns;77;false;false
cns;78;false;false
cns;79;false;false
cns;80;false;false
cns;81;false;false
cns;82;false;false
cns;83;false;false
cns;84;false;false
cns;85;false;false
cns;86;false;false
cns;87;false;false
cns;88;false;false
cns;89;false;false
cns;90;false;false
cns;91;false;false
cns;92;false;false
cns;93;false;false
cns;94;false;false
cns;95;false;false
cns;96;false;false
cns;97;false;false
cns;98;false;false
cns;99;false;false
cns;100;false;false
cns;101;false;false
cns;102;false;false
cns;103;false;false
cns;104;false;false
cns;105;false;false
cns;106;false;false
cns;107;false;false
cns;108;false;false
cns;109;false;false
cns;110;false;false
cns;111;false;false
cns;112;false;false
cns;113;false;false
cns;114;false;false
cns;115;false;false
cns;116;false;false
cns;117;false;false
cns;118;false;false
cns;119;false;false
cns;120;false;false
cns;121;false;false
cns;122;false;false
cns;123;false;false
cns;124;false;false
cns;125;false;false
cns;126;false;false
cns;127;false;false
cns;128;false;false
cns;129;false;false
cns;130;false;false
cns;131;false;false
cns;132;false;false
cns;133;false;false
cns;134;false;false
cns;135;false;false
cns;136;false;false
cns;137;false;false
cns;138;false;false
cns;139;false;false
cns;140;false;false
cns;141;false;false
cns;142;false;false
cns;143;false;false
cns;144;false;false
cns;145;false;false
cns;146;false;false
cns;147;false;false
cns;148;false;false
cns;149;false;false
cns;150;false;false
cns;151;false;false
cns;152;false;false
cns;153;false;false
cns;154;false;false
cns;155;false;false
cns;156;false;false
cns;157;false;false
cns;158;false;false
cns;159;false;false
cns;160;false;false
cns;161;false;false
cns;162;false;false
cns;163;false;false
cns;164;false;false
cns;165;false;false
cns;166;false;false
cns;167;false;false
cns;168;false;false
cns;169;false;false
cns;170;false;false
cns;171;false;false
cns;172;false;false
cns;173;false;false
cns;174;false;false
cns;175;false;false
cns;176;false;false
cns;177;false;false
cns;178;false;false
cns;179;false;false
cns;180;false;false
cns;181;false;false
cns;182;false;false
cns;183;false;false
cns;184;false;false
cns;185;false;false
cns;186;false;false
cns;187;false;false
cns;188;false;false
cns;189;false;false
cns;190;false;false
cns;191;false;false
cns;192;false;false
cns;193;false;false
cns;194;false;false
cns;195;false;false
cns;196;false;false
cns;197;false;false
cns;198;false;false
cns;199;false;false
cns;200;false;false
cns;201;false;false
cns;202;false;false
cns;203;false;false
cns;204;false;false
cns;205;false;false
cns;206;false;false
cns;207;false;false
cns;208;false;false
cns;209;false;false
cns;210;false;false
