set;number;no_foil;foil
con;1;false;false
con;2;false;false
con;3;false;false
con;4;false;false
con;5;false;false
con;6;false;false
con;7;false;false
con;8;false;false
con;9;false;false
con;10;false;false
con;11;false;false
con;12;false;false
con;13;false;false
con;14;false;false
con;15;false;false
con;16;false;false
con;17;false;false
con;18;false;false
con;19;false;false
con;20;false;false
con;21;false;false
con;22;false;false
con;23;false;false
con;24;false;false
con;25;false;false
con;26;false;false
con;27;false;false
con;28;false;false
con;29;false;false
con;30;false;false
con;31;false;false
con;32;false;false
con;33;false;false
con;34;false;false
con;35;false;false
con;36;false;false
con;37;false;false
con;38;false;false
con;39;false;false
con;40;false;false
con;41;false;false
con;42;false;false
con;43;false;false
con;44;false;false
con;45;false;false
con;46;false;false
con;47;false;false
con;48;false;false
con;49;false;false
con;50;false;false
con;51;false;false
con;52;false;false
con;53;false;false
con;54;false;false
con;55;false;false
con;56;false;false
con;57;false;false
con;58;false;false
con;59;false;false
con;60;false;false
con;61;false;false
con;62;false;false
con;63;false;false
con;64;false;false
con;65;false;false
con;66;false;false
con;67;false;false
con;68;false;false
con;69;false;false
con;70;false;false
con;71;false;false
con;72;false;false
con;73;false;false
con;74;false;false
con;75;false;false
con;76;false;false
con;77;false;false
con;78;false;false
con;79;false;false
con;80;false;false
con;81;false;false
con;82;false;false
con;83;false;false
con;84;false;false
con;85;false;false
con;86;false;false
con;87;false;false
con;88;false;false
con;89;false;false
con;90;false;false
con;91;false;false
con;92;false;false
con;93;false;false
con;94;false;false
con;95;false;false
con;96;false;false
con;97;false;false
con;98;false;false
con;99;false;false
con;100;false;false
con;101;false;false
con;102;false;false
con;103;false;false
con;104;false;false
con;105;false;false
con;106;false;false
con;107;false;false
con;108;false;false
con;109;false;false
con;110;false;false
con;111;false;false
con;112;false;false
con;113;false;false
con;114;false;false
con;115;false;false
con;116;false;false
con;117;false;false
con;118;false;false
con;119;false;false
con;120;false;false
con;121;false;false
con;122;false;false
con;123;false;false
con;124;false;false
con;125;false;false
con;126;false;false
con;127;false;false
con;128;false;false
con;129;false;false
con;130;false;false
con;131;false;false
con;132;false;false
con;133;false;false
con;134;false;false
con;135;false;false
con;136;false;false
con;137;false;false
con;138;false;false
con;139;false;false
con;140;false;false
con;141;false;false
con;142;false;false
con;143;false;false
con;144;false;false
con;145;false;false
