set;number;no_foil;foil
csp;1;false;false
csp;2;false;false
csp;3;false;false
csp;4;false;false
csp;5;false;false
csp;6;false;false
csp;7;false;false
csp;8;false;false
csp;9;false;false
csp;10;false;false
csp;11;false;false
csp;12;false;false
csp;13;false;false
csp;14;false;false
csp;15;false;false
csp;16;false;false
csp;17;false;false
csp;18;false;false
csp;19;false;false
csp;20;false;false
csp;21;false;false
csp;22;false;false
csp;23;false;false
csp;24;false;false
csp;25;false;false
csp;26;false;false
csp;27;false;false
csp;28;false;false
csp;29;false;false
csp;30;false;false
csp;31;false;false
csp;32;false;false
csp;33;false;false
csp;34;false;false
csp;35;false;false
csp;36;false;false
csp;37;false;false
csp;38;false;false
csp;39;false;false
csp;40;false;false
csp;41;false;false
csp;42;false;false
csp;43;false;false
csp;44;false;false
csp;45;false;false
csp;46;false;false
csp;47;false;false
csp;48;false;false
csp;49;false;false
csp;50;false;false
csp;51;false;false
csp;52;false;false
csp;53;false;false
csp;54;false;false
csp;55;false;false
csp;56;false;false
csp;57;false;false
csp;58;false;false
csp;59;false;false
csp;60;false;false
csp;61;false;false
csp;62;false;false
csp;63;false;false
csp;64;false;false
csp;65;false;false
csp;66;false;false
csp;67;false;false
csp;68;false;false
csp;69;false;false
csp;70;false;false
csp;71;false;false
csp;72;false;false
csp;73;false;false
csp;74;false;false
csp;75;false;false
csp;76;false;false
csp;77;false;false
csp;78;false;false
csp;79;false;false
csp;80;false;false
csp;81;false;false
csp;82;false;false
csp;83;false;false
csp;84;false;false
csp;85;false;false
csp;86;false;false
csp;87;false;false
csp;88;false;false
csp;89;false;false
csp;90;false;false
csp;91;false;false
csp;92;false;false
csp;93;false;false
csp;94;false;false
csp;95;false;false
csp;96;false;false
csp;97;false;false
csp;98;false;false
csp;99;false;false
csp;100;false;false
csp;101;false;false
csp;102;false;false
csp;103;false;false
csp;104;false;false
csp;105;false;false
csp;106;false;false
csp;107;false;false
csp;108;false;false
csp;109;false;false
csp;110;false;false
csp;111;false;false
csp;112;false;false
csp;113;false;false
csp;114;false;false
csp;115;false;false
csp;116;false;false
csp;117;false;false
csp;118;false;false
csp;119;false;false
csp;120;false;false
csp;121;false;false
csp;122;false;false
csp;123;false;false
csp;124;false;false
csp;125;false;false
csp;126;false;false
csp;127;false;false
csp;128;false;false
csp;129;false;false
csp;130;false;false
csp;131;false;false
csp;132;false;false
csp;133;false;false
csp;134;false;false
csp;135;false;false
csp;136;false;false
csp;137;false;false
csp;138;false;false
csp;139;false;false
csp;140;false;false
csp;141;false;false
csp;142;false;false
csp;143;false;false
csp;144;false;false
csp;145;false;false
csp;146;false;false
csp;147;false;false
csp;148;false;false
csp;149;false;false
csp;150;false;false
csp;151;false;false
csp;152;false;false
csp;153;false;false
csp;154;false;false
csp;155;false;false
