set;number;no_foil;foil
cst;8;false;false
cst;12b;false;false
cst;9b;false;false
cst;16;false;false
cst;20;false;false
cst;25;false;false
cst;30b;false;false
cst;34;false;false
cst;37;false;false
cst;42;false;false
cst;43;false;false
cst;44b;false;false
cst;51a;false;false
cst;54;false;false
cst;57a;false;false
cst;60;false;false
cst;61;false;false
cst;69;false;false
cst;70;false;false
cst;72a;false;false
cst;73;false;false
cst;84;false;false
cst;85;false;false
cst;86a;false;false
cst;90;false;false
cst;100;false;false
cst;112;false;false
cst;114;false;false
cst;119;false;false
cst;120;false;false
cst;123;false;false
cst;127;false;false
cst;137;false;false
cst;142;false;false
cst;161;false;false
cst;194;false;false
cst;208;false;false
cst;210;false;false
cst;225;false;false
cst;270;false;false
cst;278;false;false
cst;293;false;false
cst;305;false;false
cst;310;false;false
cst;312;false;false
cst;336;false;false
cst;349;false;false
cst;369;false;false
cst;370;false;false
cst;371;false;false
cst;372;false;false
cst;373;false;false
cst;374;false;false
cst;375;false;false
cst;376;false;false
cst;377;false;false
cst;378;false;false
cst;379;false;false
cst;380;false;false
cst;381;false;false
cst;382;false;false
cst;383;false;false
