set;number;no_foil;foil
dbl;1;false;false
dbl;2;false;false
dbl;3;false;false
dbl;4;false;false
dbl;5;false;false
dbl;6;false;false
dbl;7;false;false
dbl;8;false;false
dbl;9;false;false
dbl;10;false;false
dbl;11;false;false
dbl;12;false;false
dbl;13;false;false
dbl;14;false;false
dbl;15;false;false
dbl;16;false;false
dbl;17;false;false
dbl;18;false;false
dbl;19;false;false
dbl;20;false;false
dbl;21;false;false
dbl;22;false;false
dbl;23;false;false
dbl;24;false;false
dbl;25;false;false
dbl;26;false;false
dbl;27;false;false
dbl;28;false;false
dbl;29;false;false
dbl;30;false;false
dbl;31;false;false
dbl;32;false;false
dbl;33;false;false
dbl;34;false;false
dbl;35;false;false
dbl;36;false;false
dbl;37;false;false
dbl;38;false;false
dbl;39;false;false
dbl;40;false;false
dbl;41;false;false
dbl;42;false;false
dbl;43;false;false
dbl;44;false;false
dbl;45;false;false
dbl;46;false;false
dbl;47;false;false
dbl;48;false;false
dbl;49;false;false
dbl;50;false;false
dbl;51;false;false
dbl;52;false;false
dbl;53;false;false
dbl;54;false;false
dbl;55;false;false
dbl;56;false;false
dbl;57;false;false
dbl;58;false;false
dbl;59;false;false
dbl;60;false;false
dbl;61;false;false
dbl;62;false;false
dbl;63;false;false
dbl;64;false;false
dbl;65;false;false
dbl;66;false;false
dbl;67;false;false
dbl;68;false;false
dbl;69;false;false
dbl;70;false;false
dbl;71;false;false
dbl;72;false;false
dbl;73;false;false
dbl;74;false;false
dbl;75;false;false
dbl;76;false;false
dbl;77;false;false
dbl;78;false;false
dbl;79;false;false
dbl;80;false;false
dbl;81;false;false
dbl;82;false;false
dbl;83;false;false
dbl;84;false;false
dbl;85;false;false
dbl;86;false;false
dbl;87;false;false
dbl;88;false;false
dbl;89;false;false
dbl;90;false;false
dbl;91;false;false
dbl;92;false;false
dbl;93;false;false
dbl;94;false;false
dbl;95;false;false
dbl;96;false;false
dbl;97;false;false
dbl;98;false;false
dbl;99;false;false
dbl;100;false;false
dbl;101;false;false
dbl;102;false;false
dbl;103;false;false
dbl;104;false;false
dbl;105;false;false
dbl;106;false;false
dbl;107;false;false
dbl;108;false;false
dbl;109;false;false
dbl;110;false;false
dbl;111;false;false
dbl;112;false;false
dbl;113;false;false
dbl;114;false;false
dbl;115;false;false
dbl;116;false;false
dbl;117;false;false
dbl;118;false;false
dbl;119;false;false
dbl;120;false;false
dbl;121;false;false
dbl;122;false;false
dbl;123;false;false
dbl;124;false;false
dbl;125;false;false
dbl;126;false;false
dbl;127;false;false
dbl;128;false;false
dbl;129;false;false
dbl;130;false;false
dbl;131;false;false
dbl;132;false;false
dbl;133;false;false
dbl;134;false;false
dbl;135;false;false
dbl;136;false;false
dbl;137;false;false
dbl;138;false;false
dbl;139;false;false
dbl;140;false;false
dbl;141;false;false
dbl;142;false;false
dbl;143;false;false
dbl;144;false;false
dbl;145;false;false
dbl;146;false;false
dbl;147;false;false
dbl;148;false;false
dbl;149;false;false
dbl;150;false;false
dbl;151;false;false
dbl;152;false;false
dbl;153;false;false
dbl;154;false;false
dbl;155;false;false
dbl;156;false;false
dbl;157;false;false
dbl;158;false;false
dbl;159;false;false
dbl;160;false;false
dbl;161;false;false
dbl;162;false;false
dbl;163;false;false
dbl;164;false;false
dbl;165;false;false
dbl;166;false;false
dbl;167;false;false
dbl;168;false;false
dbl;169;false;false
dbl;170;false;false
dbl;171;false;false
dbl;172;false;false
dbl;173;false;false
dbl;174;false;false
dbl;175;false;false
dbl;176;false;false
dbl;177;false;false
dbl;178;false;false
dbl;179;false;false
dbl;180;false;false
dbl;181;false;false
dbl;182;false;false
dbl;183;false;false
dbl;184;false;false
dbl;185;false;false
dbl;186;false;false
dbl;187;false;false
dbl;188;false;false
dbl;189;false;false
dbl;190;false;false
dbl;191;false;false
dbl;192;false;false
dbl;193;false;false
dbl;194;false;false
dbl;195;false;false
dbl;196;false;false
dbl;197;false;false
dbl;198;false;false
dbl;199;false;false
dbl;200;false;false
dbl;201;false;false
dbl;202;false;false
dbl;203;false;false
dbl;204;false;false
dbl;205;false;false
dbl;206;false;false
dbl;207;false;false
dbl;208;false;false
dbl;209;false;false
dbl;210;false;false
dbl;211;false;false
dbl;212;false;false
dbl;213;false;false
dbl;214;false;false
dbl;215;false;false
dbl;216;false;false
dbl;217;false;false
dbl;218;false;false
dbl;219;false;false
dbl;220;false;false
dbl;221;false;false
dbl;222;false;false
dbl;223;false;false
dbl;224;false;false
dbl;225;false;false
dbl;226;false;false
dbl;227;false;false
dbl;228;false;false
dbl;229;false;false
dbl;230;false;false
dbl;231;false;false
dbl;232;false;false
dbl;233;false;false
dbl;234;false;false
dbl;235;false;false
dbl;236;false;false
dbl;237;false;false
dbl;238;false;false
dbl;239;false;false
dbl;240;false;false
dbl;241;false;false
dbl;242;false;false
dbl;243;false;false
dbl;244;false;false
dbl;245;false;false
dbl;246;false;false
dbl;247;false;false
dbl;248;false;false
dbl;249;false;false
dbl;250;false;false
dbl;251;false;false
dbl;252;false;false
dbl;253;false;false
dbl;254;false;false
dbl;255;false;false
dbl;256;false;false
dbl;257;false;false
dbl;258;false;false
dbl;259;false;false
dbl;260;false;false
dbl;261;false;false
dbl;262;false;false
dbl;263;false;false
dbl;264;false;false
dbl;265;false;false
dbl;266;false;false
dbl;267;false;false
dbl;268;false;false
dbl;269;false;false
dbl;270;false;false
dbl;271;false;false
dbl;272;false;false
dbl;273;false;false
dbl;274;false;false
dbl;275;false;false
dbl;276;false;false
dbl;277;false;false
dbl;278;false;false
dbl;279;false;false
dbl;280;false;false
dbl;281;false;false
dbl;282;false;false
dbl;283;false;false
dbl;284;false;false
dbl;285;false;false
dbl;286;false;false
dbl;287;false;false
dbl;288;false;false
dbl;289;false;false
dbl;290;false;false
dbl;291;false;false
dbl;292;false;false
dbl;293;false;false
dbl;294;false;false
dbl;295;false;false
dbl;296;false;false
dbl;297;false;false
dbl;298;false;false
dbl;299;false;false
dbl;300;false;false
dbl;301;false;false
dbl;302;false;false
dbl;303;false;false
dbl;304;false;false
dbl;305;false;false
dbl;306;false;false
dbl;307;false;false
dbl;308;false;false
dbl;309;false;false
dbl;310;false;false
dbl;311;false;false
dbl;312;false;false
dbl;313;false;false
dbl;314;false;false
dbl;315;false;false
dbl;316;false;false
dbl;317;false;false
dbl;318;false;false
dbl;319;false;false
dbl;320;false;false
dbl;321;false;false
dbl;322;false;false
dbl;323;false;false
dbl;324;false;false
dbl;325;false;false
dbl;326;false;false
dbl;327;false;false
dbl;328;false;false
dbl;329;false;false
dbl;330;false;false
dbl;331;false;false
dbl;332;false;false
dbl;333;false;false
dbl;334;false;false
dbl;335;false;false
dbl;336;false;false
dbl;337;false;false
dbl;338;false;false
dbl;339;false;false
dbl;340;false;false
dbl;341;false;false
dbl;342;false;false
dbl;343;false;false
dbl;344;false;false
dbl;345;false;false
dbl;346;false;false
dbl;347;false;false
dbl;348;false;false
dbl;349;false;false
dbl;350;false;false
dbl;351;false;false
dbl;352;false;false
dbl;353;false;false
dbl;354;false;false
dbl;355;false;false
dbl;356;false;false
dbl;357;false;false
dbl;358;false;false
dbl;359;false;false
dbl;360;false;false
dbl;361;false;false
dbl;362;false;false
dbl;363;false;false
dbl;364;false;false
dbl;365;false;false
dbl;366;false;false
dbl;367;false;false
dbl;368;false;false
dbl;369;false;false
dbl;370;false;false
dbl;371;false;false
dbl;372;false;false
dbl;373;false;false
dbl;374;false;false
dbl;375;false;false
dbl;376;false;false
dbl;377;false;false
dbl;378;false;false
dbl;379;false;false
dbl;380;false;false
dbl;381;false;false
dbl;382;false;false
dbl;383;false;false
dbl;384;false;false
dbl;385;false;false
dbl;386;false;false
dbl;387;false;false
dbl;388;false;false
dbl;389;false;false
dbl;390;false;false
dbl;391;false;false
dbl;392;false;false
dbl;393;false;false
dbl;394;false;false
dbl;395;false;false
dbl;396;false;false
dbl;397;false;false
dbl;398;false;false
dbl;399;false;false
dbl;400;false;false
dbl;401;false;false
dbl;402;false;false
dbl;403;false;false
dbl;404;false;false
dbl;405;false;false
dbl;406;false;false
dbl;407;false;false
dbl;408;false;false
dbl;409;false;false
dbl;410;false;false
dbl;411;false;false
dbl;412;false;false
dbl;413;false;false
dbl;414;false;false
dbl;415;false;false
dbl;416;false;false
dbl;417;false;false
dbl;418;false;false
dbl;419;false;false
dbl;420;false;false
dbl;421;false;false
dbl;422;false;false
dbl;423;false;false
dbl;424;false;false
dbl;425;false;false
dbl;426;false;false
dbl;427;false;false
dbl;428;false;false
dbl;429;false;false
dbl;430;false;false
dbl;431;false;false
dbl;432;false;false
dbl;433;false;false
dbl;434;false;false
dbl;435;false;false
dbl;436;false;false
dbl;437;false;false
dbl;438;false;false
dbl;439;false;false
dbl;440;false;false
dbl;441;false;false
dbl;442;false;false
dbl;443;false;false
dbl;444;false;false
dbl;445;false;false
dbl;446;false;false
dbl;447;false;false
dbl;448;false;false
dbl;449;false;false
dbl;450;false;false
dbl;451;false;false
dbl;452;false;false
dbl;453;false;false
dbl;454;false;false
dbl;455;false;false
dbl;456;false;false
dbl;457;false;false
dbl;458;false;false
dbl;459;false;false
dbl;460;false;false
dbl;461;false;false
dbl;462;false;false
dbl;463;false;false
dbl;464;false;false
dbl;465;false;false
dbl;466;false;false
dbl;467;false;false
dbl;468;false;false
dbl;469;false;false
dbl;470;false;false
dbl;471;false;false
dbl;472;false;false
dbl;473;false;false
dbl;474;false;false
dbl;475;false;false
dbl;476;false;false
dbl;477;false;false
dbl;478;false;false
dbl;479;false;false
dbl;480;false;false
dbl;481;false;false
dbl;482;false;false
dbl;483;false;false
dbl;484;false;false
dbl;485;false;false
dbl;486;false;false
dbl;487;false;false
dbl;488;false;false
dbl;489;false;false
dbl;490;false;false
dbl;491;false;false
dbl;492;false;false
dbl;493;false;false
dbl;494;false;false
dbl;495;false;false
dbl;496;false;false
dbl;497;false;false
dbl;498;false;false
dbl;499;false;false
dbl;500;false;false
dbl;501;false;false
dbl;502;false;false
dbl;503;false;false
dbl;504;false;false
dbl;505;false;false
dbl;506;false;false
dbl;507;false;false
dbl;508;false;false
dbl;509;false;false
dbl;510;false;false
dbl;511;false;false
dbl;512;false;false
dbl;513;false;false
dbl;514;false;false
dbl;515;false;false
dbl;516;false;false
dbl;517;false;false
dbl;518;false;false
dbl;519;false;false
dbl;520;false;false
dbl;521;false;false
dbl;522;false;false
dbl;523;false;false
dbl;524;false;false
dbl;525;false;false
dbl;526;false;false
dbl;527;false;false
dbl;528;false;false
dbl;529;false;false
dbl;530;false;false
dbl;531;false;false
dbl;532;false;false
dbl;533;false;false
dbl;534;false;false
dbl;535;false;false
