set;number;no_foil;foil
dci;1;false;false
dci;2;false;false
dci;3;false;false
dci;4;false;false
dci;5;false;false
dci;6;false;false
dci;7;false;false
dci;8;false;false
dci;9;false;false
dci;10;false;false
dci;11;false;false
dci;12;false;false
dci;13;false;false
dci;14;false;false
dci;15;false;false
dci;16;false;false
dci;17;false;false
dci;18;false;false
dci;19;false;false
dci;20;false;false
dci;21;false;false
dci;22;false;false
dci;24;false;false
dci;25;false;false
dci;26;false;false
dci;27;false;false
dci;28;false;false
dci;29;false;false
dci;30;false;false
dci;31;false;false
dci;32;false;false
dci;33;false;false
dci;34;false;false
dci;35;false;false
dci;36;false;false
dci;37;false;false
dci;38;false;false
dci;39;false;false
dci;40;false;false
dci;41;false;false
dci;42;false;false
dci;43;false;false
dci;44;false;false
dci;45;false;false
dci;46;false;false
dci;47;false;false
dci;48;false;false
dci;49;false;false
dci;50;false;false
dci;51;false;false
dci;52;false;false
dci;53;false;false
dci;54;false;false
dci;55;false;false
dci;56;false;false
dci;57;false;false
dci;58;false;false
dci;59;false;false
dci;60;false;false
dci;61;false;false
dci;62;false;false
dci;63;false;false
dci;64;false;false
dci;65;false;false
dci;66;false;false
dci;67;false;false
dci;68;false;false
dci;69;false;false
dci;70;false;false
dci;71;false;false
dci;72;false;false
dci;73;false;false
dci;74;false;false
dci;75;false;false
dci;76;false;false
dci;77;false;false
dci;78;false;false
dci;79;false;false
dci;80;false;false
