set;number;no_foil;foil
ddc;1;false;false
ddc;2;false;false
ddc;3;false;false
ddc;4;false;false
ddc;5;false;false
ddc;6;false;false
ddc;7;false;false
ddc;8;false;false
ddc;9;false;false
ddc;10;false;false
ddc;11;false;false
ddc;12;false;false
ddc;13;false;false
ddc;14;false;false
ddc;15;false;false
ddc;16;false;false
ddc;17;false;false
ddc;18;false;false
ddc;19;false;false
ddc;20;false;false
ddc;21;false;false
ddc;22;false;false
ddc;23;false;false
ddc;24;false;false
ddc;25;false;false
ddc;26;false;false
ddc;27;false;false
ddc;28;false;false
ddc;29;false;false
ddc;30;false;false
ddc;31;false;false
ddc;32;false;false
ddc;33;false;false
ddc;34;false;false
ddc;35;false;false
ddc;36;false;false
ddc;37;false;false
ddc;38;false;false
ddc;39;false;false
ddc;40;false;false
ddc;41;false;false
ddc;42;false;false
ddc;43;false;false
ddc;44;false;false
ddc;45;false;false
ddc;46;false;false
ddc;47;false;false
ddc;48;false;false
ddc;49;false;false
ddc;50;false;false
ddc;51;false;false
ddc;52;false;false
ddc;53;false;false
ddc;54;false;false
ddc;55;false;false
ddc;56;false;false
ddc;57;false;false
ddc;58;false;false
ddc;59;false;false
ddc;60;false;false
ddc;61;false;false
ddc;62;false;false
