set;number;no_foil;foil
ddd;1;false;false
ddd;2;false;false
ddd;3;false;false
ddd;4;false;false
ddd;5;false;false
ddd;6;false;false
ddd;7;false;false
ddd;8;false;false
ddd;9;false;false
ddd;10;false;false
ddd;11;false;false
ddd;12;false;false
ddd;13;false;false
ddd;14;false;false
ddd;15;false;false
ddd;16;false;false
ddd;17;false;false
ddd;18;false;false
ddd;19;false;false
ddd;20;false;false
ddd;21;false;false
ddd;22;false;false
ddd;23;false;false
ddd;24;false;false
ddd;25;false;false
ddd;26;false;false
ddd;27;false;false
ddd;28;false;false
ddd;29;false;false
ddd;30;false;false
ddd;31;false;false
ddd;32;false;false
ddd;33;false;false
ddd;34;false;false
ddd;35;false;false
ddd;36;false;false
ddd;37;false;false
ddd;38;false;false
ddd;39;false;false
ddd;40;false;false
ddd;41;false;false
ddd;42;false;false
ddd;43;false;false
ddd;44;false;false
ddd;45;false;false
ddd;46;false;false
ddd;47;false;false
ddd;48;false;false
ddd;49;false;false
ddd;50;false;false
ddd;51;false;false
ddd;52;false;false
ddd;53;false;false
ddd;54;false;false
ddd;55;false;false
ddd;56;false;false
ddd;57;false;false
ddd;58;false;false
ddd;59;false;false
ddd;60;false;false
ddd;61;false;false
ddd;62;false;false
ddd;63;false;false
