set;number;no_foil;foil
dde;1;false;false
dde;2;false;false
dde;3;false;false
dde;4;false;false
dde;5;false;false
dde;6;false;false
dde;7;false;false
dde;8;false;false
dde;9;false;false
dde;10;false;false
dde;11;false;false
dde;12;false;false
dde;13;false;false
dde;14;false;false
dde;15;false;false
dde;16;false;false
dde;17;false;false
dde;18;false;false
dde;19;false;false
dde;20;false;false
dde;21;false;false
dde;22;false;false
dde;23;false;false
dde;24;false;false
dde;25;false;false
dde;26;false;false
dde;27;false;false
dde;28;false;false
dde;29;false;false
dde;30;false;false
dde;31;false;false
dde;32;false;false
dde;33;false;false
dde;34;false;false
dde;35;false;false
dde;36;false;false
dde;37;false;false
dde;38;false;false
dde;39;false;false
dde;40;false;false
dde;41;false;false
dde;42;false;false
dde;43;false;false
dde;44;false;false
dde;45;false;false
dde;46;false;false
dde;47;false;false
dde;48;false;false
dde;49;false;false
dde;50;false;false
dde;51;false;false
dde;52;false;false
dde;53;false;false
dde;54;false;false
dde;55;false;false
dde;56;false;false
dde;57;false;false
dde;58;false;false
dde;59;false;false
dde;60;false;false
dde;61;false;false
dde;62;false;false
dde;63;false;false
dde;64;false;false
dde;65;false;false
dde;66;false;false
dde;67;false;false
dde;68;false;false
dde;69;false;false
dde;70;false;false
dde;71;false;false
