set;number;no_foil;foil
ddf;1;false;false
ddf;2;false;false
ddf;3;false;false
ddf;4;false;false
ddf;5;false;false
ddf;6;false;false
ddf;7;false;false
ddf;8;false;false
ddf;9;false;false
ddf;10;false;false
ddf;11;false;false
ddf;12;false;false
ddf;13;false;false
ddf;14;false;false
ddf;15;false;false
ddf;16;false;false
ddf;17;false;false
ddf;18;false;false
ddf;19;false;false
ddf;20;false;false
ddf;21;false;false
ddf;22;false;false
ddf;23;false;false
ddf;24;false;false
ddf;25;false;false
ddf;26;false;false
ddf;27;false;false
ddf;28;false;false
ddf;29;false;false
ddf;30;false;false
ddf;31;false;false
ddf;32;false;false
ddf;33;false;false
ddf;34;false;false
ddf;35;false;false
ddf;36;false;false
ddf;37;false;false
ddf;38;false;false
ddf;39;false;false
ddf;40;false;false
ddf;41;false;false
ddf;42;false;false
ddf;43;false;false
ddf;44;false;false
ddf;45;false;false
ddf;46;false;false
ddf;47;false;false
ddf;48;false;false
ddf;49;false;false
ddf;50;false;false
ddf;51;false;false
ddf;52;false;false
ddf;53;false;false
ddf;54;false;false
ddf;55;false;false
ddf;56;false;false
ddf;57;false;false
ddf;58;false;false
ddf;59;false;false
ddf;60;false;false
ddf;61;false;false
ddf;62;false;false
ddf;63;false;false
ddf;64;false;false
ddf;65;false;false
ddf;66;false;false
ddf;67;false;false
ddf;68;false;false
ddf;69;false;false
ddf;70;false;false
ddf;71;false;false
ddf;72;false;false
ddf;73;false;false
ddf;74;false;false
ddf;75;false;false
ddf;76;false;false
ddf;77;false;false
ddf;78;false;false
ddf;79;false;false
