set;number;no_foil;foil
ddg;1;false;false
ddg;2;false;false
ddg;3;false;false
ddg;4;false;false
ddg;5;false;false
ddg;6;false;false
ddg;7;false;false
ddg;8;false;false
ddg;9;false;false
ddg;10;false;false
ddg;11;false;false
ddg;12;false;false
ddg;13;false;false
ddg;14;false;false
ddg;15;false;false
ddg;16;false;false
ddg;17;false;false
ddg;18;false;false
ddg;19;false;false
ddg;20;false;false
ddg;21;false;false
ddg;22;false;false
ddg;23;false;false
ddg;24;false;false
ddg;25;false;false
ddg;26;false;false
ddg;27;false;false
ddg;28;false;false
ddg;29;false;false
ddg;30;false;false
ddg;31;false;false
ddg;32;false;false
ddg;33;false;false
ddg;34;false;false
ddg;35;false;false
ddg;36;false;false
ddg;37;false;false
ddg;38;false;false
ddg;39;false;false
ddg;40;false;false
ddg;41;false;false
ddg;42;false;false
ddg;43;false;false
ddg;44;false;false
ddg;45;false;false
ddg;46;false;false
ddg;47;false;false
ddg;48;false;false
ddg;49;false;false
ddg;50;false;false
ddg;51;false;false
ddg;52;false;false
ddg;53;false;false
ddg;54;false;false
ddg;55;false;false
ddg;56;false;false
ddg;57;false;false
ddg;58;false;false
ddg;59;false;false
ddg;60;false;false
ddg;61;false;false
ddg;62;false;false
ddg;63;false;false
ddg;64;false;false
ddg;65;false;false
ddg;66;false;false
ddg;67;false;false
ddg;68;false;false
ddg;69;false;false
ddg;70;false;false
ddg;71;false;false
ddg;72;false;false
ddg;73;false;false
ddg;74;false;false
ddg;75;false;false
ddg;76;false;false
ddg;77;false;false
ddg;78;false;false
ddg;79;false;false
ddg;80;false;false
ddg;81;false;false
