set;number;no_foil;foil
ddh;1;false;false
ddh;2;false;false
ddh;3;false;false
ddh;4;false;false
ddh;5;false;false
ddh;6;false;false
ddh;7;false;false
ddh;8;false;false
ddh;9;false;false
ddh;10;false;false
ddh;11;false;false
ddh;12;false;false
ddh;13;false;false
ddh;14;false;false
ddh;15;false;false
ddh;16;false;false
ddh;17;false;false
ddh;18;false;false
ddh;19;false;false
ddh;20;false;false
ddh;21;false;false
ddh;22;false;false
ddh;23;false;false
ddh;24;false;false
ddh;25;false;false
ddh;26;false;false
ddh;27;false;false
ddh;28;false;false
ddh;29;false;false
ddh;30;false;false
ddh;31;false;false
ddh;32;false;false
ddh;33;false;false
ddh;34;false;false
ddh;35;false;false
ddh;36;false;false
ddh;37;false;false
ddh;38;false;false
ddh;39;false;false
ddh;40;false;false
ddh;41;false;false
ddh;42;false;false
ddh;43;false;false
ddh;44;false;false
ddh;45;false;false
ddh;46;false;false
ddh;47;false;false
ddh;48;false;false
ddh;49;false;false
ddh;50;false;false
ddh;51;false;false
ddh;52;false;false
ddh;53;false;false
ddh;54;false;false
ddh;55;false;false
ddh;56;false;false
ddh;57;false;false
ddh;58;false;false
ddh;59;false;false
ddh;60;false;false
ddh;61;false;false
ddh;62;false;false
ddh;63;false;false
ddh;64;false;false
ddh;65;false;false
ddh;66;false;false
ddh;67;false;false
ddh;68;false;false
ddh;69;false;false
ddh;70;false;false
ddh;71;false;false
ddh;72;false;false
ddh;73;false;false
ddh;74;false;false
ddh;75;false;false
ddh;76;false;false
ddh;77;false;false
ddh;78;false;false
ddh;79;false;false
ddh;80;false;false
