set;number;no_foil;foil
ddi;1;false;false
ddi;2;false;false
ddi;3;false;false
ddi;4;false;false
ddi;5;false;false
ddi;6;false;false
ddi;7;false;false
ddi;8;false;false
ddi;9;false;false
ddi;10;false;false
ddi;11;false;false
ddi;12;false;false
ddi;13;false;false
ddi;14;false;false
ddi;15;false;false
ddi;16;false;false
ddi;17;false;false
ddi;18;false;false
ddi;19;false;false
ddi;20;false;false
ddi;21;false;false
ddi;22;false;false
ddi;23;false;false
ddi;24;false;false
ddi;25;false;false
ddi;26;false;false
ddi;27;false;false
ddi;28;false;false
ddi;29;false;false
ddi;30;false;false
ddi;31;false;false
ddi;32;false;false
ddi;33;false;false
ddi;34;false;false
ddi;35;false;false
ddi;36;false;false
ddi;37;false;false
ddi;38;false;false
ddi;39;false;false
ddi;40;false;false
ddi;41;false;false
ddi;42;false;false
ddi;43;false;false
ddi;44;false;false
ddi;45;false;false
ddi;46;false;false
ddi;47;false;false
ddi;48;false;false
ddi;49;false;false
ddi;50;false;false
ddi;51;false;false
ddi;52;false;false
ddi;53;false;false
ddi;54;false;false
ddi;55;false;false
ddi;56;false;false
ddi;57;false;false
ddi;58;false;false
ddi;59;false;false
ddi;60;false;false
ddi;61;false;false
ddi;62;false;false
ddi;63;false;false
ddi;64;false;false
ddi;65;false;false
ddi;66;false;false
ddi;67;false;false
ddi;68;false;false
ddi;69;false;false
ddi;70;false;false
ddi;71;false;false
ddi;72;false;false
ddi;73;false;false
ddi;74;false;false
ddi;75;false;false
ddi;76;false;false
ddi;77;false;false
