set;number;no_foil;foil
ddj;1;false;false
ddj;2;false;false
ddj;3;false;false
ddj;4;false;false
ddj;5;false;false
ddj;6;false;false
ddj;7;false;false
ddj;8;false;false
ddj;9;false;false
ddj;10;false;false
ddj;11;false;false
ddj;12;false;false
ddj;13;false;false
ddj;14;false;false
ddj;15;false;false
ddj;16;false;false
ddj;17;false;false
ddj;18;false;false
ddj;19;false;false
ddj;20;false;false
ddj;21;false;false
ddj;22;false;false
ddj;23;false;false
ddj;24;false;false
ddj;25;false;false
ddj;26;false;false
ddj;27;false;false
ddj;28;false;false
ddj;29;false;false
ddj;30;false;false
ddj;31;false;false
ddj;32;false;false
ddj;33;false;false
ddj;34;false;false
ddj;35;false;false
ddj;36;false;false
ddj;37;false;false
ddj;38;false;false
ddj;39;false;false
ddj;40;false;false
ddj;41;false;false
ddj;42;false;false
ddj;43;false;false
ddj;44;false;false
ddj;45;false;false
ddj;46;false;false
ddj;47;false;false
ddj;48;false;false
ddj;49;false;false
ddj;50;false;false
ddj;51;false;false
ddj;52;false;false
ddj;53;false;false
ddj;54;false;false
ddj;55;false;false
ddj;56;false;false
ddj;57;false;false
ddj;58;false;false
ddj;59;false;false
ddj;60;false;false
ddj;61;false;false
ddj;62;false;false
ddj;63;false;false
ddj;64;false;false
ddj;65;false;false
ddj;66;false;false
ddj;67;false;false
ddj;68;false;false
ddj;69;false;false
ddj;70;false;false
ddj;71;false;false
ddj;72;false;false
ddj;73;false;false
ddj;74;false;false
ddj;75;false;false
ddj;76;false;false
ddj;77;false;false
ddj;78;false;false
ddj;79;false;false
ddj;80;false;false
ddj;81;false;false
ddj;82;false;false
ddj;83;false;false
ddj;84;false;false
ddj;85;false;false
ddj;86;false;false
ddj;87;false;false
ddj;88;false;false
ddj;89;false;false
ddj;90;false;false
