set;number;no_foil;foil
ddk;1;false;false
ddk;2;false;false
ddk;3;false;false
ddk;4;false;false
ddk;5;false;false
ddk;6;false;false
ddk;7;false;false
ddk;8;false;false
ddk;9;false;false
ddk;10;false;false
ddk;11;false;false
ddk;12;false;false
ddk;13;false;false
ddk;14;false;false
ddk;15;false;false
ddk;16;false;false
ddk;17;false;false
ddk;18;false;false
ddk;19;false;false
ddk;20;false;false
ddk;21;false;false
ddk;22;false;false
ddk;23;false;false
ddk;24;false;false
ddk;25;false;false
ddk;26;false;false
ddk;27;false;false
ddk;28;false;false
ddk;29;false;false
ddk;30;false;false
ddk;31;false;false
ddk;32;false;false
ddk;33;false;false
ddk;34;false;false
ddk;35;false;false
ddk;36;false;false
ddk;37;false;false
ddk;38;false;false
ddk;39;false;false
ddk;40;false;false
ddk;41;false;false
ddk;42;false;false
ddk;43;false;false
ddk;44;false;false
ddk;45;false;false
ddk;46;false;false
ddk;47;false;false
ddk;48;false;false
ddk;49;false;false
ddk;50;false;false
ddk;51;false;false
ddk;52;false;false
ddk;53;false;false
ddk;54;false;false
ddk;55;false;false
ddk;56;false;false
ddk;57;false;false
ddk;58;false;false
ddk;59;false;false
ddk;60;false;false
ddk;61;false;false
ddk;62;false;false
ddk;63;false;false
ddk;64;false;false
ddk;65;false;false
ddk;66;false;false
ddk;67;false;false
ddk;68;false;false
ddk;69;false;false
ddk;70;false;false
ddk;71;false;false
ddk;72;false;false
ddk;73;false;false
ddk;74;false;false
ddk;75;false;false
ddk;76;false;false
ddk;77;false;false
ddk;78;false;false
ddk;79;false;false
ddk;80;false;false
