set;number;no_foil;foil
ddl;1;false;false
ddl;2;false;false
ddl;3;false;false
ddl;4;false;false
ddl;5;false;false
ddl;6;false;false
ddl;7;false;false
ddl;8;false;false
ddl;9;false;false
ddl;10;false;false
ddl;11;false;false
ddl;12;false;false
ddl;13;false;false
ddl;14;false;false
ddl;15;false;false
ddl;16;false;false
ddl;17;false;false
ddl;18;false;false
ddl;19;false;false
ddl;20;false;false
ddl;21;false;false
ddl;22;false;false
ddl;23;false;false
ddl;24;false;false
ddl;25;false;false
ddl;26;false;false
ddl;27;false;false
ddl;28;false;false
ddl;29;false;false
ddl;30;false;false
ddl;31;false;false
ddl;32;false;false
ddl;33;false;false
ddl;34;false;false
ddl;35;false;false
ddl;36;false;false
ddl;37;false;false
ddl;38;false;false
ddl;39;false;false
ddl;40;false;false
ddl;41;false;false
ddl;42;false;false
ddl;43;false;false
ddl;44;false;false
ddl;45;false;false
ddl;46;false;false
ddl;47;false;false
ddl;48;false;false
ddl;49;false;false
ddl;50;false;false
ddl;51;false;false
ddl;52;false;false
ddl;53;false;false
ddl;54;false;false
ddl;55;false;false
ddl;56;false;false
ddl;57;false;false
ddl;58;false;false
ddl;59;false;false
ddl;60;false;false
ddl;61;false;false
ddl;62;false;false
ddl;63;false;false
ddl;64;false;false
ddl;65;false;false
ddl;66;false;false
ddl;67;false;false
ddl;68;false;false
ddl;69;false;false
ddl;70;false;false
ddl;71;false;false
ddl;72;false;false
ddl;73;false;false
ddl;74;false;false
ddl;75;false;false
ddl;76;false;false
ddl;77;false;false
ddl;78;false;false
ddl;79;false;false
ddl;80;false;false
ddl;81;false;false
