set;number;no_foil;foil
ddm;1;false;false
ddm;2;false;false
ddm;3;false;false
ddm;4;false;false
ddm;5;false;false
ddm;6;false;false
ddm;7;false;false
ddm;8;false;false
ddm;9;false;false
ddm;10;false;false
ddm;11;false;false
ddm;12;false;false
ddm;13;false;false
ddm;14;false;false
ddm;15;false;false
ddm;16;false;false
ddm;17;false;false
ddm;18;false;false
ddm;19;false;false
ddm;20;false;false
ddm;21;false;false
ddm;22;false;false
ddm;23;false;false
ddm;24;false;false
ddm;25;false;false
ddm;26;false;false
ddm;27;false;false
ddm;28;false;false
ddm;29;false;false
ddm;30;false;false
ddm;31;false;false
ddm;32;false;false
ddm;33;false;false
ddm;34;false;false
ddm;35;false;false
ddm;36;false;false
ddm;37;false;false
ddm;38;false;false
ddm;39;false;false
ddm;40;false;false
ddm;41;false;false
ddm;42;false;false
ddm;43;false;false
ddm;44;false;false
ddm;45;false;false
ddm;46;false;false
ddm;47;false;false
ddm;48;false;false
ddm;49;false;false
ddm;50;false;false
ddm;51;false;false
ddm;52;false;false
ddm;53;false;false
ddm;54;false;false
ddm;55;false;false
ddm;56;false;false
ddm;57;false;false
ddm;58;false;false
ddm;59;false;false
ddm;60;false;false
ddm;61;false;false
ddm;62;false;false
ddm;63;false;false
ddm;64;false;false
ddm;65;false;false
ddm;66;false;false
ddm;67;false;false
ddm;68;false;false
ddm;69;false;false
ddm;70;false;false
ddm;71;false;false
ddm;72;false;false
ddm;73;false;false
ddm;74;false;false
ddm;75;false;false
ddm;76;false;false
ddm;77;false;false
ddm;78;false;false
ddm;79;false;false
ddm;80;false;false
ddm;81;false;false
ddm;82;false;false
ddm;83;false;false
ddm;84;false;false
ddm;85;false;false
ddm;86;false;false
ddm;87;false;false
ddm;88;false;false
