set;number;no_foil;foil
ddp;1;false;false
ddp;2;false;false
ddp;3;false;false
ddp;4;false;false
ddp;5;false;false
ddp;6;false;false
ddp;7;false;false
ddp;8;false;false
ddp;9;false;false
ddp;10;false;false
ddp;11;false;false
ddp;12;false;false
ddp;13;false;false
ddp;14;false;false
ddp;15;false;false
ddp;16;false;false
ddp;17;false;false
ddp;18;false;false
ddp;19;false;false
ddp;20;false;false
ddp;21;false;false
ddp;22;false;false
ddp;23;false;false
ddp;24;false;false
ddp;25;false;false
ddp;26;false;false
ddp;27;false;false
ddp;28;false;false
ddp;29;false;false
ddp;30;false;false
ddp;31;false;false
ddp;32;false;false
ddp;33;false;false
ddp;34;false;false
ddp;35;false;false
ddp;36;false;false
ddp;37;false;false
ddp;38;false;false
ddp;39;false;false
ddp;40;false;false
ddp;41;false;false
ddp;42;false;false
ddp;43;false;false
ddp;44;false;false
ddp;45;false;false
ddp;46;false;false
ddp;47;false;false
ddp;48;false;false
ddp;49;false;false
ddp;50;false;false
ddp;51;false;false
ddp;52;false;false
ddp;53;false;false
ddp;54;false;false
ddp;55;false;false
ddp;56;false;false
ddp;57;false;false
ddp;58;false;false
ddp;59;false;false
ddp;60;false;false
ddp;61;false;false
ddp;62;false;false
ddp;63;false;false
ddp;64;false;false
ddp;65;false;false
ddp;66;false;false
ddp;67;false;false
ddp;68;false;false
ddp;69;false;false
ddp;70;false;false
ddp;71;false;false
ddp;72;false;false
ddp;73;false;false
ddp;74;false;false
ddp;75;false;false
ddp;76;false;false
ddp;77;false;false
ddp;78;false;false
ddp;79;false;false
ddp;80;false;false
